topic,premise,correct_ending,incorrect_ending
Food,"Di bulan Puasa, Arman sering ngajual rupa-rupa kolak di masjid. Anjeunna suka milih kolak cau nu rasana gurih. Arman loba ngajajal rupa-rupa rasa kolak nu ada. Arman kacida resep kana kolak cau nu rasana gurih.",Arman henteu hilap mésér kolak cau nu gurih di dinya salami bulan Ramadhan.,Arman henteu bisa ngajual kolak di masjid.
Food,"Di hari Minggu, Fajar sareng kulawargana nuju ka pasar tradisional. Anjeunna sumanget pisan pikeun nyobaan rupa-rupa jajanan tradisional. Fajar loba ngajajal rupa-rupa jajanan nu ada. Fajar kacida resep kana siomay nu rasana gurih.",Fajar henteu hilap mésér siomay nu gurih di dinya salami acara hajatan.,Fajar henteu bisa ngajajal rupa-rupa jajanan di pasar tradisional.
Food,"Di bulan Ramadhan, Sinta sering meuli rupa-rupa takjil di masjid. Anjeunna suka milih takjil nu rasana manis-manis. Sinta loba ngajajal rupa-rupa rasa takjil nu ada. Sinta kacida resep kana es campur nu rasana manis.",Sinta henteu hilap mésér es campur nu manis di dinya salami bulan Ramadhan.,Sinta henteu bisa ngajajal rupa-rupa takjil di masjid.
Food,"Di hari Minggu, Lestari sareng kulawargana nuju ka wahana wisata cai. Anjeunna sumanget pisan pikeun nyobaan rupa-rupa inuman nu seger. Lestari loba ngajajal rupa-rupa inuman nu ada. Lestari kacida resep kana jus jeruk nu rasana seger.",Lestari henteu hilap mésér jus jeruk nu seger di dinya salami acara liburan.,Lestari henteu bisa ngajajal rupa-rupa inuman di wahana wisata cai.
Food,"Ti budak leutik, Dian geus resep kana rupa-rupa sayur tradisional. Anjeunna suka milih sayur nu rasana gurih. Dian loba ngajajal rupa-rupa sayur nu ada. Dian kacida resep kana sayur asem nu rasana gurih.",Dian henteu hilap mésér sayur asem nu gurih di dinya salami acara hajatan.,Dian henteu bisa ngajajal rupa-rupa sayur tradisional.
Food,"Di bulan Ramadhan, Rina sering ngajual rupa-rupa kue tradisional di masjid. Anjeunna suka milih kue nu rasana manis-manis. Rina loba ngajajal rupa-rupa rasa kue nu ada. Rina kacida resep kana kue putu nu rasana manis.",Rina henteu hilap mésér kue putu nu manis di dinya salami bulan Ramadhan.,Rina henteu bisa ngajual kue di masjid.
Food,"Di hari Minggu, Yoga sareng kulawargana nuju ka pasar tradisional. Anjeunna sumanget pisan pikeun nyobaan rupa-rupa sate nu lezat. Yoga loba ngajajal rupa-rupa sate nu ada. Yoga kacida resep kana sate ayam nu rasana gurih.",Yoga henteu hilap mésér sate ayam nu gurih di dinya salami acara hajatan.,Yoga henteu bisa ngajajal rupa-rupa sate di pasar tradisional.
Wedding,Asep jeung Sinta rencanana bakal kawin. Asep jeung Sinta péto pisan kana tradisi adat Sunda. Asep jeung Sinta rencanana ngalakukeun acara siraman. Asep jeung Sinta ngan harepan yén acara siraman réngsé alumina.,Asep jeung Sinta junun ngalakukeun acara siraman,Asep jeung Sinta henteu boga duit pikeun acara siraman
Wedding,Rina resep pisan maké baju kebaya. Rina péto pisan kana baju kebaya nu hadé. Rina rencanana maké baju kebaya dina acara panganten. Rina ngan harepan yén baju kebaya nu dipilih alus.,Rina junun maké baju kebaya nu alus,Rina teu boga duit pikeun meuli baju kebaya
Wedding,Dedi jeung Lisa rencanana ngalakukeun acara panganten. Dedi jeung Lisa péto pisan kana tradisi adat Sunda. Dedi jeung Lisa ngan harepan yén acara panganten réngsé alumina. Dedi jeung Lisa rencanana ngundang sakumna batur.,Dedi jeung Lisa junun ngundang sakumna batur,Dedi jeung Lisa henteu ngundang batur nu boga harta
Wedding,Tono resep pisan ngalakukeun acara hajat. Tono péto pisan kana tradisi adat Sunda. Tono rencanana ngalakukeun acara hajat pikeun ulang tahun perkawinana. Tono ngan harepan yén acara hajat réngsé alumina.,Tono junun ngalakukeun acara hajat nu hadé,Tono teu boga duit pikeun acara hajat
Wedding,Ira resep pisan maké rias penganten. Ira péto pisan kana rias penganten nu hadé. Ira rencanana maké rias penganten dina acara panganten. Ira ngan harepan yén rias penganten nu dipilih alus.,Ira junun maké rias penganten nu alus,Ira teu boga duit pikeun bayar rias penganten
Wedding,Budi jeung Yuli rencanana ngalakukeun acara panganten. Budi jeung Yuli péto pisan kana tradisi adat Sunda. Budi jeung Yuli ngan harepan yén acara panganten réngsé alumina. Budi jeung Yuli rencanana ngundang sakumna batur.,Budi jeung Yuli junun ngundang sakumna batur,Budi jeung Yuli henteu ngundang batur nu boga harta
Wedding,"Lestari nu anyar kawin resep pisan nunda tradisi nginum baé. Lamun nginum baé, manéhna langsung ngarasa seueul. Sirahna ogé langsung lieur. Ku alatan éta, Lestari pernah tara nginum baé.",Anjeunna langkung resep nginum jahe hangat.,Lestari leuwih resep nginum baé saméméh kawin.
Wedding,Sinta sareng pangantin lalakina nuju imah panganten awéwé. Anjeunna sumanget pisan pikeun nepikeun sirih pinang. Manehna buru-buru nyokot sirih pinang nu deukeut. Ujug-ujug aya nu ngageroan Sinta.,"Rupana, Sinta kudu ngajabat tangan pangantin awéwé.",Jalma anu ngageroan anjeunna ngajual inuman tiis.
Wedding,"Dina nu anyar kawin resep pisan nganggo kebaya. Lamun nganggo kebaya, manéhna langsung ngarasa élegan. Rambutna ogé langsung dihias. Ku alatan éta, Dina pernah tara nganggo kebaya.",Anjeunna langkung resep nganggo kebaya nu warna beureum.,Dina leuwih resep nganggo kebaya nu warna hideung.
Wedding,Adi nyoba ngundang batur lantaran ulang taunna. Adi teu sadar iraha eta batur nganjang. Adi nyampeurkeun ka tempat diukna batur lantaran batur teu indit. Batur langsung ngomong ka arah Adi nu muka.,Adi langsung ngawakilan rasa gumbira pas ngomong.,Adi langsung nganggap batur éta minangka batur asing.
Wedding,"Rina nu anyar kawin resep pisan nginum es doger. Lamun nginum es doger, manéhna langsung ngarasa seueul. Sirahna ogé langsung lieur. Ku alatan éta, Rina pernah tara nginum es doger.",Anjeunna langkung resep nginum es doger nu dicampur gula beureum.,Rina leuwih resep nginum es doger saméméh kawin.
Wedding,Lestyo sareng kulawargana nuju wisata ka wahana wisata cai. Anjeunna sumanget pisan pikeun nyobaan sorodotan cai nu pangjangkungna di dinya. Manehna buru-buru nyokot pelampung nu deukeut. Ujug-ujug aya nu ngageroan Lestyo.,"Rupana, Lestyo poho mayar séwa palampung.",Jalma anu ngageroan anjeunna ngajual inuman tiis.
Wedding,Diah meunang hadiah jam tangan ti batur. Kulawarga Diah ngiring bingah. Teu hilap ka batur sareng sadaya. Peresmian bakal dilaksanakeun ahir minggu ieu.,"Ku kituna, Diah berkah ka batur anu ngahadiahkeun jam tangan.",Diah memang jalma anu hébat.
Wedding,Ayu resep pisan nonton sinetron. Unggal soré sanggeus solat magrib manéhna diuk hareupeun layar televisi salila 3 jam. Aya kalana manéhna ngagerendeng lantaran keuheul ningali tokoh antagonis anu kalakuanana mindeng ngaganggu tokoh utama. Teu jarang Ayu dibaturan ku akina nalika nonton sinetron.,"Pikeun Ayu, sinétron téh minangka sarana hiburan peuting.",Ayu hayang pisan jadi salah saurang palaku dina sinetron.
Family Relationships,"Aki jeung nini geus lami teu kénéh ngajak budakna, Rina. Rina hayang pisan ngajak aki jeung ninina ka taman wisata. Rina resep pisan ngajak aki jeung ninina keur ngajak rekreasi. Rina ngajak aki jeung ninina ka gunung Tangkuban Perahu.",Aki jeung nini gumbira ngajak Rina,Aki jeung nini teu hayang ngajak Rina
Family Relationships,Abah jeung emak rék nangtung di pérsi jauh pisan ti imah. Abah jeung emak hayang nangtung di pérsi anu luhur. Abah jeung emak luhur kénéh ngajaga imahna. Abah jeung emak teu hayang ngalakukeun dosa.,Abah jeung emak tiasa nangtung di pérsi anu luhur,Abah jeung emak nangtung di pérsi anu handap
Family Relationships,Indri geus lami teu ngajak kolotna ka pasar. Indri hayang ngajak kolotna ka pasar. Indri rék nangtung di pérsi anu luhur. Indri ngajak kolotna ka pasar nu aya di kota.,Indri gumbira ngajak kolotna ka pasar,Indri teu hayang ngajak kolotna ka pasar
Family Relationships,Mamat geus lami teu ngajak aki jeung ninina ka masjid. Mamat hayang ngajak aki jeung ninina ka masjid. Mamat rék nangtung di pérsi anu luhur. Mamat ngajak aki jeung ninina ka masjid nu aya di kampungna.,Mamat gumbira ngajak aki jeung ninina ka masjid,Mamat teu hayang ngajak aki jeung ninina ka masjid
Family Relationships,Asep rék ngajak kolotna ka gunung. Asep hayang ngajak kolotna ka gunung. Asep rék nangtung di pérsi anu luhur. Asep ngajak kolotna ka gunung Tangkuban Perahu.,Asep gumbira ngajak kolotna ka gunung,Asep teu hayang ngajak kolotna ka gunung
Family Relationships,Ayah si Ujang cicing di kampung nu jauh ti kota. Ujang hayang ngabogohkeun ayahna pikeun ningali kota. Ujang resep pisan maca buku nu nyaritakeun kahirupan di kota. Ujang miharep yén ayahna bakal kagum kana kota.,Ujang junun ngabogohkeun ayahna pikeun ningali kota,Ayah si Ujang teu daék kabogoh
Family Relationships,Dina geus lila teu ngariung sareng kulawarga. Dina hayang ngariung sareng kulawarga pikeun ngahargaan Idul Fitri. Dina ogé hayang ngariung sareng batur ti kénéh. Dina nyiapkeun rupa-rupa kadaharan pikeun ngariung.,Dina junun ngariung sareng kulawarga,Dina kénéh ngariung sorangan
Family Relationships,Kakek si Wida urang nu bener-bener hirup sederhana. Kakek si Wida resep pisan ngajar Wida ngeunaan filosofi hirup. Wida napsu pisan nyerep élmu ti kakekna. Wida junun ngalakukeun apa nu diajarkeun ku kakekna.,Wida junun ngalakukeun apa nu diajarkeun ku kakekna,Wida henteu resep ngaji
Family Relationships,Wawan resep pisan ngahoncol saurang anu boga kaberatan. Wawan junun ngabantosan saurang anu keur susah. Wawan ogé resep pisan ngabantosan tetangga anu boga kaberatan. Wawan junun ngalakukeun kaperluan tetangga anu keur susah.,Wawan junun ngabantosan tetangga anu keur susah,Wawan teu resep ngabantosan
Family Relationships,Tina resep pisan ngariung sareng saudara nu séjén. Tina junun ngabantosan saudara nu séjén. Tina ogé resep pisan ngajak saudara nu séjén pikeun ngariung. Tina junun ngajak saudara nu séjén pikeun ngariung di taman.,Tina junun ngajak saudara nu séjén pikeun ngariung di taman,Tina teu resep ngajak saurang nu séjén
Family Relationships,"Ti keur budak, Rumi jeung Yudi baraya pisan. Maranéhna mindeng babarengan ka sawah jeung ka leuweung. Yudi hésé baca tulisan Sunda, sedeng Rumi mah pinter. Rumi tulungan Yudi ngarti basa Sunda.",Rumi jeung Yudi janten saingan nu kuat di sakola.,Yudi teu bisa baca nepi ka ayeuna.
Family Relationships,"Mama nu ngaran Mama Lela teu weléh ngajaga opa nu rék pupus. Mama Lela ngajaga opa di imah sakabéhna, teu di rumah sakit. Mama Lela teu éwé ngajaga opa, tapi sakabéh kulawarga.",Mama Lela nampa pangajén ti désa lantaran kituna.,Opa téh geus maot sawatara poé katukang.
Family Relationships,"Ti keur ngora, Asep mindeng ngajak adi-adina ka pager ayana. Asep ngajak maranéhna ka sawah jeung ka leuweung. Asep tulungan maranéhna nelasan lauk di sawah.",Asep jeung adi-adina masih aya papanggih sarta sering babarengan.,Asep jeung adi-adina geus lila teu papanggih.
Family Relationships,Mama nu ngaran Mama Nining nu boga anak lalaki. Anak lalaki Mama Nining nu ngaran Awan teu weléh urang. Mama Nining tulungan Awan ngajaga imah. Awan tulungan Mama Nining ngajaga adi-adina.,Awan janten tokoh masarakat di kampungna lantaran kituna.,Awan téh geus maot sawatara poé katukang.
Family Relationships,"Ti keur ngora, Dadang jeung Deni baraya pisan. Maranéhna mindeng babarengan ka sawah jeung ka leuweung. Dadang jeung Deni tulungan maranéhna nelasan lauk di sawah.",Dadang jeung Deni janten saingan nu kuat di sakola.,Deni téh geus lila teu papanggih.
Family Relationships,"Ti keur ngora, Ira jeung Yaya baraya pisan. Maranéhna mindeng babarengan ka sawah jeung ka leuweung. Ira jeung Yaya tulungan maranéhna nelasan lauk di sawah.",Ira jeung Yaya masih aya papanggih sarta sering babarengan.,Yaya téh geus maot sawatara poé katukang.
Family Relationships,"Ti keur ngora, Tono jeung Iki baraya pisan. Maranéhna mindeng babarengan ka sawah jeung ka leuweung. Tono jeung Iki tulungan maranéhna nelasan lauk di sawah.",Tono jeung Iki janten saingan nu kuat di sakola.,Iki téh geus lila teu papanggih.
Family Relationships,"Ti keur ngora, Lesti jeung Vina baraya pisan. Maranéhna mindeng babarengan ka sawah jeung ka leuweung. Lesti jeung Vina tulungan maranéhna nelasan lauk di sawah.",Lesti jeung Vina masih aya papanggih sarta sering babarengan.,Vina téh geus maot sawatara poé katukang.
Family Relationships,"Ti keur budak, Sinta jeung Lesti baraya pisan. Maranéhna mindeng babarengan ka sawah jeung ka leuweung. Sinta tulungan Lesti ngarti basa Sunda.",Sinta jeung Lesti janten saingan nu kuat di sakola.,Lesti téh geus lila teu papanggih.
Family Relationships,"Ti keur ngora, Yanti jeung Rina baraya pisan. Maranéhna mindeng babarengan ka sawah jeung ka leuweung. Yanti jeung Rina tulungan maranéhna nelasan lauk di sawah.",Yanti jeung Rina masih aya papanggih sarta sering babarengan.,Rina téh geus maot sawatara poé katukang.
Pregnancy and Kids,Siti cicing di gigireun imah kosong. Siti sok sieun ngaliwat ka imah kosong. Siti ngagorowok mun aya nu pikasieuneun. Siti lumpat ngajerit sieun ngaliwat ka imah kosong.,Siti budak borangan,Siti wani asup ka imah kosong
Pregnancy and Kids,"Istri nu hamil ngalakukeun séance nu ngajangjian kasehatan janin. Istri ngajangjian kasehatan janin nu ngajangjian kasehatan, méré bahan pikeun ngajangjian kasehatan janin. Séance ngalakukeun kasehatan janin nu ngajangjian kasehatan janin. Séance ngajangjian kasehatan janin nu ngalakukeun kasehatan janin.",Istri nu hamil jadi sehat,Istri nu hamil jadi gering
Pregnancy and Kids,"Anak umur 3 taun jadi keur diajar sirah, sirah cicing di imah. Anak umur 3 taun diajar sirah, sirah cicing di imah. Anak umur 3 taun diajar sirah, sirah cicing di imah. Anak umur 3 taun diajar sirah, sirah cicing di imah.",Anak umur 3 taun jadi sirah cicing,Anak umur 3 taun jadi bocah lalaki
Pregnancy and Kids,"Anak remaja ngalanggar aturan, ngajalan ka luar imah tanpa idin. Anak remaja ngalanggar aturan, ngajalan ka luar imah tanpa idin. Anak remaja ngalanggar aturan, ngajalan ka luar imah tanpa idin. Anak remaja ngalanggar aturan, ngajalan ka luar imah tanpa idin.",Anak remaja dihukum ku bapana,Anak remaja dibebasan ku bapana
Pregnancy and Kids,Ibu nu ngabogaan anak. Anak ibu jadi keur diajar. Ibu nu ngabogaan anak jadi keur diajar. Ibu nu ngabogaan anak jadi keur diajar.,Anak ibu jadi pandeuri,Anak ibu jadi bodo
Pregnancy and Kids,Bapak nu ngabogaan anak. Anak bapak jadi keur ngabogaan kasehatan. Bapak nu ngabogaan anak jadi keur ngabogaan kasehatan. Bapak nu ngabogaan anak jadi keur ngabogaan kasehatan.,Anak bapak jadi sehat,Anak bapak jadi gering
Pregnancy and Kids,"Ti mimiti hamil, Nunung sok diajaran ku bapana pikeun ngalakukeun mitoni. Mitoni téh tradisi Sunda nu ngagantikeun nu hamil dijieun kaayaan leuwih rileks. Manéhna diajaran pikeun ngalakukeun gerakan nu luyu jeung irama gending Sunda.","Ku kituna, Nunung jadi leuwih rileks jeung siap ngalakukeun persalinan alamiah",Bapana Nunung ngajak manéhna ka dokter spesialis kandungan
Pregnancy and Kids,"Wanci umur 7 taun, Dodon mimiti diajaran ku kolotna pikeun ngalakukeun ngaleuykeun. Ngaleuykeun téh tradisi Sunda pikeun ngajaga kasaimbangan lingkungan. Manéhna diajaran pikeun ngalakukeun gerakan nu luyu jeung irama gending Sunda.","Ku kituna, Dodon jadi leuwih mikir kana lingkungan",Dodon miwarang bari ngaleuykeun
Pregnancy and Kids,"Barudakna nu umur 3 taun, Lesti kacida aktip sareng lincah. Manéhna sok ngalakukeun prak-prak keur ngajaga kasaimbangan lingkungan. Kolotna ngajak manéhna ngajak balik ka haneut jeung diajaran pikeun ngalakukeun gerakan nu luyu jeung irama gending Sunda.",Lesti jadi leuwih mikir kana lingkungan,Lesti teu resep diajaran ku kolotna
Pregnancy and Kids,"Barudakna nu umur 2 taun, Euis kacida aktip sareng lincah. Manéhna sok ngalakukeun prak-prak keur ngajaga kasaimbangan lingkungan. Kolotna ngajak manéhna ngajak balik ka haneut jeung diajaran pikeun ngalakukeun gerakan nu luyu jeung irama gending Sunda.",Euis diajaran ku kolotna pikeun ngalakukeun gerakan nu luyu jeung irama gending Sunda,Euis ngageroan kolotna pikeun ngajak manéhna ka dokter
Pregnancy and Kids,"Ti mimiti hamil, Yayang sok diajaran ku bapana pikeun ngalakukeun mitoni. Mitoni téh tradisi Sunda nu ngagantikeun nu hamil dijieun kaayaan leuwih rileks. Manéhna diajaran pikeun ngalakukeun gerakan nu luyu jeung irama gending Sunda.",Yayang diajaran ku bapana pikeun ngalakukeun gerakan nu luyu jeung irama gending Sunda,Bapana Yayang ngajak manéhna ka dokter spesialis kandungan
Pregnancy and Kids,"Di Jawa Barat, upacara nu dilaksanakeun nalika keur hamil nyaéta ngalakukeun upacara nujuh bulanan. Upacara ieu dilaksanakeun nalika ibu hamil geus asup kana bulan ka tujuh. Tujuanna upacara ieu nyaéta nujuh bulanan pikeun ngajaga kandungan. Upacara nujuh bulanan diayakeun ku kulawarga.",Upacara nujuh bulanan diayakeun ku kulawarga sacara sederhana,Upacara nujuh bulanan diayakeun ku kulawarga sacara mewah
Pregnancy and Kids,"Di Sunda, tradisi nujuh bulanan geus lila dilaksanakeun. Tradisi ieu dilaksanakeun ku ibu hamil nujuh bulanan. Tujuanna tradisi ieu nyaéta ngajaga kandungan sangkan teu aya hal nu ngaganggu. Tradisi nujuh bulanan diayakeun sacara sederhana.",Upacara nujuh bulanan ngajaga kandungan sangkan teu aya hal nu ngaganggu,"Upacara nujuh bulanan ngajaga kandungan sangkan teu aya hal nu ngaganggu, tapi teu diayakeun sacara sederhana"
Pregnancy and Kids,Ibu hamil kudu ngajaga kandungan sacara hadé. Ibu hamil kudu makan makanan nu séhat. Ibu hamil kudu olahraga sacara teratur. Ibu hamil kudu reseptif.,Ibu hamil kudu ngajaga kandungan sacara hadé,Ibu hamil kudu ngajaga kandungan sacara teu hadé
Pregnancy and Kids,"Di Sunda, upacara nu dilaksanakeun nalika barudak lahir nyaéta upacara tujuh hari. Upacara ieu dilaksanakeun nalika barudak geus tujuh hari. Tujuanna upacara ieu nyaéta ngajaga barudak sangkan teu aya hal nu ngaganggu. Upacara tujuh hari diayakeun sacara sederhana.",Upacara tujuh hari diayakeun sacara sederhana,Upacara tujuh hari diayakeun sacara mewah
Pregnancy and Kids,"Di Sunda, tradisi nu dilaksanakeun nalika barudak lahir nyaéta tradisi aseupan. Tradisi ieu dilaksanakeun nalika barudak lahir. Tujuanna tradisi ieu nyaéta ngajaga barudak sangkan teu aya hal nu ngaganggu. Tradisi aseupan diayakeun sacara sederhana.",Tradisi aseupan diayakeun sacara sederhana,Tradisi aseupan diayakeun sacara mewah
Pregnancy and Kids,"Di Sunda, upacara nu dilaksanakeun nalika barudak lahir nyaéta upacara selapan. Upacara ieu dilaksanakeun nalika barudak geus salapan hari. Tujuanna upacara ieu nyaéta ngajaga barudak sangkan teu aya hal nu ngaganggu. Upacara selapan diayakeun sacara sederhana.",Upacara selapan diayakeun sacara sederhana,Upacara selapan diayakeun sacara mewah
Pregnancy and Kids,"Di Sunda, tradisi nu dilaksanakeun nalika barudak lahir nyaéta tradisi turun tanjung. Tradisi ieu dilaksanakeun nalika barudak lahir. Tujuanna tradisi ieu nyaéta ngajaga barudak sangkan teu aya hal nu ngaganggu. Tradisi turun tanjung diayakeun sacara sederhana.",Tradisi turun tanjung diayakeun sacara sederhana,Tradisi turun tanjung diayakeun sacara mewah
Pregnancy and Kids,"Di Sunda, upacara nu dilaksanakeun nalika barudak lahir nyaéta upacara khitan. Upacara ieu dilaksanakeun nalika barudak geus umur nu tangtu. Tujuanna upacara ieu nyaéta ngajaga barudak sangkan teu aya hal nu ngaganggu. Upacara khitan diayakeun sacara sederhana.",Upacara khitan diayakeun sacara sederhana,Upacara khitan diayakeun sacara mewah
Death,"Di désa Suci, aya acara adat nu ngajadi pas aya jalma nu pupus. Acara adat éta dingaranan ""ngaben"". Ngaben téh prosés ngabenkeun mayit ka tempat pamakaman. Ngaben nu éta ngandelkeun pangiring terbuka.",,Ngaben téh teu miboga harti nanaon
Death,"Neng Diah ngarasa sedih lantaran ibuna geus pupus. Neng Diah ngagantungkeun lawon hideung dina jandéla imahna. Neng Diah nyanghareupkeun lawon bodas pas acara ngaben. Pasca ngaben, Neng Diah nyanghareupkeun lawon beureum.",Ngaben téh mangrupa cara pikeun ngahormat nu geus pupus,Neng Diah ngagantungkeun lawon bodas dina jandéla imahna
Death,"Di désa Suci, aya acara nu ngajadi pas aya jalma nu pupus. Acara nu ngajadi téh ""ngabebek"" mayit. Ngabebek téh prosés nata mayit supaya bersih. Ngabebek nu éta dilaksanakeun ku pangurus mayit.",Lawon-lawon nu ngagantung téh simbolisasi ékspresi sedih Neng Diah,Ngabebek téh teu dilaksanakeun ku pangurus mayit
Death,Réndra ngarasa sedih lantaran bapana geus pupus. Réndra milu ngabantosan acara ngaben bapana. Réndra ngajagaké warisan bapana. Warisan nu dibagi téh digunakeun pikeun ngabantu kulawarga,Ngabebek téh mangrupa cara pikeun ngahormat nu geus pupus,Warisan nu dibagi téh digunakeun pikeun ngabantu masalah pribadi Réndra
Death,Rina tiasa narima kabar nu teu dipikaresep. Rina narima kabar bapana nu geus tiwas. Rina ngagorowok mun aya nu ngagorowok. Rina ngarasa sedih jeung nyanghareup kana kabar éta.,Rina ngayakeun upacara pésta pitung poé,Rina teu ngayakeun upacara pésta pitung poé
Death,Rendi nunda rencana rék ngirim papan sépakat kana kolotna nu geus pupus. Rendi hayang ngahormatken kolotna nu geus pupus. Rendi ngirim papan sépakat ka kolotna nu geus pupus. Rendi ngagorowok mun aya nu ngagorowok.,Rendi ngirim papan sépakat ka kolotna nu geus pupus dina waktu nu tepat,Rendi teu ngirim papan sépakat ka kolotna nu geus pupus
Death,Lisa nunda rencana rékpikeun warisan ti bapana. Lisa nunda rencana rékpikeun warisan ti bapana nu geus pupus. Lisa hayang ngalaksanakeun warisan ti bapana. Lisa ngagorowok mun aya nu ngagorowok.,Lisa ngalaksanakeun warisan ti bapana kalayan adil,Lisa ngalaksanakeun warisan ti bapana kalayan teu adil
Death,Ira hayang ngajaga jenazah kolotna nu geus pupus. Ira ngagorowok mun aya nu ngagorowok. Ira ngajaga jenazah kolotna nu geus pupus kalayan saé. Ira hayang ngahormatken kolotna nu geus pupus.,Ira ngayakeun upacara ngaben kalayan saé,Ira teu ngayakeun upacara ngaben
Death,Dian nunda rencana rékpikeun pakaian duka nu ngamimitian. Dian nunda rencana rékpikeun pakaian duka nu ngamimitian kalayan saé. Dian hayang ngalaksanakeun pakaian duka nu ngamimitian. Dian ngarasa sedih jeung nyanghareup kana pakaian duka nu ngamimitian.,Dian ngayakeun pakaian duka nu ngamimitian kalayan saé,Dian teu ngayakeun pakaian duka nu ngamimitian
Death,Rina ménta bantuan ka bapana pikeun nyimpen mayit di imah. Rina bapana ngabedakeun korsi pikeun mayit. Rina bapana ngabedakeun parfum pikeun ngaleungitkeun bau mayit. Rina bapana ngabedakeun lawon pikeun ngabungkus mayit.,Rina bapana geus ngabedakeun mayit sacara Islam,Rina bapana teu ngabedakeun mayit sacara Islam
Death,Dina ngabedakeun baju hideung pikeun ngaruhun sedihna. Dina ngabedakeun baju hideung pikeun ngahormat maranéhna anu geus pupus. Dina ngabedakeun baju hideung pikeun ngaruhun kasusahan. Dina ngabedakeun baju hideung pikeun ngaruhun kasusahan di tengah kulawarga.,Dina ngabedakeun baju hideung pikeun ngaruhun sedihna,Dina ngabedakeun baju beureum pikeun ngaruhun sedihna
