topic,premise,correct_ending,incorrect_ending
Food,Udin teu boga uang. Udin ngeunaan jajanan di warung. Udin mikir pikeun ngumpulkeun uang. Udin mikir pikeun ngadamel jajanan anu dijual.,Udin ngumpulkeun uang ku ngadamel jajanan,Udin teu bisa ngumpulkeun uang
Food,Ibu ngajak Asep ke pasar tradisional. Ibu hayang ngabuli jajanan pasar. Asep teu hayang ngabuli jajanan pasar. Asep hayang ngabuli makanan cepat saji.,Ibu ngajak Asep ngancik jajanan pasar,Asep ngabuli makanan cepat saji
Food,Pepelakan Ratih teu ngasih hasil. Pepelakan Ratih diurus ku Ratih. Ratih geus ngalakukeun sakabéh cara pikeun ngajaga pepelakan. Pepelakan Ratih teu parantos ngasih hasil.,Ratih teu ngasih kana pepelakan,Ratih parantos ngiring pepelakan
Food,Budi hayang ngajak kawan-kawanna ngadamel sate. Budi hayang ngadamel sate maranggi. Budi parantos ngumpulkeun kabutuhanna. Budi parantos ngumpulkeun daging maranggi.,Budi ngadamel sate maranggi bareng kawan-kawan,Budi ngarakake sate maranggi pikeun kawan-kawan
Wedding,"Nenek Amirah keur ngarahkeun anak-anakna ngawaskeun panganten di panggung. Nenek Amirah nyarakeun ka anak-anakna pikeun ngajaga panganten ti gangguan. Kecap ""Panganten"" diukurna ku Nenek Amirah kalawan sorot mata nu bangga. Anak-anak Nenek Amirah ngadamel barisan pikeun ngajaga panganten ti gangguan nu teu diharapan.",Nenek Amirah ngarasa bahagia dugi kana pangantenna dijaga ku anak-anakna.,Nenek Amirah ngarasa teu senang lantaran anak-anakna teu ngajaga panganten.
Wedding,Rini keur ngaganti baju jadi kebaya beureum pikeun ngiringan kawinan bibinya. Rini teu yakin baju ieu cocok pikeun badanana. Rini nganggap kebaya ieu leuwih cocok pikeun panganten. Rini teu yakin pikeun ngagunakeun kebaya ieu.,"Rini ngagunakeun kebaya beureum ieu, lantaran éta mah tradisi di keluarga.",Rini milih pikeun ngagunakeun baju séjén lantaran teu cocok di badanana.
Wedding,Udin diundang ka kawinan sedulur jauhna. Udin teu kenal sedulur jauhna. Udin teu yakin pikeun ngirim hadiah. Udin ngarasa teu nyaman pikeun ngirim hadiah ka sedulur anu teu sakralna.,Udin ngirim hadiah nu teu mahal tapi ngandung arti penting pikeun budaya Sunda.,Udin teu ngirim hadiah lantaran teu kenal sedulur jauhna.
Wedding,Anya keur ngatur tempat duduk tamu di panggung kawinan. Anya ngabagi tempat duduk tamu jadi dua bagian. Anya ngatur tempat duduk tamu nu teu teu dipisah-pisah. Anya ngarasa bingung ngatur tempat duduk tamu.,Anya ngatur tempat duduk tamu saluyu jeung adat Sunda.,Anya ngatur tempat duduk tamu sesuka hatina.
Wedding,Atik bakal nikah bulan depan. Iana gembira tapi ogé gugup. Atik teu yakin pilihan baju pengantin nu kabeh teh cocog. Ibunya ngasih saran pikeun Atik milih kebaya putih klasik.,Atik milih kebaya putih klasik,Atik milih gaun putih moderen
Wedding,Dani jeung Lani geus ngajak keluarga jeung hawarga deukeut pikeun nginum kopi saacan acara nikah. Aya paman Lani nu ngasih kado berupa emas batangan. Atik jeung Dani teu mikir bakal dapet kado saeutik mahal.,Atik jeung Dani ngasih ucapan terima kasih ka paman Lani,Atik jeung Dani langsung maké emas batangan ku
Wedding,"Dina hari pernikahan, Udin jeung Dewi nyadi perhatian para tamu. Udin ngagandakan baju panganten Sunda tradisional, baju jas bodas, jeung bendo. Dewi kagum ku penampilan Udin.",Dewi ngagambarkeun Udin dina hatina pikeun selamana,Dewi teu suka ku penampilan Udin
Wedding,"Roni jeung Maya geus ngatur catering pikeun resepsi pernikahan. Roni ngaresepkeun aneka jajanan tradisional Sunda, kaya kue balok, cilok, jeung surabi. Tamu nu datang ngakup suka ku jajanan Sunda teh.",Roni jeung Maya senang ku pujian tamu,Roni jeung Maya teu ngasih jajanan ka tamu
Wedding,"Dina acara pernikahan, para tamu dihibur ku musik tradisional Sunda. Para tamu ngaramehkeun badan jeung ngadengeun musik. Rara, salah sahiji tamu, ngajak Roni jeung Maya ngedance",Roni jeung Maya ngadamel suasana resepsi ngeuna,Rara ngancem Roni jeung Maya
Wedding,"Dina harini, Dewi bakal dipajang ka calon mantu. Dewi diharapan bisa ngajabat sagala pertanyaan. Dewi teu percaya kana calon mantu ieu. Dewi teu yakin yen calon mantu ieu geus siap jadi suami.","Dewi teu percaya kana calon mantu ieu, tapi dia kudu ngajabat sagala pertanyaan sabar.",Dewi langsung ngadoakan supaya calon mantu ieu teu datang.
Wedding,"Anjeunna ngarasa gugup pikeun ngagaduh anak. Anjeunna teu yakin bisa jadi ibu nu alus. Anjeunna mikir kana tanggung jawab gedé anu bakal ditanggung. Tapi, anjeunna moal ngaleungitkeun kesempatan ieu.",Anjeunna siap ngalaksanakeun tanggung jawab jadi ibu jeung gembira kana kehadiran anak.,Anjeunna ngajuan pisahan ka suaména.
Wedding,Wulan jeung Fian ajak kulawargana pikeun ngasep. Wulan jeung Fian nginum kopi di teras rumah. Wulan jeung Fian dibarengan ku kolotna. Wulan jeung Fian ngobrol ngeunaan rencana pernikahan.,Wulan jeung Fian ngajak kulawargana pikeun ngobrol ngeunaan rencana pernikahan.,Wulan jeung Fian ngadamel rencana pikeun ngalih di luar nagri.
Wedding,Uma make kebaya bodas di acara kawinan. Uma ngagunakeun mahkota beureum. Uma diiring ku kolotna. Uma ngajak para tamu pikeun ngadang di pelaminan.,Uma ngalaksanakeun begending di pelaminan teu jauh tina kolotna.,Uma ngaleungitkeun acara kawinan sarta ngalih ka luar nagri.
Wedding,"Di acara kawinan, aya hidangan tradisional Sundanese. Aya nasi timbel, ayam goreng, teu teu teu teu ka eta. Sambel teu teu teu teu teu ka eta.  Aya ogé kue lapis, kue pukis, jeung minuman teh manis.",Para tamu ngerasakeun nikmatna masakan tradisional Sundanese.,Para tamu teu suka jeung masakan tradisional Sundanese.
Wedding,"Anjeunna jadi panitia acara kawinan. Anjeunna ngatur dekorasi, musik, jeung hiburan. Anjeunna ngajak panitia lain pikeun ngatur acara.",Anjeunna ngatur acara kawinan ti mimiti tepi kana akhiran.,Anjeunna ngéléhkeun tanggung jawab ka panitia lain.
Family Relationships,Nana hayang ngadamel kue buat acara arisan di kampungna. Nana nyieun resep kue favorit kulawargana. Nana ngatur waktu pikeun ngabagi kue ka tetangga. Nana ngaresepkeun kue keur dibagikeun ka sawarga kampung.,Nana ngarasa senang bisa ngajak tetangganya ngumpul.,Nana ngarasa males ngabagi kue ka tetangga.
Family Relationships,Udin mangrupa anak tunggal di kulawargana. Udin teu boga kakak ataupun adik. Udin geus siap nikah jeung pacarnya. Udin ngajak kulawargana pikeun ngadamel acara pangantenan di kampung halaman.,Udin ngajak kulawargana pikeun ngagelar acara pangantenan tradisional Sunda.,Udin ngajak kulawargana pikeun ngadamel acara pangantenan di gedung mewah.
Family Relationships,Dina hayang ngajak kulawargana keur ngadatang ka acara kawinan sepupuna di Bandung. Dina ngirim kabareun ka kulawargana lewat grup WhatsApp. Dina ngajak kulawargana pikeun nginum kopi bareng di Bandung. Dina ngaresepkeun tiket kereta api pikeun kulawargana.,Dina hayang ngajak kulawargana ngumpul jeung sepupuna.,Dina teu hayang ngajak kulawargana keur ngumpul.
Family Relationships,Kiki hayang ngawisi adat leluhurnya. Kiki ngajak kulawargana pikeun ngalaksanakeun upacara slametan. Kiki ngatur waktu jeung tempat pikeun slametan. Kiki ngundang tetangga jeung sanak saudara pikeun slametan.,Kiki ngarasa gembira bisa ngajak kulawargana ngalestarikan adat leluhurnya.,Kiki ngarasa males ngalaksanakeun upacara slametan.
Family Relationships,Rendra hayang ngajarkeun budakna ngagunakeun alat musik tradisional angklung. Rendra ngajak budakna keur latihan bareng di rumah. Rendra ngajak budakna keur ngajak tetangga keur ngajak latihan bareng. Rendra ngaresepkeun waktu latihan angklung.,Rendra ngarasa bahagia bisa ngajak budakna ngagelar pertunjukan angklung.,Rendra ngarasa males ngajarkeun budakna ngamumuseun angklung.
Family Relationships,"Ki Enjang, kakek di kampung, geus tua. Anjeunna mah sakolahic ngajag silsilah keluarga. Ki Enjang ngajelaskeun silsilah kulawarga ka cucuna. Ki Enjang ngajelaskeun ngeunaan asal usul kulawargana ti jaman baheula.",Ki Enjang ngareksa silsilah keluarga supaya teu pupus,Ki Enjang teu ngerti silsilah kulawargana
Family Relationships,Ibu Asep teu bisa ngumpulkeun cukup duit pikeun ngirimkeun anakna ka sekolah. Si Asep ngarasa sedih ku sabab teu bisa sekolah. Si Asep ngajalankeun usaha sagala cara pikeun bantu ibu. Si Asep ngumpulkeun barang-barang bekas kanggo dijual.,Si Asep bisa ngumpulkeun cukup duit pikeun sekolah,Si Asep ngundurkeun sekolah
Family Relationships,Ratih ngajak teman-temana ke rumah nenekna di kampung. Ratih kepingin ngajak beuki deket sareng nenekna nu tinggal di kampung. Nenek Ratih gembira ngeliat cucuna datang ajak teman-teman. Nenek Ratih ngajak teman-teman Ratih ngadamel kue tradisional.,Ratih jeung teman-temana ngarasa senang aya di kampung,Ratih jeung teman-temana teu betah di kampung
Family Relationships,Ibu Lita geus teu bisa ngajalankeun usaha warung makanna deui. Sakola anak-anakna teu bisa dibayar. Ibu Lita ngajak anak-anakna pikeun ngumpulkeun duit. Anak-anakna nggih keur ngumpulkeun duit.,Anak-anakna ngumpulkeun duit pikeun bantu Ibu Lita,Anak-anakna teu ngajawab jajan Ibu Lita
Family Relationships,"Ibu Anisa minangkeun kudu nyieun kue kering pikeun acara di kampung. Aya sababaraha tetangga nu ngajanjikan bakal bantu. Tapi nalika hari H, teu aya tetangga anu datang. Ibu Anisa ngarasa kahijina.",Ibu Anisa ngabagi kue keringna ka tetangga-tetangga,Ibu Anisa teu jadi ngadamel kue kering
Family Relationships,Lia hayang ngajak papakeun di taman. Tapi papa Lia teu geus teu nembe. Lia ngomong kana indungna. Ining Lia ngajamin bakal ngajak Lia ke taman saareng.,Lia jeung indungna ke taman,Lia teu jadi ke taman
Pregnancy and Kids,Ibu Nana ngagem sayang pisan kana anak-anakna. Ibu Nana salalu ngasih jajanan lezat sarta hadiah waktu anak-anakna ngalaman kasuksesan. Ibu Nana percaya supaya anak-anakna teu ngalaman hal-hal nu teu bisa dijelaskeun. Ibu Nana ngajak anak-anakna ngikutu tradisi Sundaocéh waktu ngombrah.,Anak-anakna ngarasa betah di rumah sarta merasa dicintai,Anak-anakna jadi manja jalma nu teu bisa ngadirian diri
Pregnancy and Kids,Ayah Dedi ngajak kulawargana ka curug. Ayah Dedi ngajarkan anak-anakna pikeun ngajaga alam. Ayah Dedi ngasih tau anak-anakna kana pentingna ngajaga alam pikeun generasi anyar. Ayah Dedi ngajak anak-anakna pikeun teu ngabuang sampah sembarangan.,Anak-anakna ngarasa seneng sarta ngajarkeun ka saurang saurang kana pentingna ngajaga alam,Ayah Dedi ngajak anak-anakna ka restoran teu jauh tina curug
Pregnancy and Kids,"Nina hayang ngajak teman-temanna main petak umpet. Nina nanya ibunya dulu, apakah boleh main di luar rumah. Ibunya mengizinkan Nina bermain dengan catatan harus pulang sebelum magrib. Nina senang dan langsung mengajak teman-temannya bermain.",Nina sarta teman-temanna be entertained sarta balik ka imah sebelum magrib,Nina sarta teman-temanna melupakan waktu
Pregnancy and Kids,Adi ngarasa teu betah di sekolah baruna. Adi teu kenal kawan di kelas baruna. Adi teu yakin kana kemampuanna pikeun ngikuti pelajaran di kelas baruna. Adi ngarasa hampa sareng teu percaya diri.,"Adi ngajak diri pikeun ngobrol jeung guru kelas, ngajak kawan baruna ngobrol, sarta teu ngasih sayang diri",Adi ngalihkeun diri jeung teu mau sekolah
Pregnancy and Kids,Ibu Yani ngajak anakna nu masih bayi ka tukang urut. Ibu Yani percaya urut tradisional bisa ngalawan badan bayi nu teu tenang. Ibu Yani ngiramkeun ka tukang urut nu ahli jeung berpengalaman. Tukang urut ngurutkeun bayi Ibu Yani secara lembut.,Bayi Ibu Yani jadi tenang sarta kaulinan,Ibu Yani ngajak bayi ka tukang urut nu teu berpengalaman
Pregnancy and Kids,Ibu Neneng ngajarin Ina ngaguluk cai. Ina kudu ngaguluk cai samentara Ibu Neneng ngaguluk nasi. Ina teu teu hayang ngaguluk cai. Ibu Neneng ngasih Ina hadiah keun teu ngaguluk cai.,Ina jadi bisa ngaguluk cai,Ina teu pernah ngaguluk cai deui
Pregnancy and Kids,Ayah Dinda nyuruh Dinda ngajaga Ade. Dinda teu hayang ngajaga Ade sabab gembira maén jeung sahaba. Ayah Dinda ngasih Dinda duit pikeun ngajaga Ade. Dinda ngajaga Ade sambil maén handphone.,Ade teu nangis alatan Dinda ngasih susu jeung mainan,Ade nangis alatan teu dijaga
Pregnancy and Kids,Tina teu bisa nulis. Tina teu ngerti cara nulis huruf. Tina teu resep nulis di buku tulis. Tina geus dipelajari nulis ku Ibu.,Tina bisa nulis hurup,Tina teu bisa nulis deui
Pregnancy and Kids,Rara teu bisa ngajarkeun anakna cara ngaduk nasi. Rara teu ngerti cara ngaduk nasi anu benar. Rara ngajak anakna pikeun ngaduk nasi bareng-bareng. Rara ngajarkeun anakna cara ngaduk nasi.,Anakna tiasa ngaduk nasi,Anakna teu tiasa ngaduk nasi
Pregnancy and Kids,Dedi ngaresepkeun baju baruna. Dedi teu hayang ngabagi baju baruna ka adikna. Dedi dipeluk ku Ibunya. Dedi ngasih baju baruna ka adikna.,Adikna bahagia,Dedi teu ngasih baju baruna ka adikna
Pregnancy and Kids,"During a traditional Sundanese ceremony, a young girl named Rani is startled by the loud sounds of the gamelan music. Rani starts to cry, clinging tightly to her mother. Rani's mother comforts her, explaining the beauty and significance of the music. Rani slowly calms down and begins to enjoy the ceremony.","Rani eventually taps her feet to the rhythm of the gamelan, filled with wonder.",Rani continues to cry throughout the entire ceremony.
Pregnancy and Kids,A young boy named Edo is learning to help his father prepare offerings for their ancestors during a traditional Sundanese ceremony. Edo is clumsy and spills some of the rice while trying to arrange it on the offering plate. Edo's father patiently shows him how to do it properly.,"Edo successfully arranges the rice on the plate, feeling proud of his contribution to the ceremony.","Edo gets frustrated and gives up, refusing to help any further."
Pregnancy and Kids,"A young girl named Maya is excited to wear her new kebaya, a traditional Sundanese dress, for the first time. Maya tries to put it on by herself but struggles with the intricate buttons. Maya's grandmother helps her dress, telling her stories about the history and symbolism of the kebaya.","Maya feels beautiful and confident in her kebaya, understanding its cultural significance.","Maya dislikes the kebaya and refuses to wear it, preferring her modern clothes."
Pregnancy and Kids,Ibu Luluk ngaresepkeun kue cucur pikeun anak-anakna nu geus gembira dina hari raya. Aya nu suka tapi aya ogé nu teu suka ku rasa kue. Luluk ngajak anak-anakna pikeun ngadamel kue bareng.,Anak-anakna hirupna jadi leuwih ngarti ngeunaan rasa jeung resep kue,Ibu Luluk ngadamel kue nu leuwih sédapp
Pregnancy and Kids,Rina ngalahirkeun anak mungil. Rina teu ngawinum nutuh anakna ku cara tradisional. Rina nganggap yén nutuh teu penting. Rina ngagunakeun susu formula pikeun anakna.,Rina ngajaga kebersihan jeung kesehatan anakna ku cara nu luhur,Anak Rina sakit terus
Pregnancy and Kids,"Dina upacara ngaranakeun anak, orang tua ngawajibkeun anakna pikeun ngajabat ngaran nu dipipayu ku kakek-kakekna. Anakna teu ngerti hartina ngaran nu dipipayu ku kakek-kakekna. Anakna kudu nepi kana nu teu ngerti.",Anakna dijelaskeun ku orang tua ngeunaan arti ngaran nu dipipayuna,Anakna teu ngagunakeun ngaran nu dipipayu ku kakek-kakekna
Pregnancy and Kids,"Dina acara khitanan, Ujang teu bisa netep tenang. Ujang teu moal dikhitan. Ujang ngarasa takut. Ibunya ngasuh Ujang ngantos acara khitanan rampung.",Keluarga Ujang ngahontal bantuan ustadz pikeun ngajelaskeun ngeunaan khitanan ka Ujang,Ujang dikhitan paksa
Pregnancy and Kids,"Dina acara seureuhan, Ririn teu bisa ngadamel karya seni tradisional. Ririn teu ngarasa seru. Ririn ngarasa iri ka sajawatna nu bisa ngadamel karya seni tradisional.",Ririn diajar ku guru seni pikeun ngadamel karya seni tradisional,Ririn teu kungsi ngadamel karya seni tradisional
Pregnancy and Kids,Sari ngajaga ulana nu masih bayi. Sari teu ngerti carana ngaganti popok ulana. Sari teu ngerti carana ngelana ulana. Sari ngarepotkeun ibu ulana.,Sari dipelajarin ku ibu ulana carana ngaganti popok jeung ngelana,Sari ngaleupaskeun popok ulana
Pregnancy and Kids,Asih keur jadi mahasiswa di Bandung. Asih teu bisa masak. Asih rindu ka budaya Sunda. Asih ngaresepkeun resep makanan sunda favoritna.,Asih ngajak teman-teman kampusna pikeun masak bareng,Asih ngajangji aya restoran Sunda di Bandung
Pregnancy and Kids,"Dina acara pangantenan, pasangan nu panganten teu ngarti makna basa Sunda nu dibacakeun ku pembawa acara. Pasangan nu panganten teu ngerti adat Sunda. Pasangan nu panganten teu ngerti makna ritual pangantenan.",Pasangan nu panganten ngajak sesepuh pikeun ngajelaskeun ngeunaan adat Sunda,Pasangan nu panganten teu geus ngarasa canggung
Death,Ibu Asep ngafungsikeun upacara tahlilan pikeun almarhum papanya. Ibu Asep ngarengsepkeun sadaya tamu kalayan saé. Ibu Asep meunang bantuan ti keluarga jeung tetangga pikeun ngatur acara. Ibu Asep ngarasa lega almarhum papana dikeuburan kalayan khidmat.,Ibu Asep ngarasa tenang jeung ikhlas ngaléléskeun almarhum,Ibu Asep ngarasa sedih terus
Death,"Ki Gede ngabagéan warisan ka anak-anakna. Anak sulung ngahayukeun bagianna, sedengkeun anak kadua beuki teu kepéng. Ki Gede ngajelaskeun yén bagianana adil. Anak kadua teu ngagogo.",Anak kadua ngarasa ngerti jeung ngahormatkeun keputusan Ki Gede,Anak kadua ngampartokan
Death,Udin saudarana polah pas ibu nya ngalungsar. Udin ngajaga ibu jeung ngalayanana. Udin ngambela keur ngurus jenazah ibu. Udin ngalakukeun kahiangan,Udin ngarasa sedih tapi ngabogaan hati pikeun ngalamaning,Udin teu ngarasa apa-apa
Death,Siti ngabagi-bagi bubur ka tetangga. Siti ngarusakeun bubur keur keluarga almarhum. Siti ngajaga kesopanan jeung sopan santun. Siti ngarasa bahagia bisa ngabantu,Siti ngarasa gembira bisa ngajalanké tradition,Siti teu ngabagi bubur ka tetangga
Death,Ujang teu ngawaskeun kakeknya nu sakit. Ujang teu teu ngajenguk kakek. Ujang teu ngasah keunaan teu ngurilingan kakek. Ujang teu ngarasa bersalah,Ujang ngarasa menyesal teu ngurilingan kakek,Ujang teu ngarasa apa-apa
Death,"Ibu Ratih geus lalayupa. Ratih ngadamel sateusian pikeun ibu. Ratih nyebutkeun ka eureunan nya, “Ibu, ayeuna mah geus teu bisa ngadamel sateusian deui.”",Ratih ngarasa sedih lantaran ibu nya geus teu aya.,Ratih ngarasa senang lantaran teu kudu ngadamel sateusian deui.
Death,"Bapak Dani geus kasakit parah. Bapak Dani dirawat di rumah sakit. Tiasa rasanana, Bapak Dani ngumumkeun ka kulawargana yén manéhna teu aya waktu hirup nu panjang.",Bapak Dani minta maaf ka kulawargana lamun aya salahna.,Bapak Dani ngarasa seneng lantaran teu kudu mikir ngeunaan urusan kantor deui.
Death,Lina ngabantuan ibu nya pikeun ngurus jenazah ayeuna. Lina ngusir baju nu dipigunakeun ku ayeuna keur disedekakeun. Lina ngajabalkeun doa pikeun ayeuna.,Lina ngalakukeun kagiatan ieu salaku bentuk bakti ka ayeuna.,Lina ngalakukeun kagiatan ieu sabab diharuskan ku tetangga.
Death,Nenek Rini geus kasakit parah. Nenek Rini dirawat di rumah sakit. Doket nyebutkeun yén Nenek Rini teu lila deui hirupna.,Anjeunna ngaresepkeun kumpul all kulawargana.,Anjeunna ngaresepkeun ngabih urang
Death,Asep geus siap pikeun ngalaksanakeun upacara siraman. Asep geus nyiapkeun baju nu eureun nya ngasihkeun.  Asep ogé ngasihkeun seserahan ka kulawarga eureun nya.,Upacara siraman nyaéta bagian tina tradisi pernikahan di budaya Sunda,Asep ngalaksanakeun upacara siraman sabab diharuskan ku hukum.
Death,Pak Udin ngalakukeun upacara tahlilan pikeun ayahnya anu geus tiwas. Pak Udin ngajak sakumna kulawargana pikeun ngumpul di imah.  Pak Udin ngabagi-bagikeun nasi bungkus ka para tamu. Pak Udin ngadangkeun doa pikeun ayahnya.,Pak Udin ngarasakeun rasa syukur ku sabaraha bantuan ti kulawarga jeung handapeun.,Pak Udin teu ngarahayuan basa-basa nu dibacakeun ku Kyai.
Death,Ibu Ani ngabalukarkeun anakna teu beuki keur ngawasakeun jasad ayeuna. Ibu Ani ngabantu anakna ngawasakeun jasad ayeuna. Ibu Ani ngajak anakna pikeun ngiring dimakamkeun. Ibu Ani ngasih doa pikeun anakna.,Ibu Ani ngajak anakna pikeun ngumpul tina doa bareng.,Ibu Ani ngadéngkeun musik favorit anakna.
Death,Ayah Budi geus tiwas saatos sakit. Anakna ngagelar tahlilan di imah.  Anakna ngabagi-bagikeun kain kafan pikeun dibagikeun ka tetangga.  Pangurus kampung ngajak anakna pikeun ngumpul di balai.,Anakna ngagelar doa bareng pikeun Ayah Budi.,Anakna langsung balik ka imah masing-masing.
Death,Yudi nemu surat wasiat ti kakeknya. Surat wasiatna ngeusian harta warisan ka Yudi.  Yudi ngagelar pertemuan jeung kulawargana pikeun ngebahas surat wasiatna.  Yudi ngalaksanakeun hak-hakna minangka ahli waris.,Yudi ngabagi harta warisan sesuai jeung kainginan kakek.,Yudi ngadamel masalah jeung kulawargana.
Death,Kakek Sudirman geus tiwas. Urang keluarga ngabagi-bagikeun tugas pikeun nguruskeun upacara pemakaman.  Anakna ngagelar tahlilan di imah. Anakna ngajak para tetangga pikeun ngiring dimakamkeun.,Urang keluarga ngalaksanakeun upacara pemakaman sesuai adat Sunda.,Urang keluarga teu ngagelar tahlilan.
Religious Holiday,"Dina poé Lebaran, Ujang jeung kulawargana ngumpul di imah buyut. Sabada sholat Ied, aranjeunna ngalaksanakeun tradisi silaturahmi ka handapeun. Ujang ngasih angpao ka keponakan-keponakanana. Ujang teu teu ngahontal teu kabeh kerabatna.",Ujang teu bisa ngalaksanakeun silaturahmi ka sadaya kerabatna lantaran jauhna nu panjang.,Ujang teu ngalaksanakeun silaturahmi lantaran teu aya waktu.
Religious Holiday,"Dina poé  Nyepi, Rani teu meunang keluar rumah. Rani teu meunang ngebat atawa ngalakukeun hal nu bising. Rani ngabagi-bagikeun sesaji ka para tetangga. Rani ngadamel kue tradisional.",Rani ngadamel kue tradisional pikeun dibagikeun ka para tetangga.,Rani ngadamel kue tradisional pikeun dimakan sendiri.
Religious Holiday,"Dina poé Kuningan, keluarga Entis ngumpul di pura. Entis jeung kulawargana nyiapkeun sesajen pikeun memuja Ida Batara. Kabeh anggota kulawargana maké baju adat Sunda. Entis teu bisa nunggu pikeun ngalaksanakeun upacara adat.",Entis teu bisa nunggu pikeun ngalaksanakeun upacara adat lantaran aya urusan penting.,Entis teu bisa nunggu pikeun ngalaksanakeun upacara adat lantaran teu niat.
Religious Holiday,"Dina poé Natal, Asep jeung kulawargana nghias poho Natal. Asep jeung kulawargana ngagantung lampu-lampu geulis di poho Natal. Asep jeung kulawargana ngadengkeun lagu-lagu Natal. Asep teu suka ngagantung bintang di pucuk poho Natal.",Asep teu suka ngagantung bintang di pucuk poho Natal lantaran teu teu aya bintang.,Asep teu suka ngagantung bintang di pucuk poho Natal lantaran teu suka.
Religious Holiday,Ibun ngajoga kudu ngawasakeun kaseimbangan rasa. Ibun teu bisa ngasihkeun sakabéh kekeunaan ka anak. Ibun kudu ngajaga kana keseimbangan antara kasih sayang jeung disiplin. Ibun teu hayang kekeunaan jadi nu ngarugikeun anak.,Ibun ngajar anakna nilai-nilai luhur saperti hormat ka luhur,Ibun ngaluarkeun kabéh kekeunaan ka anakna
Religious Holiday,"Dina poé Lebaran, keluarga Riana geus siap pikeun ngalaksanakeun tradisi silaturahmi. Riana jeung kakana geus siap pake baju anyar. Ibu geus masak kue kering khas Lebaran. Riana teu sabar pikeun ngagunakeun baju anyarna.",Riana jeung kulawargana ngalaksanakeun tradition silaturahmi ka rumah kekeluargaan,Riana ngajak kakana maén komputer
Religious Holiday,"Dina poé Nyepi, Dédé teu dibérékan ku ayuna. Dédé ménta bantuan ka tetangga nya. Dédé teu ngajalanan ritus Nyepi. Dédé teu percaya kana tradisi.",Dédé dibérékan ku tetangganya.,Dédé dihukum ku tetangganya
