topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Traditional Games,Dedi mutusake kanggo nggawe egrang anyar.,Dedi ora dolanan maneh amarga ora seneng.,Dedi dolanan egrang ing alun-alun desa,Egrang iku dolanan sing butuh keseimbangan lan latihan,Dedi mlaku kanthi lancar ing egrang,Tiba-tiba Dedi tiba amarga egrangé patah
Food,Kanca-kanca kantor Sinta seneng karo rasa getuk lindri.,Kanca-kanca kantor Sinta ora suka getuk lindri.,Sinta nggawa oleh-oleh getuk lindri saka kampung halaman,Getuk lindri iku panganan tradisional sing digawe saka ketela pohung,Kanca-kanca kantor Sinta penasaran karo panganan iki,Sinta ngajak kanca-kancane nyicipi getuk lindri
Fisheries and Trade,Rina lan keluargane ngedol udang-udang menyang restoran-restoran mewah.,Rina lan keluargane ora bisa ngedol udang amarga ora ana sing tuku.,Rina lan keluargane duwe tambak udang,Udang-udang kasebut dirawat kanthi teliti,"Saben wulan, udang-udang iki dipanen lan didol",Rina seneng banget yen panen sukses
Socio-religious aspect of life,Slametan desa rampung kanthi tentrem lan rahayu.,Wong-wong padha bali menyang omah karo eseman.,Sakahe wong desa padha kumpul ing alun-alun,Ana acara slametan desa kanggo ngucapke suwun marang Dewi Sri,Wong-wong padha nggawa sesaji lan kembang,Kabeh padha ndedonga kanthi kidung-kidung suci
Socio-religious aspect of life,Pak Karyo ngajari anak lanangne babagan pijet.,Pak Karyo ora ana sing percaya maneh.,Pak Karyo ahli pijet tradisional,Wong-wong desa kerep teka kanggo dipijet,Pijetan Pak Karyo bisa nyuda rasa lara lan pegel,Wong-wong desa percaya skill Pak Karyo
Daily Activities,Wayang kulit ngelingake Pak Rahmat babagan budaya lan tradisi.,Pak Rahmat ora ngerti apa-apa sing ditonton.,Pak Rahmat lagi nonton wayang kulit ing balai desa,Wayang kulit minangka seni tradisional sing kaya karo nilai-nilai luhur,Pak Rahmat seneng banget karo lakon-lakon sing disajikake,Dheweke ngrasakake nostalgia wektu isih cilik
Pregnancy and Kids,Dewi lan keluargane ngrasakake kebahagiaan lan syukur bareng-bareng.,Bayi Dewi nangis terus amarga ora nyaman karo acara kasebut.,Bayi Dewi lair kanthi sehat lan lancar,"Miturut tradisi Jawa, bayi kudu dinomasi rambut nalika umure pitung dina",Keluarga Dewi nganakake acara selapanan kanthi ngundang tetangga lan sanak saudara,Sesajen lan makanan tradisional disiapake kanggo para tamu
Daily Activities,Siti langsung mateni kompor lan ngresiki pawon.,Siti ora ngrasa yen kompor isih urip.,Siti lagi masak ing pawon,Dheweke nggoreng iwak kanggo kulawargane,Siti ora kelingan yen kompor isih urip,"Asile, iwake dadi gosong lan pawon kebak kumelun"
Traditional Games,Bocah-bocah luwih ngerti pentinge kerja sama.,Bocah-bocah dadi luwih seneng dolanan gadget.,Bocah-bocah padha main gobak sodor ing halaman sekolah,Gobak sodor iku game tradisional sing mbutuhake kerja sama tim,Saben tim kudu bisa nyegah tim lawan kanggo liwat garis,Game iki nggawe bocah-bocah luwih rukun lan kompak
Pregnancy and Kids,Anak diajak ngenal lingkungan sakitar.,Wong tuwa ora ngerti maksud upacara iki.,Upacara tedhak siten kanggo anak umur 1 tahun,Anak diajak mudhun saka tangga,Ana sajian lan permainan,Wong tuwa lan anak padha seneng
Agriculture,Siti ngrasakake keguyuban lan gotong royong warga desa.,Siti ora ngerti apa-apa babagan tradisi wiwitan tandur.,Siti seneng banget karo tradisi wiwitan tandur,"Nalika wiwitan tandur, kabeh warga desa padha bebarengan",Ana upacara lan pesta cilik kanggo nyukuri tanduran sing bakal ditandur,Siti mesthi melu acara iki saben taun
Family Relationships,Rina lan sepupu-sepupune dadi ngerti lan menghargai alam.,Rina lan sepupu-sepupune ora seneng dolan bareng.,Rina duwe kebiasaan ngumpul bareng karo sepupu-sepupune,"Saben liburan sekolah, Rina lan sepupu-sepupune dolan menyang desa","Ing desa, dheweke dolan menyang sawah lan kali",Kegiatan iki nggawe hubungan antarane sepupu dadi luwih erat
Death,Keluarga Pak Tono nindakake upacara nyewu dina kanggo mendoakan arwah.,Keluarga Pak Tono langsung ngrusak barang-barang peninggalane.,Pak Tono seda kanthi tenang ing wayah wengi,Keluargane langsung ngundang para tetangga lan sanak-sedulure,Wong-wong padha teka lan nindakake upacara slametan,Jenazah Pak Tono disarungake lan didadekake layon
Agriculture,Dewi lan keluargane nindakake upacara wiwitan bebarengan.,Dewi ora nindakake upacara wiwitan lan langsung nandur pari.,Dewi seneng nandur pari ing sawah,Dheweke percaya yen pari iku sumber penguripan kanggo keluargane,"Saben musim tandur, Dewi mesthi nindakake upacara wiwitan kanthi sesaji","Upacara iki kanggo ngormati Dewi Sri, dewi pertanian"
Family Relationships,Hubungan antarane warga dadi luwih erat lan harmonis.,Keluarga Budi ora seneng ngundang tetangga.,Keluarga Budi tansah ngundang tetangga-tetangga kanggo syukuran,"Sabanjure, tetanggane uga ngundang keluarga Budi yen ana syukuran",Iki dadi tradisi sing njaga hubungan apik antarane warga,Kabeh padha ngrasa seneng lan guyub
Family Relationships,Kabeh anggota keluarga rawuh ing acara kumpul-kumpul.,Ana sawetara anggota keluarga sing ora bisa rawuh.,Rini ngatur acara kumpul-kumpul keluarga,Keluarga gedhe Rini asring ngumpul saben taun,Rini kudu nggawe daftar panganan lan minuman,Rini ngundang kabeh anggota keluarga
Wedding,Cincin kawin dadi simbol katresnan lan budaya Jawa.,Cincin kawin kelangan nalika upacara.,Eni lan Joko nyiapake cincin kawin,Cincin kasebut diukir nganggo aksara Jawa,Keluarga Joko sing milih desain iki,Eni seneng banget karo pilihan iki
Socio-religious aspect of life,Darto tampil apik lan diapresiasi akeh wong.,Darto gagal lan mutusake ora jadi dalang maneh.,Darto seneng banget karo budaya wayang kulit,"Saben ana pagelaran wayang, dheweke mesthi melu nonton",Darto uga sinau dadi dalang,"Dina iki, Darto bakal nampilake wayang kanggo kaping pisanan"
Daily Activities,Tetangga-tetanggane Ratna padha gumun lan njupuk inspirasi saka dheweke.,Ratna mandheg ngrawat omahe amarga kesel.,Ratna iku ibu rumah tangga sing rajin,"Saben esuk, dheweke mesthi nyapu lan ngepel omahe",Ratna uga seneng nanem kembang ing pekarangan omahe,Pekarangan omahe Ratna dadi ijo royo-royo
Socio-religious aspect of life,Andi lan keluargane saiki lagi munggah haji.,Andi ora seneng karo acara selamatan iki.,Andi lan keluargane ngadani selamatan pitung dina,Acara iki kanggo mendoakan leluhure sing wis seda,Tetangga-tetangga pada teka lan ndonga bareng,Andi seneng bisa kumpul bareng keluargane
Death,Mbak Sri tetep sabar lan tabah.,Mbak Sri malah dolan menyang omahe kanca.,Mbak Sri nunggoni layon simbah,Layon diselehake ing tengah omah,Wong-wong padha teka ndongakake,Mbak Sri ora kober mangan awan iku
Wedding,Sari lan Budi nindakake upacara panggih karo penuh rasa syukur.,Sari lan Budi ora peduli karo tradisi lan adat Jawa.,Sari lan Budi lagi nyiapake mantenan ing omah tradhisi Jawa,Sari nganggo kebaya lan Budi nganggo beskap,Wong tuwa Sari nyiapake sesaji lan kembang telon,Para tamu teka nganggo batik lan nyumbang songgolan
Fisheries and Trade,Pak Tono nampa rejeki sing cukup kanggo keluargane.,Pak Tono pindhah dodolan menyang kota gedhe.,Pak Tono iku pedagang iwak ing pasar tradisional,Dheweke dikenal ramah lan jujur dening para pelanggan,"Saben dina, pasar dadi rame amarga Pak Tono dodolan",Pak Tono ora seneng dodolan
Agriculture,Jagung sing ditandur Andi lan kanca-kancane panen kanthi sukses.,Andi lan kanca-kancane ora melu upacara syukuran.,Andi lan kanca-kancane arep nandur jagung,Kabeh wis direncanakake kanthi rapi,Wong tuwa desa menehi pitutur babagan cara nandur sing bener,"Upacara ""syukuran"" dianakake sadurunge nandur"
Death,Upacara nyewu dina dilakokake kanthi khusyuk lan lancar.,Upacara nyewu dina diurungake amarga udan deres.,Rina lan sedulur-sedulure lagi nyiapake upacara nyewu dina kanggo ibune,Kabeh wis diaturake kanthi apik,Wong-wong desa padha melu ndedonga bareng,Rina munggahake sesajen ing meja upacara
Family Relationships,Ulang tahun Siti dadi kenangan sing ora terlupakan.,Ulang tahun Siti sepi lan ora ana sing teka.,Siti arep nganakake acara ulang tahun,Siti ngajak kabeh tangga-tanggane kanggo rawuh,Tangga-tanggane padha teka lan nggawa hadiah,Siti seneng banget amarga bisa ngrayakake karo tangga-tangga
Art,Budi lan kancane tampil apik lan diapresiasi kabeh warga.,Budi ora bisa main gamelan maneh amarga tangane lara.,Budi ahli main gamelan,"Saben malem minggu, dheweke lan kancane latihan bareng",Gamelan wis dadi bagéan saka uripe,"Dina iki, ana acara adat ing desa"
Fisheries and Trade,Iwak- iwak Pak Budi laris manis ing pasar.,Pak Budi ora bisa adol iwake ing pasar.,Pak Budi ngopeni kolam iwak sing gedhe,Iwak- iwak mau dirawat kanthi apik saben dina,"Saben minggu, Pak Budi ngresiki kolam lan mriksa kahanan iwak",Pak Budi banjur adol iwake ing pasar
Daily Activities,Budi telat tekan sekolah.,Budi tekan sekolah pas wektu.,Budi kudu menyang sekolah nganggo sepeda,Sepedhane wis disiapake saka esuk,"Nalika liwat dalan sing rame, ban sepedhane bocor",Budi kudu mendorong sepedhane nganti bengkel
Food,Kanca-kanca Sari ora kersa wingko babat.,Kanca-kanca Sari njaluk nambah wingko babat.,Sari nggawa oleh-oleh wingko babat kanggo kanca-kancane,Wingko babat digawe saka kelapa lan gula,Wingko babat iku panganan khas saka Lamongan,Kanca-kanca Sari seneng banget
Pregnancy and Kids,Sumarni rumangsa bayi bakal luwih aman.,Sumarni ora percaya karo tradisi ruwatan.,Sumarni ngandhut anak kaping loro,Sumarni nindakake tradisi ruwatan bayi,Tradisi iki kanggo njaga bayi saka pengaruh ala,Keluarga Sumarni kabeh melu ruwatan
Wedding,Pesta iki bakal dadi kenangan sing ora bakal dilalekake.,Pesta iki diurungake amarga ana masalah teknis.,Rina lan Budi lagi nyiapake busana kanggo pesta perkawinan tradisional Jawa,"Rina nganggo kebaya lan sanggul, dene Budi nganggo beskap lan blangkon",Wong tuwa lan sanak saudara melu ndandani lan mberkahi,Pesta bakal dianakake ing omah joglo tradisional
Pregnancy and Kids,Bayine Tini dadi sehat lan ora gampang lara.,Bayine Tini ora seneng dimijeti.,Tini sinau carane nggedhekake bayi,Ibu Tini ngandhani yen bayi kudu diruwat saben dina,Tini uga diwulang carane mijeti bayi nganggo minyak kelapa,"Miturut tradisi, iki kanggo njaga kesehatan bayi"
Socio-religious aspect of life,Kris Pak Slamet katon luwih kinclong lan berdaya.,Pak Slamet mutusake ora bakal ngumbah kris maneh.,Pak Slamet kerep ngumbah kris ing sendhang suci,Pak Slamet percaya yen kris iku duwe kekuatan gaib,"Saben taun, Pak Slamet nganakake ritual ngumbah kris",Kris Pak Slamet ilang ing sendhang
Pregnancy and Kids,Roni mlewati tangga lan sesaji karo semangat.,Roni mung nonton acara kasebut tanpa melu.,Ana tradisi tedhak sinten kanggo bocah sing wis mulai bisa mlaku,Acara iki minangka simbolisasi anak mulai mlebu alam donya,Keluargane Roni nyiapake tangga lan sesaji kanggo acara iki,Roni diajak mlaku-mlaku ing lemah lan tangga
Pregnancy and Kids,Sinta ngrasakake berkah lan ketenangan.,Sinta ora ngrasakake apa-apa saka acara selamatan.,Sinta wis ngandhut 7 wulan,Wong tuwane Sinta ngatur acara selamatan 7 bulanan,Acara kasebut nglibatake doa lan sesaji kanggo kesejahteraan ibu lan bayi,Sinta ngerasa ayem karo tradhisi iki
Socio-religious aspect of life,Kesehatan Bu Tini saya apik lan ora gampang lara.,Bu Tini ora ngrasakake efek apa-apa saka jamu iki.,Bu Tini kerep nggoleki jamu godhong sambiroto kanggo ngatasi kesele,Jamu iki digawe saka godhong sing direbus lan dienggo,Saben sore Bu Tini nggodhok jamune lan ngombe,Dheweke percaya yen iki bisa nggawe awake luwih sehat
Fisheries and Trade,Bambang lan warga desa ngadani slametan kanthi lancar.,Bambang ora ngetrapake tradisi slametan.,Bambang iku nelayan ing desa cilik,Bambang mesthi ngrawat jaring lan prahu sadurunge budhal,Bambang ngetrapake tradisi slametan sadurunge mangsa iwak,Kabeh warga desa mèlu slametan
Religious Holiday,"Sawise salat Id, kabeh warga padha salam-salaman lan maaf-maafan.",Bocah-bocah padha ora seneng lan metu saka desa.,"Dina riyaya Idul Fitri, warga desa padha kumpul ing masjid",Wong-wong padha nyiapake panganan khas lebaran,Bocah-bocah padha dolanan bebarengan,Wong-wong padha seneng-seneng
Daily Activities,Alih lan keluargane njupuk panganan lan nikmati bebarengan warga.,Alih lan keluargane ora mangan panganan lan langsung bali.,Ana pesta ing kampung,Semua warga ngumpul ing balai desa,Ana macem-macem panganan khas Javanese disajikake,Alih lan keluargane uga teka ing pesta kuwi
Agriculture,Tanduran kacang tanah Wulan lan ibune tuwuh subur lan panen akeh.,Tanduran kacang tanah Wulan lan ibune ora tuwuh subur lan gagal panen.,Wulan lan ibune lagi nandur kacang tanah ing pekarangan omahe,Ibune Wulan ngajari tradisi tandur sing diwarisake saka nenek moyang,Tradisi iki ngarani yen kudu nandur kacang tanah nalika wulan purnama,Wulan manut karo piwulang ibune
Daily Activities,Yanto menyang sekolah kanthi cepet lan isih sempet ujian.,Yanto kepeksa tinggal ujian amarga kesiangan.,Yanto lagi sinau kanggo ujian pungkasan,Yanto pancen sregep lan tansah ngleksanani tugas,"Ing wayah wengi, Yanto krasa kesel banget lan turu","Esuke, Yanto kaget amarga ora tangi ing wektu sing bener"
Pregnancy and Kids,Upacara ruwatan dilakoni kanthi hikmat lan lancar.,Ruwatan iku mung buang-buang waktu lan tenaga.,"Dina pasaran kliwon, keluarga Arif ngadani ruwatan kanggo anak sing lagi umur setahun",Ruwatan kuwi kanggo ngusir nasib ala lan ngejawantahake masa depan sing cerah,Upacara iki dipimpin dening dukun kampung sing wis dipercaya,Keluarga Arif ngarep-arep anak bakal tumbuh dadi wong sing sukses
Agriculture,Selamatan panen dadi tradisi kanggo ngucap syukur marang Gusti.,"Sawise panen, warga langsung adol kabeh hasil padi tanpa ngadani acara.",Tani Desa Sumber Rejeki lagi panen padi,Warga desa padha gotong royong sajeroning panen,Panen iki dadi acara penting kanggo kabeh warga,"Sawise panen, warga ngadani selamatan"
Food,Jenang abang sing digawe Wulan lan nenekne enak banget lan disukai keluarga.,Jenang abang sing digawe Wulan lan nenekne ora enak lan ora disukai keluarga.,Wulan sinau nggawe jenang abang karo nenekne,Jenang abang iku panganan tradisional saka ketan lan gula jawa,Nenek Wulan nerangake yen jenang abang asring digawe kanggo acara selametan,Wulan nyoba nggawe adonan jenang abang nganggo tangane dhewe
Food,Tangga sebelah ora seneng karo rasa gethuk.,Santi lan tanggane mangan gethuk bareng-bareng.,Santi nggawa oleh-oleh gethuk saka omah nenek,Gethuk iku digawe saka ketela pohung,Santi seneng banget karo rasane sing manis lan gurih,Santi menehi gethuk marang tanggane sing kepengin nyoba panganan tradisional iki
Fisheries and Trade,Panen lele-e akeh lan disukai para pembeli.,Lele-e mati kabeh amarga pakan kurang.,Mbok Sari duwe tambak iwak lele,"Saben dina, dheweke menehi pakan iwak kanthi rutin",Tambak iku dadi salah siji sumber penghasilan keluargane,"Dina iki, dheweke panen iwak lele"
Food,Keluargane Bambang seneng lan puji masakan gudeg sing dimasake Bambang.,Keluargane Bambang ora suka lan ora mau nyicipi gudeg kasebut.,Bambang lagi nyoba masak gudeg,Gudeg iku masakan tradisional saka nangka muda sing dimasak nganggo santan,Bambang kudu nunggu pirang jam kanggo masak gudeg nganti empuk,Bambang pengin nyajikake gudeg kanggo keluargane
Family Relationships,Tangga-tangga padha ngajeni lan tresna karo Mbok Minah.,Tangga-tangga ora seneng karo kehadiran Mbok Minah.,Mbok Minah mbantu tanggane yen ana kenduri,Mbok Minah tansah nggawa panganan kanggo tetanggane,Tangga-tangga padha seneng yen Mbok Minah rawuh,Mbok Minah duwe hubungan apik karo tanggane
Traditional Games,Dolanan iki ngajarake ketrampilan lan ketangkasan tangan.,Anak-anak banjur padha nesu amarga dolanane angel banget.,Dolanan benthik dadi favorit anak-anak ing desa,Dolanan iki mbutuhake tongkat cilik lan gedhe kanggo ngetokake tongkat cilik saka lubang,"Saben sore, lapangan desa kebak karo anak-anak dolanan benthik",Wong tuwa uga seneng ndeleng anak-anak padha dolanan
Pregnancy and Kids,Ari dadi luwih trampil ngerumat bayine.,Ari ora bisa ngurus bayine lan kerep bingung.,Ari sinau cara mbikak bayi karo ibune,Ibune Ari ngajari cara ngumbah lan nggendong bayi sing bener,Ari uga sinau cara ngasuh bayi bengi-bengi,Ibune Ari ndhukung lan mbantu Ari ngerumat bayine
Food,Budi nggawa dodol cemplon lan keluargane seneng banget.,Budi lali nggawa dodol cemplon lan keluargane kuciwa.,Budi kepengin nggawa oleh-oleh kanggo keluargane,"Budi milih dodol cemplon, panganan tradisional saka desa","Ing pasar, Budi ngrembug regane karo bakul",Budi akhirnya tuku sak sithik dodol cemplon
Agriculture,Mbak Yuni njaluk bantuan tanggane kanggo mbantu panen.,Mbak Yuni ora ngerti carane panen woh-wohan.,Mbak Yuni nandur cabai lan tomat ing kebon cilik mburi omahe,Dheweke tansah ngrawat tandurane saben dina,"Sawise sawetara wulan, tandurane wiwit metokake woh",Mbak Yuni seneng banget ndelok woh-wohane kang subur
Family Relationships,Wulan nguri-uri kabudayan Jawa marang kanca-kancane.,Wulan ora ngerti budaya Jawa.,Wulan seneng dolan menyang omahe mbah putri ing desa,"Ing kana, dheweke sinau babagan budaya lan adat Jawa",Mbah putri tansah ngajari Wulan babagan kabudayan Jawa sing luhur,Wulan ngrasa bangga dadi keturunan Jawa
Fisheries and Trade,Pak Kirno percaya yen syukur bakal nggawa berkah.,Pak Kirno lali mriksa iwake dina iku.,Pak Kirno iku petani iwak sing trampil,"Saben esuk, dheweke mriksa kolam iwake",Dheweke mesthekake yen iwake dipangan lan banyune resik,Pak Kirno uga tansah ngucapake syukur marang Gusti Allah
Art,Lara lan kanca-kancane tampil ing acara budaya desa.,Lara lan kanca-kancane malah luwih seneng nembang lagu pop.,Lara seneng banget nembang lagu dolanan tradisional Jawi,"Saben sore, dheweke ngumpulake kanca-kancane kanggo sinau lan nembang bareng",Lagu-lagu dolanan iku nggawe dheweke rumangsa luwih cedhak karo budaya lan sejarah Jawi,Kanca-kancane uga seneng banget karo kegiatan iki
Fisheries and Trade,Mbak Siti bisa ngasilake untung gedhe.,Udang saka Mbak Siti ora payu ing pasar.,Mbak Siti tuku udang ing pelelangan,Mbak Siti arep adol maneh udang ing pasar,Udang-udang iku direndhem banyu asin,Wong-wong ing pasar seneng karo udang saka Mbak Siti
Daily Activities,Ibune Luluk trenyuh amarga Luluk wis bisa masak dhewe.,Luluk ora seneng masak maneh amarga gagal.,Luluk sinau masak saka ibune,"Dina iki, dheweke arep masak rawon kanggo kulawargane",Ibune ngandhani supaya ati-ati karo bumbu,Luluk kaget amarga rasa rawone beda
Food,Budi dadi duta buah lokal ing sekolah.,Budi ora seneng maneh mangan buah lokal.,"Budi seneng mangan buah lokal kaya salak, rambutan, lan durian",Dheweke kerep tuku buah-buahan iki saka pasar tradisional,Buah-buahan iki nggawe Budi ngrasa luwih sehat lan kuat,Budi ngrasakake manfaate buah lokal sing seger lan bergizi
Agriculture,Mbak Sri ngajari bocah-bocah desa nandur sayuran.,Mbak Sri ora seneng karo hasil kebone lan mandheg.,Mbak Sri nandur sayuran organik ing pekarangan omahe,Dheweke percaya yen sayuran organik luwih sehat lan ramah lingkungan,Tetangga-tetangga uga diundang kanggo belajar nandur sayuran,Pekarangan omahe saiki dadi kebon sing subur
Wedding,Sari seneng bisa ketemu kanca-kanca lawas lan ngramekake pesta.,Sari lali nggawa kadone lan ora diijini mlebu.,Sari nampa undangan pernikahan saka kanca lawas,Undangan kasebut dihias nganggo ukiran batik lan tulisan aksara Jawa,Sari nyiapake kado khusus kanggo pasangan pengantin,Dheweke uga nganggo kebaya kanggo acara kasebut
Religious Holiday,Kabeh warga desa kagum karo pawai obor iki.,Obor-obor bocah-bocah mati kabeh.,"Sasi Ramadan, bocah-bocah desa padha ngumpul sawise sholat maghrib",Padha nyiapake obor kanggo pawai malam takbiran,Kabeh bocah seneng banget lan semangat,Pawai obor dadi tradisi sing ditunggu-tunggu
Fisheries and Trade,Sari lan Budi kerja bareng kanggo nyukupi kabeh pesenan.,Sari lan Budi ora bisa ngladeni pembeli amarga warunge sepi.,Sari lan Budi duwe warung iwak bakar,Wong-wong ing desa seneng mangan ing warunge Sari lan Budi,Sari lan Budi mesthi milih iwak segar saka pasar,"Dina iki, warunge rame banget"
Art,Puisine Lintang ditampa lan diwaca ing festival seni.,Lintang ora diwenehi kesempatan maca puisi.,Lintang nulis puisi ing basa Jawa,Lintang pengin puisine diwaca ing festival seni,Lintang latihan maca puisi saben dina,Guru sastra Jawa mènèhi saran marang Lintang
Pregnancy and Kids,Endah rumangsa lega lan bahagia.,Endah ora ngerti carane ngurus bayi.,Endah arep nindakake upacara turun tanah kanggo anak kaping pisanan,Wong tuwa Endah mbantu nyiapake kabeh kebutuhan,Keluargane padha teka kanggo ndedonga lan nyuwun berkah,Acara kasebut kebak adat lan tradisi
Pregnancy and Kids,Upacara tedhak siten berlangsung meriah dan anak Joko lan Rini dilindungi dan diberkahi.,Acara tedhak siten malah ora dadi sebab tangga tebu wulung ilang.,Joko lan Rini lagi nyiapake acara tedhak siten kanggo anak wadon sing umure wis genap 7 bulan,Acara tedhak siten iki minangka simbol anak mulai ngenal bumi lan bakal ngadhepi urip,Joko lan Rini nyiapake tangga tebu wulung lan sesaji kanggo upacara,Keluarga lan tetangga padha ngumpul kanggo nyakseni acara iki
Fisheries and Trade,Pak Budi ngajak anake supaya ngerti cara ngurus perahu lan nyekel iwak.,Pak Budi kesel lan pengin adol perahune.,Pak Budi duwe perahu sing digunakake kanggo nyekel iwak ing laut,"Saben mangkat, Pak Budi mesthi ngucapake donga supaya selamet lan akeh rejeki",Perahu iki diwarisake saka leluhure,Pak Budi ngrawat perahune kanthi apik
Food,Wulan ora ngerti yen jenang abang bisa nyebabake diabetes.,Jenang abang dadi ora populer amarga regane larang.,Wulan duwe kebiasaan mangan jenang abang saben dina pasaran Kliwon,Jenang abang iku panganan khas Jawa sing digawe saka beras ketan lan gula jawa,Wulan percaya yen mangan jenang abang bisa menehi berkah lan kesehatan,Kanca-kancane Wulan uga seneng karo jenang abang iki
Fisheries and Trade,Budi lan Anto mutusake kanggo ngenteni ombak dadi tenang.,Budi lan Anto nekad mangkat nang laut.,"Budi lan kancane, Anto, lagi nyiapake jaring kanggo nangkep iwak","Pancen, nelayan ing desa padha bareng-bareng nyiapake peralatan sadurunge mangkat nang laut",Tradisi iki wis ana turun-temurun,"Dina iki, ombak laut katon luwih gedhe"
Pregnancy and Kids,Wulan ngrasakake manfaat saka jamu tradisional.,Wulan ora seneng ngulek jamu lan luwih milih obat modern.,Ana tradisi ngulek jamu kanggo ibu hamil ing desa Wulan,Wulan lan bojone seneng banget ngetutake tradisi iki,Jamu dipercaya bisa nggawe ibu lan bayi luwih sehat,Wong tuwa Wulan sing nyiapake jamu kasebut
Art,Grup Raka menang lomba lan dadi juara.,Raka ora dadi pemimpin grup maneh.,Raka seneng nembang tembang dolanan,Raka lan kanca-kancane nglatih tembang dolanan kanggo lomba antar desa,"Saben sore, dheweke kumpul ing balai desa kanggo latihan",Raka dadi pemimpin grup nembang dolanan
Food,Keluarga Pak Budi ngrasa bahagia lan guyub.,Keluarga Pak Budi ora seneng mangan bareng ing pawon.,"Dina iki, keluarga Pak Budi arep mangan bareng ing pawon","Pawon tradisional Jawa digawe saka kayu lan genting, lan ana anglo kanggo masak",Ibu Budi masak sayur asem nganggo anglo iki,Kabeh anggota keluarga kumpul lan mangan bareng ing pawon
Pregnancy and Kids,Kabeh seneng lan ngguyu bareng ing acara syukuran iki.,Wati lali nyiapake bubur abang putih.,"Dina iki, Wati nyiapake bubur abang putih kanggo syukuran bayi",Tradisi iki minangka cara kanggo ngucapake rasa syukur marang Gusti,Wati ngrampungake kabeh persiapan kanthi ati-ati,Keluarga lan tetangga teka kanggo ndonga bareng
