topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4,generated_by,language
Agriculture,Lestari bisa nandur lan ngolah tanduran obat kanthi trampil.,Lestari ora maca buku babagan tanduran obat.,Lestari sinau babagan tanduran obat tradisional saka nenekne,Nenekne duwe kebon cilik ing mburi omah,Lestari diajari cara nandur lan ngolah tanduran obat,Lestari kebak semangat kanggo nerusake tradisi iki,claude,su
Religious Holiday,Gita rumangsa lega lan tentrem sakwise sungkeman.,Gita ora gelem melu sungkeman karo keluargane.,Gita lan keluargane nindakake tradisi sungkeman sakwise sholat Idul Fitri,Wong-wong padha njaluk pangapura marang wong tuwa lan sanak sedulur,Iki minangka wujud rasa hormat lan nguwatake hubungan antarane keluarga,Sungkeman dadi momen sing emosional lan penting,claude,su
Art,Bayu lan grup karawitan tampil apik ing acara adat desa.,Bayu lan kanca-kancane ora bisa latihan amarga alat gamelan rusak.,Bayu lan kanca-kancane nggawe grup karawitan kanggo nguri-uri budaya Javanese,Dheweke kerep latihan gamelan ing pendhapa desa,Suara gamelan nggawe suasana desa dadi tentrem,Bayu pengin nampilake karawitan ing acara adat,claude,su
Religious Holiday,"Sawise nyadran, warga padha ngumpul ing balai desa kanggo makan bersama.","Sawise nyadran, warga langsung mulih tanpa pamitan.","Ing wulan Ruwah, warga desa nindakake tradisi nyadran ing kuburan leluhur",Kegiatan iki kanggo ngirim do'a lan ngeling-eling para leluhur,Wong-wong padha rembugan lan bebarengan nyekar kuburan,Tradisi iki njaga rasa bakti marang leluhur,claude,su
Pregnancy and Kids,Anak-anak dadi trampil maca aksara Jawa lan bangga karo budayane.,Anak-anak dadi males lan ora gelem sinau maneh.,"Saben sore, Pak Budi ngajari anak-anak desa maca aksara Jawa",Anak-anak padha seneng lan semangat sinau,Pak Budi percaya yen generasi muda kudu ngerti budaya lan tradhisi Jawa,Kelas kasebut dadi rame lan seru,claude,su
Socio-religious aspect of life,Tanduran pari ora ana sing subur.,Tanduran pari tuwuh subur lan warga desa padha panen akeh.,Dina Jemimah nganakake upacara wiwitan kanggo tandur pari,Warga desa padha melu upacara kanggo njaluk berkah,"Sakwise upacara, wong-wong padha mulai nandur pari",Jemimah seneng amarga upacara lumaku lancar,claude,su
Family Relationships,Tradisi iki wis dilakoni turun-temurun.,Keluarga ora seneng karo acara iki.,Dina iki keluarga besar Yanto ngumpul ing omah mbah putri,Mbah putri nggawe tumpeng kanggo acara syukuran,Kabeh anggota keluarga padha mangan bareng lan nyritakake macem-macem pengalaman,Hubungan antarane keluarga dadi luwih erat,claude,su
Socio-religious aspect of life,Desa dadi tentrem lan aman.,Ruwatan desa ora dianakake saben taun.,Budi lan kanca-kancane ngruwat desa saben taun,Upacara ruwatan iki kanggo ngusir roh-roh jahat,Kabeh warga desa melu lan mbantu persiapan,Ana sesaji lan ritual khusus,claude,su
Religious Holiday,Mbak Sri lan keluargane mangan soto ayam karo rasa syukur.,Kabeh anggota keluarga ora suka karo soto ayam.,"Dina iki, Mbak Sri nyiapake soto ayam kanggo buka puasa",Kabeh anggota keluarga seneng karo soto ayam buatan Mbak Sri,"Sawise bedhug, kabeh padha mangan soto karo sega lan krupuk",Mbak Sri seneng ndeleng kabeh padha nikmati panganane,claude,su
Religious Holiday,"Sawise Nyepi, Wayan lan keluargane ngrasakake ketenangan batin.",Wayan lan keluargane ora ngerti makna tapa brata Nyepi.,"Dina Nyepi, keluarga Wayan nyiapake segala sesuatune",Kabeh padha ngresiki omah lan nyiapake sesajen,"Ing dina Nyepi, kabeh warga desa kudu meneng lan nglakoni tapa brata",Wayan lan keluargane uga nglakoni tapa brata kanthi serius,claude,su
Pregnancy and Kids,Pesta selapanan bayi dadi ajang silaturahmi keluarga.,Wong tuwane Dimas lali nindakake selapanan bayi.,Bayi Dimas lagi lair lan diberi nama Satria,Keluargane nindakake upacara selapanan bayi,Selapanan iku tradisi kanggo ngucap syukur sawise bayi umur 35 dina,Wong tuwane ngajak tetangga lan sanak-sedulur kanggo pesta,claude,su
Fisheries and Trade,Pak Slamet nyumbangake sebagian penghasilane kanggo upacara sedhekah laut.,Pak Slamet lali nggawa iwak menyang pasar.,Pak Slamet adus iwak ing kolam desane,"Saben taun, warga desa nganakake upacara sedhekah laut kanggo njaga kaselamatan nelayan",Pak Slamet nyiapake iwak kanggo dijual ing pasar,Pak Slamet bali menyang omah karo akeh dhuwit,claude,su
Fisheries and Trade,Nelayan padha ngedol iwake menyang desa tetangga.,Pasar nelayan ditutup amarga ora laku.,Ana pasar nelayan ing desa cilik,Pasar iki rame saben dina,Penduduk desa padha tuku iwak seger saka nelayan,"Dina iki, ora ana sing teka ing pasar",claude,su
Religious Holiday,Warga desa padha ngrasa tentrem lan guyub rukun sawise silaturahmi.,Warga desa banjur padha kesandung masalah amarga ora ngapurane.,"Dina Lebaran, warga desa padha silaturahmi saka omah siji menyang omah liyane",Wong-wong padha nggawa panganan lan oleh-oleh kanggo tuan rumah,Bocah-bocah padha seneng nampa angpao saka sedulur lan tangga,Wong-wong padha saling njaluk ngapura lan ngiratake paseduluran,claude,su
Religious Holiday,Upacara Galungan iki minangka lambang kemenangan dharma nglawan adharma.,Sesaji iki kanggo pesta sing diadani saben minggu.,Lilik ngleboni omah lan nggawa janur kuning,"Dina iki, dheweke bakal nyiapake sesaji kanggo upacara Galungan",Lilik lan keluargane padha gotong royong nyiapake piranti upacara,Lilik seneng banget amarga bisa melu upacara iki,claude,su
Death,Warga desa padha rawuh lan ndedonga kanggo arwah almarhum.,Wong desa ora gelem rawuh amarga sibuk kerja.,"Pak Rahman, warga desa, tilar donya dina Senin esuk",Wong desa langsung nindakake tradisi layatan lan nyiapake upacara,Jenazah dikubur ing kuburan desa ing wayah sore,Keluarga almarhum ngundang kabeh warga kanggo slametan sawise penguburan,claude,su
Religious Holiday,Acara nyadran iki nggawe warga desa luwih kompak lan rukun.,Acara nyadran iki ora ana sing teka lan sepi.,Dina iki desa ngadhepi tradhisi nyadran,Wong-wong padha nyekar ing kuburan leluhur,Kabeh warga desa padha nggawa kembang lan panganan,Kabeh klumpuk kanggo ndedonga bebarengan,claude,su
Agriculture,Masyarakat desane melu tradisi wiwitan supaya panene uga sukses.,Pak Slamet ora tau nindakake tradisi wiwitan maneh amarga ora percaya.,Pak Slamet terkenal dadi petani sing sukses ing desane,Dheweke mesthi nindakake tradisi wiwitan sadurunge nandur padi,Tradisi iki dipercaya bakal nggawa berkah marang panen,Masyarakat desane ngurmati lan niru Pak Slamet,claude,su
Wedding,Upacara siraman iki diganjar karo berkah lan donga saka kabeh keluarga.,Rina lan calon bojone langsung lunga sawise siraman.,Ana tradisi siraman sadurunge rabi ing desane Rina,Siraman iku simbolisasi pangresikan calon penganten,Rina lan calon bojone padha nglakoni upacara iki,Banyu seger sing digunakake kanggo siraman iku saka sumber suci,claude,su
Socio-religious aspect of life,Agus ngadani ritual lan mimpine ora muncul maneh.,Dukun desa ora ngerti arti mimpi Agus.,Agus oleh mimpi aneh saben wengi,Mimipi iki dirasa minangka pertanda saka leluhur,Agus mutusake kanggo konsultasi karo dukun desa,Dukun desa menehi saran supaya Agus ngadani ritual khusus,claude,su
Socio-religious aspect of life,Budaya Jawa tetep lestari lan dikenal generasi sabanjure.,Kirab budaya mung diikuti wong-wong tua ing desa.,"Setiap tanggal siji Suro, warga desa ngadani kirab budaya",Kirab iki minangka wujud nguri-uri kabudayan Jawa,"Ana arak-arakan, tari-tarian, lan sesaji",Warga desa padha melu lan nyengkuyung acara iki,claude,su
Family Relationships,Tradisi iki nguatake hubungan antarane anggota keluarga.,Bocah-bocah padha ora seneng dolan menyang omah mbah kakung.,"Dina Minggu, keluarga Pak Sugeng ngumpul ing omah mbah kakung",Bocah-bocah padha dolanan ing plataran omah mbah kakung,Ibu-ibu masak bareng lan bapak-bapak ngobrol karo mbah kakung,Kegiatan iki dadi tradisi mingguan sing ora tau ketinggalan,claude,su
Socio-religious aspect of life,Panen Pak Tani akeh lan subur.,Pak Tani ora percaya karo upacara kasebut maneh.,Pak Tani ngadani upacara wiwitan sadurunge panen,Wong-wong desa padha teka lan ndedonga bebarengan,Upacara iki kanggo nyuwun berkah marang Dewi Sri,Pak Tani percaya yen upacara iki penting kanggo sukses panen,claude,su
Traditional Games,Kanca-kancane menang amarga bisa ngluncurake benthik paling adoh.,Teguh ngitung salah lan kabeh dadi bingung.,"Dina minggu, anak-anak desa dolanan benthik ing lapangan",Teguh dadi sing njupuk benthik karo tangane,Kanca-kancane nyoba ngluncurake benthik nganti adoh,Teguh ngitung langkah kanggo nemtokake pemenange,claude,su
Pregnancy and Kids,Anak-anak desa iki diajar nyulam saka mbah putri lan ibu-ibu.,Anak-anak desa iki luwih seneng dolanan modern tinimbang nyulam.,Ana anak cilik ing desa Jawa sing lagi diajak nyulam,Nyulam iku salah sawijining tradisi kanggo ngembangake ketekunan lan kreatifitas anak,Bocah-bocah seneng banget nalika bisa nggawe pola sing apik,"Nalika nyulam, anak-anak ora mung sinau teknik, nanging uga nilai-nilai kesabaran lan ketekunan",claude,su
Art,Budi dadi pemain gamelan utama ing upacara adat desa.,Budi ora seneng lan mutusake mandheg latihan gamelan.,Budi sinau main gamelan karo bapakne,Gamelan minangka musik tradisional Jawa sing sugih lan kompleks,Budi pengin dadi pemain gamelan sing trampil,Budi latihan saben sore sawise sekolah,claude,su
Death,Slametan iki njaga rasa guyub lan rukun ing masyarakat.,Slametan iki mung kanggo pesta lan seneng-seneng.,"Sawise pemakaman, kulawarga almarhum ngadani slametan",Slametan ana kanggo nyuwun berkah lan katentreman jiwa,Wong-wong padha mangan tumpeng bareng-bareng,Kabeh padha ndedonga kanggo almarhum,claude,su
Socio-religious aspect of life,Upacara selamatan iki terus dilestarikake dening generasi sabanjure.,Upacara selamatan iki ora ditindakake maneh amarga ora dianggep penting.,Mbok Siti biasa nindakake upacara selamatan saben taun,Upacara iki ditindakake kanggo njaga harmoni lan kesejahteraan keluargane,Kabeh warga desa padha teka lan mbantu,Ana sesajen sing disiapake kanthi teliti,claude,su
Religious Holiday,Warga padha ngrasa bangga bisa melu njaga tradisi.,Warga padha ora peduli karo upacara kasebut.,Sasi Suro iku wektu kanggo nggelar ritual adat Jamasan Pusaka,Wong-wong padha teka menyang keraton kanggo nyakseni upacara kasebut,Jamasan Pusaka iku simbol kanggo njaga lan ngurmati warisan leluhur,Upacara iki dilakoni kanthi khidmat lan sakral,claude,su
Wedding,Kabeh tamu kagum karo keindahan busana lan dekorasi.,Kabeh tamu ninggalake pendhapa amarga ora seneng karo dekorasi.,Dina riyaya pernikahan Ana lan Budi dianakake ing pendhapa desa,"Pendhapa iku dihias kanthi janur lan kembang melati, nglambangake kesucian lan kesetiaan",Wong-wong padha teka nganggo busana adat Jawa,Ana nganggo kebaya lan Budi nganggo beskap,claude,su
Food,Woh-wohan saka kebune Pak Slamet dadi berkah kanggo tangga-teparone.,Pak Slamet njual kabeh woh-wohan ing pasar.,Pak Slamet duwe kebun gedhe ing pinggir desa,"Ing kebune, dheweke nandur macem-macem woh lokal kaya salak lan rambutan","Saben musim panen tiba, Pak Slamet mesthi bagio woh-wohan karo tangga-teparone",Tangga-teparone mesthi nunggu-nunggu woh-wohan saka kebune Pak Slamet,claude,su
Traditional Games,Panji dadi juara lomba egrang ing desa.,Panji ora gelem dolanan egrang maneh.,Panji dolanan egrang ing kebon,Panji seneng banget dolanan iki,Kanca-kancane padha nyoba lan padha tiba,"Akhire, Panji dadi ahli dolanan egrang",claude,su
Art,Bocah-bocah ora gelem latihan karawitan.,Pak Teguh ora ngerti carane melatih karawitan.,Dina iki ana latihan karawitan ing balai desa,Bocah-bocah padha latihan main gamelan,Pak Teguh minangka pelatih karawitan sing sabar lan tegas,Latihan iki kanggo persiapan acara panggung seni minggu ngarep,claude,su
Death,"Sawise selamatan rampung, kabeh padha ngiras banyu wedang.","Sawise selamatan rampung, kabeh padha lunga tanpa pamitan.",Keluarga Joko wis kumpul kabeh ing omah,Esuk iki mbah Kakung wis tilar donya,Wong-wong pada nindakake upacara adat selamatan,Kabeh padha nganggo busana ireng,claude,su
Traditional Games,"Sawise rampung dolanan, kabeh bocah padha mangan rujak cingur bareng.","Sawise rampung dolanan, kabeh bocah padha langsung mulih tanpa pamitan.",Joko lan kanca-kancane dolanan gobak sodor ing lapangan desa,Dolanan iki mbutuhake keterampilan lan kerja sama tim,Kabeh bocah padha seneng amarga bisa ngetokake keringet lan ngguyu bareng,Dolanan iki pancen nggawe hubungan antarane bocah-bocah dadi erat,claude,su
Religious Holiday,Keluarga Made ngrasakake kebersamaan lan bersyukur marang Ida Sang Hyang Widhi.,Keluarga Made ora seneng lan ora ngerti makna Galungan.,"Ing dina Galungan, keluarga Made nyiapake lawar lan sate",Kabeh padha nyenyuwun lan ngaturake sesaji,Bocah-bocah seneng dolanan bareng karo kanca-kanca,"Sawise sesaji, kabeh padha marani pura",claude,su
Agriculture,Pesta panen iki dadi ajang silaturahmi lan kebersamaan warga desa.,Pesta panen iki malah nggawa kerusuhan ing desa.,Warga desa Ngadirejo nganakake pesta panen raya,"Sawise panen pari, wong-wong padha nggawa hasil panen menyang balai desa",Ana tarian tradisional lan sajian khusus kanggo merayakane,Pak Lurah ngucapake sukur marang kabeh warga,claude,su
Fisheries and Trade,Pesta kasebut dadi tradisi tahunan ing desane Pak Sastro.,Pak Sastro ora ngerti carane ngundang tanggane.,Pak Sastro nyadari yen iwak lele ing kolamé saya akeh,Dheweke duwe tradisi ngombe banyu kelapa saben dina,Pak Sastro percaya yen banyu kelapa bisa njaga kesehatan iwaké,"Dina iki, dheweke ngundang para tangga kanggo pesta iwak lele",claude,su
Family Relationships,Desa dadi rukun lan tentrem amarga pitutur Mbah Surip.,Warga desa ora peduli marang pitutur Mbah Surip.,Mbah Surip iku sesepuh ing desa,Mbah Surip sering menehi pitutur marang pemuda desa,Pemuda-pemuda desa seneng ngrungokake pitutur Mbah Surip,Mbah Surip ditresnani lan dihormati kabeh warga desa,claude,su
Family Relationships,Mas Aryo ngumpulake warga kanggo rembugan solusi.,Mas Aryo milih ora ngurusi masalah kuwi.,Mas Aryo kuwi seneng banget ngumpul karo warga kampung,Dheweke dipercaya dadi ketua RT amarga kepemimpinane,"Saben ana masalah, Mas Aryo mesthi dadi panutan kanggo warga","Suatu dina, warga kampung ngadhepi masalah air bersih",claude,su
Art,Warga desa dadi luwih guyub lan rukun.,Festival kasebut ora disenengi warga desa.,"Kanggo mengeti ambal warsa desa, warga desa nganakake festival seni tradisional",Ana pentas tari tradisional Reog lan Wayang Kulit,Saben warga antusias nonton acara kasebut,Festival kasebut rame banget,claude,su
Religious Holiday,"Sajrone takbiran, warga desa padha ngrasa tentrem lan syukur.","Sajrone takbiran, ana bocah sing kecelakaan amarga obor.","Malem takbiran, warga desa padha ngumpul ing alun-alun kanggo takbiran bebarengan",Wong-wong padha nyalakake obor lan ngidungake takbir,Anak-anak padha dolanan lan njupuk obor cilik saka wong tuwane,Wong-wong padha ngrasa syukur marang Gusti Allah,claude,su
Religious Holiday,Tetangga lan sanak saudara padha ngrasakake bubur Suro kanthi seneng.,Bubur Suro ora dadi lan ora bisa dibageake.,"Wulan Sya'ban, Mbak Tini lan ibu-ibu padha nyiapake bubur Suro",Dheweke masak bareng-bareng ing pawon umum,"Saka pawon, aroma bubur Suro nyebar sak kampung",Bubur Suro iki bakal dibageake menyang tetangga lan sanak saudara,claude,su
Religious Holiday,Simbah nyritakake babagan pentingnya silaturahmi ing dina suci iki.,Kabeh wong padha nglumpuk ing omah tanpa nglakoni apa-apa.,"Dina Riya Idul Fitri, keluarga Rahmat kumpul ing omahe simbah",Ibu-ibu masak opor ayam lan ketupat,Bocah-bocah padha dolanan petasan ing pekarangan,Kabeh wong ngumpul kanggo sungkem lan njaluk pangapura,claude,su
Religious Holiday,Warga desa ngrasa luwih tentrem lan aman.,Warga desa padha wedi lan ora gelem melu acara maneh.,"Saben Malam Satu Suro, warga desa nganakake acara tirakatan",Warga padha lelaku puasa lan tapa brata,Ana uga sing mlaku keliling desa kanggo ngusir roh jahat,Acara iki dipercaya kanggo ngresiki desa saka energi negatif,claude,su
Death,Wong-wong padha ngucapake do'a kanggo almarhum.,Wong-wong padha ninggal omah tanpa pamit.,"Ing desa, yen ana wong ninggal, keluarga biasane nganggo busana putih",Iki minangka simbol kesucian lan penghormatan,Wong-wong padha teka kanggo ngucapake belasungkawa,Keluarga almarhum nyambut tamu kanthi sabar,claude,su
Agriculture,Mbak Rina lan Bu Tini seneng amarga panen kedhele.,Kedhele ora dadi komoditas penting ing desane.,Mbak Rina lan Bu Tini nandur kedhele ing ladang,Kedhele minangka salah sawijining komoditas penting ing desane,Wong-wong desa padha kerja bareng nalika mangsa tandur,"Sawise nandur, ana tradhisi bancakan ing lapangan desa",claude,su
Socio-religious aspect of life,Slamet banjur diundang dadi imam masjid.,Slamet banjur mungkasi kebiasaane lan ora tau sembahyang maneh.,Saben dina Slamet mesthi lunga menyang masjid kanggo sholat subuh,"Kanggo Slamet, iku minangka bentuk rasa syukur marang Gusti Allah",Wong-wong ing desa uga akeh sing ngetutake langkah Slamet,Dheweke dadi conto apik kanggo para warga,claude,su
Death,Warga desa bali menyang omah karo ati tentrem.,Warga desa bali karo rasa ora puas.,Keluarga Sastro ngadani upacara slametan kanggo mboten-mbotenake arwah almarhum,Kabèh warga desa teka lan nyedhiyakake panganan,Slametan iki minangka rasa syukur lan harapan supaya arwah tenang,Upacara iki uga dadi ajang silaturahmi,claude,su
Death,Warga desa ngadani tahlilan saben malam nganti pitung dina.,Warga desa langsung bali menyang omah sawise pemakaman tanpa nindakake upacara.,Dina iku cuaca mendhung nalika jenazah Pak Darto arep diubur,Kabeh warga desa kumpul kanggo ngiringi jenazah menyang kuburan,Pak Darto dikenal minangka wong sing dermawan lan dihormati,Warga desa nindakake upacara adat Jawa kanggo ngantarake Pak Darto menyang alam baka,claude,su
Religious Holiday,"Akibate, Ramadan dadi luwih bermakna kanggo keluarga Arif.","Akibate, ora ana sing teka megengan taun iki.","Saben taun, keluarga Arif ngadani tradisi megengan sadurunge Ramadan",Wong-wong padha teka ngumpul ing omahe,Kabeh padha mbawa panganan kanggo mangan bareng,Acara iki nggawe hubungan keluarga dadi luwih erat,claude,su
Art,Batik klambi Dewi narik perhatian lan diapresiasi pengunjung pameran.,Batik klambi Dewi rusak amarga keliru pola.,Dewi pengen nggawe batik klambi kanggo pameran seni,Dewi sinau cara mbatik saka ibune,Dewi kerja keras saben dina kanggo nyeleseake batik klambi,Dewi siap kanggo nampilake karyane ing pameran,claude,su
Agriculture,Cucune mbok Nah dadi petani sing sukses lan ngetrapake ilmu saka mboke.,Cucune mbok Nah ora seneng nandur padi lan ninggalake desa.,Mbok Nah ngajari cucune babagan cara nandur padi,Mbok Nah lan cucune padha menyang sawah saben esuk,Cucune seneng lan semangat sinau babagan tetanen,Setiap dina cucune tambah pinter lan trampil,claude,su
