topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Daily Activities,Dwi ora entuk pujian saka keluarga.,Kuenya Dwi enak banget.,Dwi arep nggawe kue,Dwi wis nyiapin bahan-bahan,Dwi munggah-manggung nggawe kuenya,Dwi seneng banget nggawe kue
Pregnancy and Kids,Sasi ngerti yen bayine kudu digendong.,Sasi ora weruh bayine kudu digendong.,Sasi weruh bayine lagi nangis,Sasi ora ngerti apa sing kudu dilakoni,Sasi ngajak bayine dolan,Bayine Sasi malah tambah nangis
Daily Activities,Bayu njemput wong tuwane karo kanca-kancane.,Bayu ora njemput wong tuwane.,Bayu arep njupuk wong tuwane ing stasiun,Bayu ora tau wong tuwane padha ora gelem dijemput,Bayu padha nunggu ing stasiun,Bayu ora gelem nunggu sendirian
Traditional Games,Sasi lan kanca-kancane ngelakoni budaya Jawa.,Sasi iku juara mainan egrang.,Sasi lan kanca-kancane seneng mainan egrang,Egrang iku mainan tradisional sing apik,Sasi ngajak kanca-kancane mainan egrang ing alun-alun,Sasi lan kanca-kancane sae mainane
Pregnancy and Kids,"Dina ora tau nunggu, dheweke pengin ngerti jane anak lanang utawa wedok nalika lahir.",Dina pengin ngerti jane anak lanang utawa wedok nalika hamil.,Dina lagi hamil,Dheweke lagi nunggu wiwitan,Dina ora tau sabar,Dina pengin cepet-cepet ngerti jane anak lanang utawa wedok
Agriculture,Bayu njaluk tulung marang tetanggane kanggo ngolah sawah.,Bayu ora bisa nyedakake sawah amarga ora ngerti carane.,Bayu pengin nyedakake sawah,Bayu ora ngerti carane ngolah sawah,Bayu mboten ngerti carane ngolah sawah,Bayu ora bisa nyedakake sawah
Family Relationships,Wiwik lan Wisma ngerti yen duwit iku ora kabeh lan panggonan dheweke kanggo nggoleki duwit iku salah.,Wong tuwane seneng lan bangga marang dheweke.,Wisma lan Wiwik kembar lan akeh sing salah ngira dheweke iku wong tuwa,"Wisma pinter nggoleki duwit, Wiwik pinter nggoleki rejeki","Sajrone, dheweke seneng nggoleki duwit kanggo wong tuwane",Dheweke ora sadar yen wong tuwane wis ora duwe duwit maneh
Death,Pak Joko nglakoni slametan lan nggawe sugihane marang wong liya.,Sugih iku kudu digunakake marang wong sing layak.,Pak Joko kudu nglakoni ritual slametan,Sugihane kudu dibagi marang wong liya,Sugih iku ora bisa digunakake sendhiko,Sugih kudu dibagi marang wong sing perlu
Agriculture,Ning rumiyin padha nandur padi marang sawah.,Ning rumiyin padha nandur jagung marang sawah.,Ning rumiyin arep nandur padi,Ning rumiyin padha nandur ing sawah,Ning rumiyin padha nandur marang sawah,Ning rumiyin padha nandur padi marang sawah
Family Relationships,Bapak lan ibu ora seneng ngeliat anak kembar iku saingan terus.,"Dina lan Dina saingan terus, tapi sae-sae wae.",Dina lan Dina kembar identik sing apik banget,Dina pinter ing pelajaran matematika lan Dina pinter ing pelajaran sastra,"Sajrone, Dina lan Dina saingan terus ing sekolah",Dina lan Dina ora bisa rukun maneh
Family Relationships,Bayu kudu ngerti babagan kanca-kancane.,Bayu ora kudu ngerti babagan kanca-kancane.,Bayu dadi wong sing paling pinter ing kelas,Bayu ora seneng ngomong marang kanca-kancane,Bayu ora ngerti babagan kanca-kancane,Bayu ora duwe kanca
Wedding,Ning seneng banget karo baju kawinane.,Ning ora duwe baju kawinan.,Ning wis njupuk baju kawinan,Ning kepingin baju sing apik lan elek,Ning njaluk bantuan ibune nggih milih,Ibune Ning nggih njupuk baju sing apik
Socio-religious aspect of life,Meditasi nggawe Wisnu luwih aware karo pikirane lan bisa ngganti cara padangane.,Wisnu ora bisa ngerti pikirane amarga meditasi.,Wisnu lagi ngalami masalah ing uripane,Dheweke ora bisa ngerti pikirane,Wisnu nglakoni meditasi,Meditasi iku nggawe dheweke luwih tenang lan bisa mikir luwih jernih
Daily Activities,Kanca-kancane Bayu bisa nuntun sepeda.,Kanca-kancane Bayu ora bisa nuntun sepeda.,Bayu lan kanca-kancane arep dolan,Bayu njaluk kanca-kancane nuntun sepeda,Kanca-kancane Bayu ora weruh nuntun sepeda,Bayu ngajari kanca-kancane nuntun sepeda
Socio-religious aspect of life,"Ning akhir, Mbakyu Ratih dadi teladan kanggo wong desane.",Warga desane ora seneng karo Mbakyu Ratih.,"Ning rumiyin, Mbakyu Ratih dadi wong sing paling disenengi ing desane",Mbakyu Ratih iku wong sing rajin lan pinter,"Saben dina, Mbakyu Ratih tansah nglakoni sedhaka marang wong tuwane",Sedhaka iku bagian saka budaya lan tradisi Jawa
Death,Joko ngucapake terima kasih saka budhene.,Joko ngucapake doa kanggo dhewe dhewe.,Joko arep njenguk budhene sing lagi sakit,Joko ora weruh yen budhene wis meninggal,Joko nindakake upacara pemakaman,Joko ngucapake doa kanggo budhene
Wedding,"Laras ngajak pacare, Wisnu, nglakoni upacara pernikahan tanpa restu wong tuwane.",Laras ngajak Wisnu nglakoni upacara pernikahan ing watu sing padha.,"Wis dina Minggu, Wisnu lan pacare, Laras, bakal melakoni upacara pernikahan",Laras wis siapake busana pengantin lan sesajen,"Pacare Wisnu, Laras, ora entuk restu saka wong tuwane",Laras ora gelem ngenteni restu saka wong tuwane
Fisheries and Trade,Bapake ngajeni carane jualan lan nglakoni transaksi.,Joko ora weruh carane nglakoni transaksi.,Joko pengin njajal jualan ing pasar,Sing dijual iku ikan sing ditangkep marang bapake,Ikan-e segar lan apik,Joko ora duwe pengalaman jualan
Agriculture,Bayu padha nindakake tradisi nggembelake sawah.,Bayu padha lali ora ngajak kanca-kancane.,Bayu padha ngajak kanca-kancane nggembelake sawah,Bayu padha ngajak kanca-kancane nggembelake sawah bareng,Bayu padha ngajak kanca-kancane nggembelake sawah ing wulan Juli,Bayu padha ngajak kanca-kancane nggembelake sawah lan padha seneng
Death,"Sasi ngucapake doa kanggo Joko lan Rini, ngucapke matur nuwun.","Sasi ngucapake doa kanggo Joko lan Rini, ngucapke ngapunten.","Joko lan Rini padha njaga Sasi, sing wis tuwa",Sasi ora bisa nglakoni aktivitas dhewe,Joko lan Rini padha nglakoni ritual mandiin Sasi,Sasi ora tau yen Joko lan Rini padha ora tau ngomong basa Jawa
Family Relationships,Sinta lan kanca-kancane seneng nonton wayang kulit bareng.,Sinta ora diwenehi tiket marang kakange.,Sinta lan kanca-kancane arep nonton wayang kulit,"Sinta ora duwe tiket, njaluk tiket marang kakange","Kakang Sinta ora duwe tiket, njaluk marang budhene","Budhe Sinta ngasih tiket lan ngucapke, ""Mbok sing sabar nonton wayange"
Art,Sela ora ngerti basa Jawane.,Sela ora seneng karo wayang kulit.,Sela nonton wayang kulit,Sela ora ngerti critane,Sela ngobrol karo temen,Sela ora tau wayange
Fisheries and Trade,"Pak Joko ora tau njupuk iwak, padahal wis diwenehi petunjuk.",Pak Joko padha njupuk iwak lan padha mlebu kolam.,Pak Joko arep njupuk iwak ing kolam,Iwak-iwak padha ngumpul nang tengah,Pak Joko padha njupuk,Iwak-iwak padha mlebu kolam maneh
Daily Activities,Sinta lan Nova seneng banget.,Sinta lan Nova ora seneng.,Sinta lan Nova iku kanca karo,Sinta seneng banget nonton bioskop,Nova seneng banget nonton bioskop,Sinta lan Nova nonton bioskop bareng
Food,Bayu tansah nyoba resep liyane.,Bayu ora gelem nyoba maneh.,Bayu pengen njajal nggawe gudeg,Dheweke nyoba resep sing rumiyin,Bayu ora duwe pengalaman nggawe gudeg,Gudeg dheweke rasane ora enak
Pregnancy and Kids,Pak Budi tuku pisau sunat lan golek dukun sunat sing profesional.,Pak Budi sunat bayine sendirian.,Bayi lanang ing omah Pak Budi kudu disunat,Pak Budi kudu golek dukun sunat,Pak Budi ora duwe dukun sunat sing kenal,Pak Budi kudu tuku pisau sunat
Wedding,Sesaji kasebut kudu disuguhake marang para leluhur kanggo minta restu.,Sesaji kasebut kudu disuguhake marang para tamu kanggo acara kawin.,Joko lan Rini arep kawin,Wong tuwane Rini nggih kudu njupukaken sesaji,Sesajine kudu disuguhake marang para leluhur,Sesaji kasebut kudu disuguhake ing dalem pendhapa
Pregnancy and Kids,Bayu ora bisa ngasi bocahé.,Bayu duwe tugas sing apik lan gampang.,Bayu duwe tugas sekolah sing rumit,Bayu ora ngerti carane ngerjake,Bayu wis nyoba nanya guru,Bayu ora duwe wong sing bisa ngasi bocahé
Socio-religious aspect of life,Ratih nonton bioskop sendirian.,Temene Ratih ora seneng nonton bioskop.,Ratih ora tau arep ngomong apa,Ratih pengin ngajak temen nonton bioskop,Ratih ora tau film apa sing luwih apik,Ratih ora sudi ngajak temen nonton
Pregnancy and Kids,Dina lan suamine tetep optimis lan nyoba perawatan alternatif.,Dina putus asa lan ora nyoba maneh.,Dina nganti saiki durung duwe anak,Dina lan suamine pengin duwe anak,"Dina wis nyoba aneka cara, nanging durung berhasil",Dina ora trimo yen kudu nyerah
Pregnancy and Kids,"Ning nglakoni tradisi Jawa paska lahir, nggandhengi anaké.","Ning ora ngerti tradisi Jawa, malah nglakoni tradisi sing ora apik.",Ning rumiyin wis duwe kandungan,Ning ngerti yen kudu ati-ati,Ning ora gelem nglakoni tradisi sing ora apik,Ning pengin anaké sehat lan lahir normal
Socio-religious aspect of life,Bayu rutin minum jamu lan ngrasaké manfaaté.,Bayu ora sregep minum jamu maneh.,Bayu lagi nyari obat tradisional,Bayu pengin nyoba jamu,Bayu tanya-tanya karo wong tuwa ing pasar jamu,Bayu nemu jamu sing cocok
Fisheries and Trade,Wulan entuk untung.,Bayu ora entuk untung.,Bayu lan kanca-kancane njagong udang,Udang-e Bayu sehat lan gedhe,Bayu arep jual udang-e nang pasar,Pasar iku ramai lan akeh wong sing tuku
Religious Holiday,Wisnu lali ora tuku kembang lan dupa.,Wisnu tuku barang sing dadi kebutuhan.,Wisnu pengin nyekar ing kuburan leluhur,Dheweke arep tuku kembang lan dupa,Wisnu nggoleki duwit ing sak,Wisnu metu saka toko kanthi tuku barang sing liyane
Daily Activities,Joko seneng bisa ngasih inspirasi lan ngajak kanca-kancane dolan bareng.,Kanca-kancane padha iri lan ora ngomong maneh karo Joko.,Joko lan kanca-kancane padha dolan ing alun-alun,Padha main layangan lan ngobrol,Layangane Joko luwih gedhe lan apik,Kanca-kancane padha kagum lan pengin tuku layangan kaya Joko
Agriculture,Wulan ngajak sedulur lan tetanggane ngiringi.,Wulan ora kepingin ngajak sedulur lan tetanggane.,Wulan kepingin tanam padi,Padi iku panganan pokok wong Jawa,Wulan kepingin ngerti tradisi tanam padi,Wulan kepingin ngerti tradisi tanam padi lan panen
Daily Activities,Dita ora tuku tiwul.,Dita tuku tiwul saka pasar.,Dita arep tuku tiwul saka pasar,Dita ora duwe dhuwit,Dita njaluk dhuwit marang ibune,Ibune Dita ora duwe dhuwit
Pregnancy and Kids,Dina lan suami nglakoni tradisi Mitoni saka wong tuwa.,Dina lan suami ora nglakoni tradisi Mitoni.,Dina duwe anak sing arep lahir,"Dina lan suami arep nglakoni tradisi ""Mitoni""",Dina njaluk bantuan marang bapake,Bapake Dina ora bisa nolong marang Dina
Agriculture,Ratih ora weruh yen wis telat.,Ratih weruh yen wis telat.,Ratih dadi petani,Ratih ora weruh yen musim tanam wis entuk,Ratih ora ngerti carane ngolah sawah,Ratih ora weruh yen wis telat
Food,Wajan ilang amarga dipun pinjam.,Mbok Darmi ora tau nemokake wajan.,Mbok Darmi nggarap kue,Dheweke nggoleki wajan,Wajan iku ilang,Mbok Darmi ora tau nemokake
Food,Bayu lan kanca-kancane nggawe oseng-oseng tempe maneh.,Bayu lan kanca-kancane ora doyan oseng-oseng tempe.,Bayu lan kanca-kancane arep nggawe oseng-oseng tempe,Bayu lan kanca-kancane nggawe oseng-oseng tempe,Oseng-oseng tempe iku kasil enak,Bayu lan kanca-kancane seneng
Fisheries and Trade,"Bayu ora bisa tuku kambing, mung bisa ngrawat kambingé.","Bayu ora tuku kambing, mung ngrawat kambingé.",Bayu arep tuku kambing,Kambingé Bayu ora sehat,Bayu ora duwe dhuwit,Bayu njaluk utang marang wong pasar
Food,"Bayu seneng banget, dheweke ngerti budaya Jawa.","Bayu ora seneng, wedang rondene ora enak.",Bayu pengin nyoba nggawe wedang ronde,"Wedang ronde iku minuman hangat, enak banget",Bayu pengin ngajak kanca-kancane nyoba,Bayu ngajak kanca-kancane nang warung wedang ronde
Family Relationships,Aku bangga karo kakangku.,"""Aku ora duwe rencana ngomong, kowe aja sing ngomong,"" wangsul kakangku.","""Kowe wis takon marang pakde lan budhe?"" tanyaku marang kakangku",Aku ora ngerti kakangku arep ngomong apa,"""Aku arep ngomong marang dheweke yen aku arep kuliah nang luar negeri,"" jawab kakangku","Aku kaget, tapi seneng denger kakangku wis duwe rencana"
Traditional Games,Kanca-kancane Bayu seneng lan matur suwun.,Kanca-kancane Bayu ora seneng lan ora matur suwun.,Bayu lan kanca-kancane arep mainan egrang,Bayu wis biasa main egrang,Kanca-kancane mung ngerti main egrang sakdurunge,Bayu ngajari kanca-kancane
Pregnancy and Kids,"Bayu ora turu, tapi ngguyu nganti ngguyu.","Bayu turu ing kelas, pak guru ngguyu.","""Lho, kok arep turu wae?""Tanyane pak guru marang Bayu",Bayu ngguyu lan ora ngomong apa-apa,Pak guru ngguyu lan nggawe Bayu turu ing kelas,Bayu turu ing kelas pas jam pelajaran
Food,Kita njupuk buah-buahan iku lan njupuk gula Jawa kanggo nggawe manisan.,"Aku ora seneng manisan, tapi aku seneng nggawe kue.","Ing dina Minggu, aku lan keluarga njupuk buah ing pasar",Kita njupuk buah-buahan lokal kanggo nggawe manisan,Manisan buah iku panganan tradisional sing enak lan sehat,Aku seneng nggawe manisan karo ibu
Agriculture,Ning rumiyin lan sedulur-sedulure ngombe wedang sepisan.,Ning rumiyin lan sedulur-sedulure tetep nandur benih.,Ning rumiyin arep nggarap sawah,Dheweke wis nyiapin benih lan pupuk,Ning rumiyin lan sedulur-sedulure nandur benih,Sawane isih krasa kering
Family Relationships,Ibune ngedumel lan ngedumel marang Bayu.,Bayu ngerti lan ora ngeluh maneh.,Bayu lagi nggoleki wangsulan babagan panggonan anyar,Dheweke ngeluh marang ibune yen dheweke ora sreg karo panggonane,Ibune ngajak ngobrol lan ngasih solusi,Bayu ora ngerti lan tetep ngeluh
Fisheries and Trade,Joko kudu nggolek jala anyar.,Ikan-ikan kasebut luwih apik lan luwih apik.,Joko nggawe jala anyar kanggo nelongso,Jala kasebut luwih apik lan luwih apik,Joko nganti ora bisa njupuk ikan,Ikan-ikan kasebut luwih apik lan luwih apik
Art,Wayang golek sing Bayu gawe apik lan detile.,Bayu ora bisa nggawe wayang golek.,Bayu nggambar gambar wayang golek,Gambare apik lan detile,Bayu ora weruh carane nggawe wayang golek,Bayu nyoba nggawe wayang golek
Fisheries and Trade,"Sinta ora tau ngapa-apake, soale lelene diacak-acak wong liya.",Lele saka kolame Sinta sehat lan akeh sing dicarake.,Sinta duwe kolam lele ing pekarangan,Lele saka kolame Sinta akeh sing mati,Sinta ora tau ngapa-apake,Sinta ngira lelene kena penyakit
Daily Activities,Ratih lan Rini seneng banget.,Ratih lan Rini ora seneng.,Ratih lan Rini arep tuku baju anyar,Ratih seneng baju sing simpel,Rini seneng baju sing rumiyin,Ratih lan Rini tuku baju sing apik
Food,Sinta lan temen-temen kuliah nggawe acara seduluran kanggo wong tuwa.,Sinta lan temen-temen kuliah ora nggawe acara seduluran.,Sinta lan temen-temen kuliah arep nggawe acara,Sinta lan temen-temen kuliah arep nggawe acara seduluran,Sinta lan temen-temen kuliah arep nggawe acara seduluran kanggo wong liya,Sinta lan temen-temen kuliah arep nggawe acara seduluran kanggo wong liya lan wong tuwa
Agriculture,Dheweke ngucapke sukur marang Gusti kang murbeng dumadi.,Dheweke ngajak kanca-kancane nang diskotik.,"Joko ngerti bener wiwit saka biyen, wong Jawa kudu ngerti pertanian",Dheweke arep nguri-uri tradisi nempé,Panenan sing luwih apik bakal didedahake ing pasar,Joko seneng banget karo hasil panene
Wedding,Saksi wis dateng lan ijab kabul dilakoni.,Ijab kabul diundur amarga ora duwe saksi.,"Wis dina Senin, keluarga lan tetangga kumpul ing pendhapa kanggo acara ijab kabul",Mbak Ratih lan Mas Bagas wis pake baju pengantin,"Sajrone, pas ijab kabul, Mbak Ratih ora gelem teken surat nikah",Mbak Ratih ora gelem teken surat nikah amarga ora duwe saksi
Religious Holiday,Sira-sira ngucapke matur nuwun marang Gusti Allah.,Sira-sira ora ngucapke matur nuwun.,Sinta lan Tantri arep nyiapake lebaran,Sira-sira njupuk opor lan ketupat,Sira-sira nggawe kue lan nggawe jenang,Sira-sira ngundang sanak keluarga
Fisheries and Trade,"Warga desa nggih lan nguri-uri tradisi, lan Ratih seneng karo solidaritas lan gotong royong wong desane.","Warga desa ora nggih, lan Ratih ora bisa nglakoni tradisi sendirian.",Ratih seneng banget karo budaya Jawa,"Dheweke pengin nguri-uri tradisi ""Lumbung Padi""",Ratih lan kanca-kancane nyiapke lumbung padi ing desane,Dheweke pengin ngajak wong desane ngelakoni tradisi
Art,"Pak Wito ora putus asa, dheweke nggoleki wayang pinjaman saka tetanggane.",Pak Wito putus asa lan ora pentas wayang malem iki.,"Selahe dadi dalang, Pak Wito kudu nggoleki wayang kanggo pentas malem iki","Wayange wis pada rusak, lan Pak Wito ora duwe duwit kanggo tuku anyar",Dheweke arep pinjam wayang marang kanca-kancane,Kanca-kancane ora ana sing duwe wayang
Pregnancy and Kids,Dina njaluk bantuan tetanggane kanggo nglakoni upacara mitoni.,Dina ora tau nindakake tradisi mitoni amarga ora duwe wong tuwa.,Dina wis duwe anak lan lagi nunggu anak kedos,Dina ora duwe wong tuwa sing ngasuh anak,Dina kudu nerusake tradisi mitoni,Dina ora tau nindakake tradisi kasebut
Pregnancy and Kids,Wulan ngasuh bocah iku karo sabar lan tresna.,"Wulan ora tau ngasuh bocah, mung mainan karo bocah iku.",Wulan lagi ngasuh bocah balita,Bocah iku anaké sedulur ceweké,Wulan pengin ngerti cara ngasuh bocah sing apik,Wulan pengin bocah iku sehat lan pinter
Fisheries and Trade,"Lele tambak Wisnu sehat lan cepet gedhe, bisa dijual karo untung.","Wisnu ora bisa njual lele tambake, lelene padha mati.",Wisnu nggawe tambak lele ing pekarangan,"Sing dadi masalah, lelene ora gelem mangan","Wisnu bingung, padahal lele kudu cepet-cepet dijual",Wisnu nyoba ngasih pakan khusus
Food,Mbak Ratih arep nggawe jamu kanggo dijual.,Jamu iku cuma kanggo keluarga lan ora kanggo dijual.,Mbak Ratih seneng banget nggawe jamu,Jamu sing dadi favorit dheweke iku jamu kunyit asem,Dheweke nggawe jamu kanggo keluarga lan tetangga,Jamu dheweke iku enak lan seger
Fisheries and Trade,Joko ora ngerti carane nang ngendi.,Joko ngerti carane nang ngendi.,Joko nggawe jala anyar,Joko pengin nyangke ikan,Iwak iku kudu dianggo jala,Joko ora tau nang ngendi
Pregnancy and Kids,Bayu ora ngerti bocah ilang sapa.,Bayu nemokake bocah ing pasar.,Bayu lagi nggoleki bocah sing ilang,Bocah ilang saka rumah,Bayu nindakake pencarian,Bayu ketemu bocah ing pasar
Art,"Mbak Ratih akhirnya nyanyi, lan suarane apik banget.","Mbak Ratih ra duwe nyali nyanyi, lan isih malu-malu.","""Lho, kok ra nyanyi, Mbak?"" tanyaku marang Mbak Ratih","Mbak Ratih iku pinter nyanyi, suarane apik",Aku lan kanca-kancane pengin Mbak Ratih nyanyi lagu Jawa,"""Aku ra duwe suara apik, Mbak,"" jawab Mbak Ratih"
Food,Wisnu tetep resik lan ora ngeluh.,Wisnu ora tau mangan sajian sing anyar.,Wisnu pengin nyoba kuliner anyar,Wisnu nemokake warung sing nggawe sajian khas,Wisnu tansah ngajak kanca-kancane mangan bareng,Wisnu ora seneng karo rasa sajian sing diwenehi
Pregnancy and Kids,"Dina munggah saka motor, metu saka warung jamu.",Dina ora ngerti jamu sing kudu dibeli.,"Dina, wong wedok sing lagi hamil, arep nggoleki jamu",Dina ngelakoni tradisi jamu kanggo nggawe awak sehat,"Dina metu saka omah, njaluk bantuan tetanggane",Dina ora nemu jamu sing dicari
Food,Mas Joko tuku tiwul maneh ing warung sing liya.,Mas Joko ora bakal tuku tiwul maneh.,Mas Joko pengin tuku tiwul,Tiwul iku panganan tradisional sing enak,Mas Joko tuku tiwul ing pasar tradisional,"Tiwul sing didol ora enak, rasane asin"
Pregnancy and Kids,Bojone Dina seneng banget ngelakoni tradisi iki.,Dina ora weruh panganane wis langka.,"Dina miturut tradisi, ibu hamil kudu mangan panganan khusus",Dina lagi ngidam saka panganan sing wis langka,Dina ngajak bojone nyekel panganan kasebut,Dina seneng banget nalika panganane ketemu
Agriculture,Siska lan tetanggane nandur bareng lan nglakoni upacara mitoni.,Siska ora ngerti tradisi nandur lan ora nandur bareng karo tetanggane.,Siska pengin nandur padi ing sawah,Dheweke wis nyiapin benih lan pupuk,Siska arep nandur bareng karo tetanggane,Siska seneng banget karo tradisi nandur
Art,"Kinanthi nggoreng tempe karo bumbu sing dicampur madu, nanging tempe kethungkul.","Kinanthi nggoreng tempe karo bumbu sing dicampur madu, tempe nggorengane apik lan enak.","Wis kawitan, Kinanthi teka nang omah karo nganti","Ing omah, Kinanthi langsung mlayu nang pawon","""Ibu, aku arep nggoreng tempe,"" candhane Kinanthi",Kinanthi langsung nggoreng tempe
Art,Dika bangga bisa nguri-uri budaya Jawa.,Wayang kulit iku seni sing rumangsa.,Dika nuli wayang kulit kanggo dipamerke ing pameran seni,Wayang kulit iku karya seni Jawa sing apik,Dika pengin nguri-uri budaya Jawa,Pameran seni iku bakal ditonton saka wong liya
Traditional Games,"Bayu ngerti lan ora ngambek, dheweke ngerti kalah iku wajar.",Bayu ngambek lan ora ngomong marang kanca-kancane.,Bayu lan kanca-kancane mainan layangan,Layangane Bayu apik lan gedhe,Kanca-kancane iri lan arep ngganti layangane,Kanca-kancane ngajak tanding lan ngalahake Bayu
Pregnancy and Kids,Ratih ngundang dukun lan sesaji kanggo upacara.,Ratih ora ngundang dukun lan ora nyedekake sesaji.,Ratih nglakoni tradisi mitoni,Ratih ngundang seduluran lan sanak keluarga,Ratih nglakoni upacara kanggo minta berkah,Ratih kepingin anaké sehat lan pinter
Death,"Sawise ditandu maneh, Slamet bakal disemayamake ing pendhapa.","Sawise ditandu, Slamet langsung dikubur.",Wis wayahe Slamet arep mati,"Sawise slametan, Slamet arep ditandu marang kuburan","Sawise Slamet mati, wong tuwane arep nglakoni ritual pembersihan","Sawise ritual, Slamet bakal ditandu maneh"
Religious Holiday,"Bayu ora ngerti tradisi Jawa, dheweke nglakokake sedhahing pethakilan pas Galungan.","Bayu ngajak kanca-kancane nglakokake sedhahing pethakilan, dheweke ngerti tradisi Jawa.",Bayu lagi nyiapke sedhahing pethakilan,Dheweke nggawe layang-layang sing apik,Bayu arep nglakokake sedhahing pethakilan ing dalem dalu,Bayu ora tau ngajak kanca-kancane
Agriculture,Joko lan Rini nyuwun cangkul marang tetanggane.,Joko lan Rini ora ngerti carane nggarap sawah.,Joko lan Rini arep nggarap sawah bareng,Joko ora duwe cangkul,Rini pinjam cangkul marang bapake,Bapake Rini ora duwe cangkul
Family Relationships,Keluarga Bayu nggakake baju kanggo kondangan.,Dheweke ora kondangan amarga ora duwe baju.,Bayu ora duwe baju kanggo kondangan,Dheweke pengin kondangan bareng karo keluarga,Bayu ora duwe duwit kanggo tuku baju anyar,Dheweke bingung lan ora ngerti apa kanggo dilakoni
