sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending,language
Elisa nembe tuku wit mawar,Dheweke kepincut karo kembang sing apik banget,Dheweke tuku rong wit kanthi warna mawar sing beda-beda,Siji wit mawar abang,Wit mawar kuning liyane,Wit mawar liyane transparan,jv
Kamare Helen lembab banget,Jarang resik-resik kamare,Dheweke uga ora nate mbukak jendela kamar turu,"Akibat&#xE9;, ora ana pertukaran udara ing kamar",Kahanan kamar Helen ora apik kanggo kesehatan,Saben kamar kudu duwe jendhela,jv
Arlen tuku klambi anyar,Klambi anyare Arlen jebul gedhe banget,Arlen lunga menyang tukang jahit,Arlen takon marang tukang jahit supaya klambine luwih cilik,Arlen bisa nganggo sandhangan ukuran pas mengko,Arlen ora tuku klambi anyar,jv
Pawulangan sawise iki yaiku Biologi,Jio ora ana ing swasana ati kanggo sinau subjek iki,"Banjur, dheweke duwe gagasan nakal",Dheweke ndhelikake kabeh tandha ing kelas,Dheweke duwe pangarep-arep yen wektu kelas bisa digunakake kanggo nggoleki spidol,Saben kelas wajib njaga karesikan kelase dhewe-dhewe,jv
Dina iki Juju menyang dokter gigi,Dheweke wis duwe braces kanggo taun,Dheweke kudu nyandhang amarga untune ora rata,"Sawise nganggo kawat gigi nganti suwe, akhire dheweke bisa nyopot",untune Juju saiki lurus,Untune Juju mundhak gedhe sawise nganggo kawat gigi,jv
Nina masak kari ayam kanggo nedha awan,"Sawise bumbu wis mateng, banjur dilebokake ing saus kari",Pitik sing dipilih yaiku pitik sing paling apik,"Sakdurunge disuguhake, aja lali dicicipi",Rasane kari enak dihidangkan kanggo nedha awan,Jebule kari rasane asin banjur dibuwang lan digawe anyar,jv
Nino kaget nalika ngrampungi lemari buku,Mburi lemari bukune dirusak rayap,Sawetara bukune uga wis dipangan rayap,Nino nyoba nylametake buku-buku sing isih wutuh,Dheweke njupuk rak buku kanggo nyingkirake rayap,Buku sing dipangan rayap larang regane,jv
Pemuda dadi pangarep-arep bangsa,Hari minangka mudha kudu bisa menehi kontribusi marang bangsa,Hari nyoba menehi sing paling apik kanggo bangsane,Hari kepengin gawe bangga bangsa,Hari nggawe prestasi kanggo gawe bangga bangsane,Hari ora perduli karo nasibe rakyate,jv
Yola pengen dadi wong sukses,Dheweke kepengin dadi panutan kanggo adhine,Dheweke uga pengin adhine supaya bisa munggah ing tingkat pendidikan sing paling dhuwur,"Kanggo nggayuh iki, Yola tansah sregep sinau",Ora tau dheweke kesed,Dadi wong sukses ora butuh usaha,jv
"Sajrone kedadeyan kasebut, Acha mung bisa meneng wae.",Acha wedi banget weruh Usam nesu.,"Iki ndadekake Acha luwih meneng, ora wani ngomong apa-apa.","Nanging weruh Arta nangis, Acha mulai goyah.",Acha ngyakinake awake dhewe supaya jujur marang kanca-kancane ing kelas.,Acha ngyakinake awake dhewe arep menyang omahe Arta.,jv
Maharani pancen seneng keju,Maharani tansah masak panganane nganggo keju,Maharani arep nggawe spageti,Maharani nambah keju ing spageti,Maharani nggawe spageti keju bolognese,Maharani ora bisa masak spaghetti,jv
Putra kudu langsung teka ing kantore,Dalan gedhe sing biasane dilewati Putra macet banget,Putra nyoba njupuk trabasan,Putra kasil tekan kantor tepat waktu,Putra ora telat menyang kantor,Putra macet ing dalan gedhe,jv
Elias tau kerja dadi loker koran,Elias mbuwang koran menyang plataran,&#xC9;lia nyambut gaw&#xE9; wiwit &#xE9;suk nganti awan,Elias mangkat sekolah sore,Elias bisa mbagi wektu kanggo kerja lan sinau,Elias ora mlebu sekolah,jv
Tanaka minangka mahasiswa pertukaran saka Jepang,Dheweke melu kegiatan belajar mengajar suwene 1 wulan ing SMA 8 Jakarta,Tanaka babar pisan ora bisa basa Indonesia,Dheweke komunikasi nganggo basa Inggris,Tanaka entuk kanca anyar saka SMA 8,"Tanaka seneng karo negara tanggane Indonesia, yaiku Malaysia",jv
Lik Ranti kaget banget,Tembok omahe kebak coretan,Graffiti digawe nggunakake spidol,Pranyata ponakane sing isih enom lagi ngecat tembok,"Suka ora seneng, dheweke kudu ngecet maneh tembok omahe",Lik Ranti njaluk ganti rugi marang ponakane,jv
Warga RW 1 duwe tabungan bareng,Tabungan mau kanggo tuku lemah kosong,Tanah kosong diowahi dadi kebon masyarakat,Kebon iki ditanduri sayuran lan woh-wohan,"Nalika siap panen, warga diijini njupuk cukup saka kebon",Urip ing desa iku kepenak banget,jv
Cia seneng nonton film babagan putri kerajaan,Cian kerep lamunan ketemu pangeran,Bapake Cian ngijabahi kekarepane Cian,Bapake Cian nyamar dadi pangeran,Cian seneng yen bapake bisa mujudake impene,Bapake Cian ora ngerti kekarepane Cian,jv
"""Kok telat? Jam pira?"" kandhane wong ing lawang kamar nampani Tasya lan kanca-kancane.",Tasya mung nyengir lan nglewati wong kuwi tanpa mangsuli pitakone.,Dheweke ngerti yen wong sing ngadeg ing ngarep lawang mung nggodha dheweke.,"&#x201C;Wah, aku wani ngece kowe, ta?&#x201D; kandhane wong lanang mau karo ngetutake tase menyang meja kerja.","Tasya mung mesem karo pipine abang, dene wong lanang iku nglirik dheweke.",Tasya mbanting kursi banjur metu saka kantor.,jv
Ibra ngamuk ndeleng kelakuane bocah-bocah ing lingkungane.,Wong-wong mau mbenturi watu marang asu-asu sing ditaleni ing taman omahe.,Asu ora bisa mlayu.,Swarane banter keprungu ngremuk ati.,Ibra mbengok banter kanggo ngusir bocah-bocah nakal lan ngadeg ing ngarep asu kanggo nglindhungi dheweke.,Ibra mbengok banter marang kancane sing ora metu saka omah.,jv
Pangrungone Rio sansaya ala,Iki amarga tugase minangka keamanan ing konser,Dheweke kerep krungu swara banter saka speaker,Dheweke uga wis biasa ngrungokake musik keras nalika konser,Mula dheweke wis ora biyasa krungu swara lirih,Kualitas speaker ing konser kudu apik banget,jv
Efani kelingan kenangane,Efani nangis nganti ping sepuluh,Efani nyesel marang kesalahan sing ditindakake ing jaman biyen,Efani kepengin nglalekake kabeh masa lalune,Efani ora bisa ayem yen kelingan mau,Efani kuwat nalika ngadhepi kenangan,jv
Simbah wis umur 70 taun,Kabeh anak putu tresna marang dheweke,"Sanadyan simbah lagi lara, saben dina dheweke tansah nemoni",2 wulan kepungkur simbah ambegan pungkasan,Anak putu simbah angel nampa kasunyatan iki,Anak putune simbah isih seneng dolan menyang omahe simbah.,jv
Pia kasengsem karo gelang sing didol ing salah sawijining stand bazaar.,"Saka kadohan, sumorot gelang kasebut narik kawigaten Pia.",Pia nyedhaki stan.,"Saliyane gelang, uga ana macem-macem perhiasan kayata kalung lan cincin.",Sing jaga stan langsung promosi barang sing didol marang Pia.,Penjaga stan langsung lunga bareng weruh Pia teka.,jv
Nia dadi primadona ing sekolahe,Nia narik kawigaten para lawan jinis,Nia ora fokus ing judhul sing digandhengake karo dheweke,Nia isih nganggep kabeh wong padha karo dheweke,Nia asor,Nia nganggep kabeh bawahane,jv
"Sore iku, komplek omahe Kemal sepi banget",Kemal sing bosen mutusake kanggo turu,Dumadakan krungu swara pager omahe dibukak,Kemal sing penasaran ngintip saka cendhela,Jebul ana maling sing arep njupuk motore,Pager omahe Kemal ijo emas,jv
Mona nyeluk bakul bubur ayam sing liwat ngarep omah.,Mona wis siyap karo rong mangkok ing tangane.,"Mona dhawuh supaya bubur siji ora diwenehi kacang, liyane ora diwenehi bawang ijo.",Mona uga njaluk tambahan sambal kanggo wong loro mau.,"Nalika ngenteni, Mona mlayu bali menyang omah kanggo njupuk dhuwit.","Nalika ngenteni, Mona bali menyang omah kanggo nerusake turu.",jv
Zora nampa tantangan saka mungsuhe,Zora kudu ngrampungake mie karo lombok,Zora ora diidini mangan pedhes dening dokter,Zora ngakoni kalah marang mungsuhe,Zora ora mangan mie karo lombok,Zora luwih prihatin karo ego lan kehormatane,jv
Okky keturon ing sepur.,Petugas sepur nggugah dheweke nalika sepur mandheg ing stasiun pungkasan.,Okky panik.,"Nanging, Okky langsung ngerti yen tujuane pancen stasiun pungkasan.",Okky matur nuwun marang petugas sing nggugah dheweke sadurunge metu saka sepur.,Okky matur nuwun marang bapak sing lungguh ing sandhinge.,jv
"&#x201C;Eh, enteni Tia, aku arep ngomong,&#x201D; omonge Toni nalika ora sengaja nemoni Tia.",Wis seminggu luwih Tia ngindari Toni tanpa sebab.,"&#x201C;Ngapunten Toni, kula kesusu,&#x201D; wangsulane Tia karo isih mlaku adoh saka Toni.","""Apa kowe ora bisa menehi katrangan sethithik? Aku ora bisa terus kaya iki, Tia,"" Toni nyoba nyekel tangane Tia, nanging bocah wadon kasebut ngeculake.","Tia tetep ora obah, dheweke numpak bis sing kebeneran budhal lan ninggalake Toni.",Tia minangka prawan sing ceria.,jv
Milih produk perawatan rambut sing salah bisa mbebayani,Mengkono sing dialami Mira,Dheweke tuku botol sampo murah sing pabrikan ora jelas,Mira kegoda karo rega sing murah lan ambune sing unik,Saiki rambute Mira rusak lan rontok,Rambute Mira dadi lebat lan ayu,jv
Redy lagi dolanan komputer ing kamare keprungu swara saka ngisor.,Dheweke mandheg muter lan nyoba nyopot kupinge.,Swara sing dirungokake mau wis ilang.,"Redy terus muter game, nanging swara katon maneh.",Redy langsung metu saka kamar lan mudhun kanggo mriksa sumber swara.,Redy langsung metu saka kamar lan menyang kamar mandi.,jv
Beoku jenenge Tono,Dheweke seneng nembang,Aku wis njaga dheweke wiwit 1 taun kepungkur,Tembangipun taksih merdu ngantos samenika,Tono pancen manuk sing pinter,Tono pancen wis tuwa,jv
Barnes minangka prajurit enom banget,Barnes ngliwati pilihan prajurit kanggo nglindhungi kraton,Barnes ngabdiake awak lan jiwane,Barnes tanggung jawab kanggo safety kulawarga kraton,Barnes dadi pimpinan prajurit 2 taun sabanjure,Barnes minangka pedagang paling enom ing wilayah kraton,jv
Kayla nandur kembang akeh ing kebone,Kembang kasebut duwe macem-macem warna,"Nalika wis mekar, dheweke njupuk sawetara kembang",Kembang sing dipetik mau digawe kembang garing,"Banjur, dheweke ngedol dhuwit kanggo bahan kerajinan",Sawise kembange garing banjur ditandur maneh,jv
Ora let suwe awake dhewe tekan puncak.,Aku menang sawetara langkah saka wong.,"""haha! Lah sapa sing menang, jebule tenan..."" ukaraku mandheg sawise mripatku ora sengaja weruh pemandangan kutha ing ngisor iki.",Aku gumun ing ngarsane.,"""Sampeyan mesthi ora nyana pemandangan saka ndhuwur dadi kaya iki,"" ujare karo ngelus-elus sirahku.",Dheweke nyopot sepatu lan menek wit pelem.,jv
"""Iya. Aku egois na, sorry..."" Zoe nyekel tangane Yona.","""Mekaten. Kanggo kula, kabeh ana ing mburi,"" Yona narik tangane saka genggeman Zoe.","""Apa aku kasep?"" Wujud kuciwa ing raine priya iku.","""Ora. Ora telat, nanging wiwit wiwitan kayane nasibku dudu kowe, Zoe."" Yona mangsuli pasrah.","Zoe nutupi raine nganggo telapak tangan, getun karo tumindake nganti saiki.",Zoe nganggo jam tangan Yona.,jv
Emily nyoba macem-macem ide bisnis,Emily nggawe inovasi kanthi adol tanduran lan pot sing lucu,Emily nyoba narik kawigaten para panuku,Emily entuk bathi saka dodolan kasebut,Inovasi sing digawe Emily kasil narik kawigaten para panuku,Emily ora pengin miwiti bisnis apa wae,jv
Veni nggarap laporan keuangan,Veni ora seneng ngetung angka,Veni kerjane dadi akuntan,Veni sing tanggung jawab ngitung keuangan ing kantore,Veni kepeksa rebutan angka,Veni ora gelem nyambut gawe dadi akuntan,jv
Wart rawuh ing peresmian kang rama,Bapake katon gagah nganggo seragam tentara,Wart kepengin kaya bapake,Wart sinau lan latihan supaya bisa mujudake impene,Wart dadi prajurit nalika umur 27 taun,Wart kepengin dadi guru kaya bapake,jv
Miller minangka petani kedelai,Miller banget telaten ngolah kedhele,Werna kedhele sing dipanen ireng,Kacang kedelai bakal diolah dadi kecap,Miller nggawe dhuwit saka sade ketchup,Miller adol susu kedhele,jv
Yira wis rampung kuliahe,Yira nembe lulus universitas,Yira arep mulih,Yira kudu langsung ngemas barang-barange ing kos,Yira kangen omahe,Yira manggon ing omah nalika sinau,jv
Pernak-pernik Mila kabeh duwe motif beruang kutub,Mila pancen seneng banget karo kewan-kewan wulu putih iki,"Miturut Mila, bruwang kutub iku banget nengsemake",Wulune putih kaya salju,Awake gedhe lan raine nengsemake banget,Beruang kutub ora bisa urip ing cuaca panas,jv
Olahraga saiki yaiku lompat adoh,Guru senam dheweke wis nyiapake papan pasir kanggo ndharat,"Nalika Romi ndharat, kanca-kancane mbalang wedhi marang Romi kanggo seneng-seneng",Romi mangsuli kanca-kancane lan melu mbalang wedhi,Wong-wong mau didukani guru olah raga amarga dolanan ing wayah jam pelajaran,Guru olahraga dheweke ganti latihan dadi mbuwang pasir,jv
Jeni menyang kali,Jeni weruh kembang teratai ing tengah kali,Jeni arep njupuk kembang teratai,Jeni ora weruh wates kali sing dipasang,Jeni tiba ing kali,Jeni ora seneng kembang teratai,jv
Penjajah mesthi duwe senjata sing luwih canggih,Pahlawan Indonesia ora wedi karo kasunyatan iki,Para pahlawan terus berjuang kanggo kamardikan Indonesia,Para penjajah padha diusir lan nyerah,Jasa para pahlawan kudu dieling-eling dening generasi saiki,Pahlawan ora perduli karo tumindake penjajah negara iki,jv
Sore iki ana acara pengajian ing omahe Hani.,Bu Hani lan tangga-tanggane saben wulan rutin nganakake pengajian RT.,"Sadurunge wong teka, akeh jajanan sing disuguhake ing meja makan.",Hani njupuk gedhang goreng karo tangane sing ora dicuci.,"Ibu langsung marani Hani saperlu ngelus-elus tangane, banjur didhawuhi wisuh tangan dhisik.",Ibu langsung marani Hani lan njupuk gedhang goreng tanpa wisuh tangan.,jv
Arka seneng dolanan bal-balan karo kanca-kancane.,Biasane dolanan bal-balan ing lapangan cedhak sekolahan.,"Pas bel sekolah muni, Arka bakal balapan karo kanca-kancane.",Sapa sing paling cepet tekan lapangan bakal disuguhi mangan.,Arka lan kanca-kancane seneng dolanan bal.,Arka lan kanca-kancane seneng dolanan basket.,jv
Zaid luwih tuwa 2 taun karo Bagja.,"Nalika isih bocah, dheweke kerep gelut.",Zaid senengane ngece Bagja adhine nganti Bagja nangis.,"Nanging nalika wis gedhe, dheweke dadi cedhak.",Zaid lan Bagja tansah nyedhiakke wektu kanggo ketemu paling ora seminggu sepisan sanajan jadwal sibuk.,Zaid lan Bagja wis rong taun ora ketemu.,jv
Kakangku tuku sepedha anyar,Adik ngajak mbah kakung numpak sepeda,Kakang nolak tawarane mbakyu,Kakangku ora duwe sepedha,Adhi sepedha dhewekan ing sawah,Kakangku uga tuku sepedha anyar,jv
Arini tuku panganan akeh,Arini kudu nyimpen bekal kanggo sasi ngarep,Arini ora bisa kerep blanja,Arini kudu nang omah,Arini jarang blanja,Arini toko saben dina,jv
"""Dadi, dina iki critane apa?"" Manungsa sing ngganggu iku dumadakan nggawe praupan genit nalika aku arep mudhun ing undhak-undhakan perpustakaan.",&#x201C;Kok ndadak takon kaya ngono?&#x201D; Aku mangsuli tanpa ndeleng mripate.,"&#x201C;Kowe katon beda akhir-akhir iki,&#x201D; kandhane maneh karo ngewehi pangsit, mbok menawa kanggo nyogok.","""Beda?"" Aku langsung mandeg lan noleh raine.","""Iyo.. tambah semangat? Luwih cerewet?"" ngandika mangu-mangu.",Wong lanang mau njupuk pangsit banjur lunga.,jv
Rita butuh bantuan supaya bisa urip,Rita njaluk bantuan menyang institusi,Baznas minangka lembaga sing ngatur zakat ing Indonesia,Rita bisa njaluk bantuan kanggo urip,Rita nampa pitulungan saka institusi Baznas,Rita bisa nyukupi awake dhewe tanpa bantuan saka wong liya,jv
Dina iki Tata banget duka,Mbakyune njaluk tuku dolanan,Tata wis ngelingake yen rega dolanan sing didol larang banget,"Kajaba iku, kualitas ora cocog karo rega sing larang","Amarga mbakyune terus ngrengek, akhire Tata tuku",Tata ngedol mbakyune marang bakul amarga jengkel,jv
Ibune Saiful lara wiwit ditinggal bojone,Dheweke wis kaping pirang-pirang menyang rumah sakit,"Dadi, biaya medis nyuda keuangan kulawarga","Saiful, anak siji-sijine, kepeksa mandheg sekolah lan golek kerja",Kabeh wis rampung kanggo kesehatan ibu,Saiful rumangsa ora semangat arep sekolah amarga rumangsa ora ana gunane,jv
Rina ora seneng ngombe susu,"Miturut dheweke, rasa susu kasebut aneh banget",Dheweke tansah krasa mual yen ngombe susu,Jebule ibu wis nyobi macem-macem susu kanggo diombe Rina,"Nanging, Rina tetep ora seneng ngombe susu",Ibu arep masak keju kanggo Rina,jv
Saufika nulis materi sing kacathet ing papan tulis.,Suasana kelas sepi.,"Sing ana mung Saufika lan kanca lungguhe, Dianti.",Dianti ngancani Saufika nyathet materi pelajaran pungkasan.,Dianti wis biasa nglakoni iki amarga dheweke ngerti yen Saufika butuh wektu suwe anggone nulis.,Dianti wis biasa nulis ing papan tulis.,jv
Sabrina ngancani adhine Dhanendra mubeng-mubeng nyebar undhangan manten Dhanendra.,Wiwit esuk iki Sabrina lan Dhanendra lunga numpak mobil.,Dheweke dolan menyang omahe sedulure sing ora adoh saka omahe.,"Dhanendra kersa ngaturaken undhangan manten langsung dhateng panjenengan, ugi srawung.",Gunggunge ana lima omahe sanak-sedulur sing kudu disinggahi dina iki.,Gunggunge ana lima omah sing kudu dideleng Dhanendra kanggo resepsi manten.,jv
Haya kasengsem olahraga lantai,Haya kepengin dadi senam,Haya nglatih awak supaya luwes lan lincah,Haya kasil menang juara nasional,Kerja kerase Haya membuahkan hasil,Haya seneng nyambut gawe ing mburi,jv
Heira menehi boneka panda marang Fusay,Heira entuk saka dolanan ing pasar malem,Fusay nampa boneka panda sing diwenehake Heira,Fusay ngrangkul boneka kuwi kenceng banget,Heira menang game ing pasar wengi,Boneka panda Fusay tiba ing dalan amarga ambruk,jv
Maria duwe teddy bear sing lucu,Boneka kasebut jenenge Lilia,Maria nggawa Lilia menyang ngendi wae,"Ing sekolah utawa ing omah, dheweke ora lali nggawa Lilia",Bocah umur 5 taun kuwi seneng banget karo teddy bear sing diwenehake wong tuwane,Maria nganggep Lilia anake,jv
"Nalika isih SD, Feri tansah dibully dening kanca-kancane",Dheweke kerep dihina lan uga didol karo kanca-kancane,Dheweke uga kerep nangis ing sekolah,Wis 12 taun Feri lulus SD,Feri kuwi wong sing kurang percaya diri lan ora pinter srawung,Feri duwe kanca akeh lan tresna banget marang kanca-kancane,jv
Lena ora kudu mangan panganan asin,Lena duwe masalah weteng,Lena mung bisa mangan panganan sing manis,Lena durung nate nyoba uyah sajrone uripe,Lena ora ngerti rasa uyah,Lena tansah nambah uyah kanggo saben sajian masak,jv
Gloria lungguh nyenderake tembok mburi kelase.,Dheweke diubengi kanca-kanca liyane.,Lagi ngrembug penampilane kanggo pengetan Hari Guru Nasional.,"Tanpa disadari, bel tanda jam istirahat pertama wis bubar.",Diskusi bakal diterusake mengko nalika istirahat kaping pindho sajrone nedha awan.,Diskusi diterusake mengko sawise semester ganti.,jv
Jio wis suwe pengin njaga kucing,"Nanging, dheweke isih bingung arep milih kucing apa",Jio ngerteni jinis kucing liwat internet,Dheweke uga rutin surfing media sosial toko pet,"Akhire, Jio milih njaga kucing Persia","Sawise mikir kanthi ati-ati, Jio kepengin njaga kucing gedhe kaya macan",jv
Kakang iku wong kesed,Ibu mlebu kamare adhiku,Ibu nesu nalika weruh kamare adhine,Adhiku langsung resik-resik kamare,Kamare mbakyuku repot banget,Mbakyuku sregep ngresiki kamare,jv
Maya lan adhine lunga preian,Maya milih liburan ing Bali,Mbakyune Maya milih preinan menyang Surabaya,Mbakyune Maya ora numpak pesawat sing padha karo Maya,Maya lan mbakyune ora preian bareng,Maya prei menyang Surabaya,jv
