topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Socio-religious aspect of life,Mas Andi tansah dirubung pembeli.,Wong-wong desa ora percaya karo jamu Mas Andi.,Mas Andi iku tukang jamu keliling,"Saben esuk, Mas Andi muter desa adol jamu",Wong-wong desa seneng karo jamu racikan Mas Andi,Jamu Mas Andi dipercaya bisa nambah stamina lan kesehatan
Pregnancy and Kids,Kabeh seneng lan ngelingi masa kanak-kanak.,Simbah ora iso teka amarga lara.,Dina iki arisan keluarga besar,Wong-wong padha kumpul ing omahe Simbah,Simbah nggawa jenang abang kanggo acara iki,Jenang abang iku tradisi sing ora tau ilang
Pregnancy and Kids,Anak Bapak Adi bisa mlaku kanthi lancar lan sehat.,Anak Bapak Adi ora seneng karo upacara iki.,"Nalika bayi wiwit bisa mlaku, ana tradisi wiwitan",Bapak Adi nyiapake acara wiwitan kanggo anak pertamane,Upacara iki kanggo berdoa supaya anak bisa mlaku kanthi lancar,Wong-wong padha teka kanggo merayakane
Socio-religious aspect of life,Pak Tono rumangsa luwih tenang lan spiritual sawise adus kembang.,Pak Tono ora percaya karo tradisi adus kembang.,Pak Tono kerep adus kembang ing wektu-waktu tartamtu,Adus kembang iku dilakoni kanggo njaga kesucian lan spiritualitas,Pak Tono percaya yen kembang-kembang kasebut duwe daya spiritual sing dhuwur,Prosesi iki wis dadi tradisi turun-temurun keluargane
Fisheries and Trade,Pasar desa rame karo wong-wong sing tuku iwak saka Pak Sastro.,Pak Sastro ora bisa adol iwak amarga ora ana sing tuku.,Pak Sastro minangka nelayan sing trampil ing desane,"Saben esuk, dheweke lunga menyang segara kanggo njala iwak",Pak Sastro tansah netepi tradisi nyuwun berkah marang Dewi Laut,Iwak sing ditangkep dheweke banjur didol ing pasar desa
Religious Holiday,Nyadran iki minangka wujud rasa syukur marang sing Maha Kuasa.,Acara iki mung kanggo dolanan bocah-bocah.,Wargo desa padha kumpul ing balai desa kanggo nyadran,"Saben sasi Ruwah, wong-wong padha nyekar lan nganakake slametan",Pak Tani nyiapake sega tumpeng kanggo acara iki,Bocah-bocah padha nyanyi bareng-bareng
Daily Activities,Siti tampil ayu lan percaya diri ing pesta manten.,Siti ora mlebu pesta amarga isin.,Siti lagi macak ing ngarep kaca,Dheweke arep lunga menyang pesta manten kancane,Siti milih kebaya sing apik kanggo acara iki,Kanca-kancane Siti nunggu dheweke ing ngarep omah
Agriculture,Warga desa mangan tumpeng bebarengan lan bareng-bareng nandur pari.,Budi ngliwati tradisi lan langsung nandur pari.,Budi lagi nyiapake lahan kanggo nandur pari,Desa Budi duwe tradhisi mangan tumpeng sadurunge nandur,Tradisi iki dipercaya bisa ngundang berkah,Budi lan warga desa lagi ngumpul ing sawah
Daily Activities,Pak Slamet dikenal minangka wong sing loman.,Tangga-teparo ora seneng karo woh-wohan saka Pak Slamet.,Pak Slamet duwe kebun gedhe ing mburi omah,"Ing kebun iku, dheweke nandur macem-macem wit woh-wohan","Saben panen, Pak Slamet mbagei woh-wohan marang tangga-teparo",Tangga-teparo seneng lan matur nuwun kanggo woh-wohan saka Pak Slamet
Pregnancy and Kids,Niko dadi luwih pinter ngrangkep bayi.,Niko tetep wedi ngrangkep bayi.,Niko lagi sinau ngrangkep bayi,Ibu Niko menehi saran supaya bayi ora diangkat saka endhas,Niko nglatih ngrangkep bayi kanthi ati-ati,Bayine Niko dadi luwih tenang
Agriculture,Sesajen mau digawa menyang sawah lan didongakake bareng-bareng.,Joko malah lali karo tradisi lan langsung nandur tanpa sesajen.,Joko lan bapake arep nandur pari,Tikelan lemah wis disiapake lan benih pari wis diselehake,"Wektu nandur, Joko eling marang tradisi sing kudu ditindakake",Bapake nyiapake sesajen kanggo roh leluhur supaya tandurane bisa subur
Food,Gudeg sing dimasak Rina oleh pujian saka keluargane.,Gudeg sing dimasak Rina ora tau rampung.,Rina lan kancane dolan menyang pasar tradisional kanggo tuku bahan masakan gudeg,Gudeg kuwi panganan khas Yogyakarta sing digawe saka nangka muda,Rina sinau cara masak gudeg saka ibune,Rina pengin menehi kejutan kanggo keluargane
Food,Ibu-ne Tono seneng karo manggis sing dibawa Tono.,Tono ora nemokake buah sing disenengi.,Tono lan kanca-kancane dolan menyang pasar tradisional kanggo tuku buah lokal,"Pasar iku rame karo pedagang sing adol buah-buahan kaya salak, manggis, lan rambutan",Tono kepincut karo buah manggis sing seger lan manis,Dheweke tuku manggis kanggo oleh-oleh ibu-ne
Fisheries and Trade,Iwak asin Mas Joko laris manis ing pasar.,Mas Joko ora bisa ngedol iwak asine lan ngalami kerugian.,Mas Joko dagang iwak asin,Iwak asin iki digawe saka iwak segar sing dijupuk saka nelayan,Mas Joko nggawe iwak asin kanthi cara tradisional,Iwaknya digaringake ing srengenge
Food,Lina lan kanca-kanca rumangsa seneng bisa nyicipi panganan tradisional bareng-bareng.,Lina lan kanca-kanca ora seneng karo rujak cingur lan ninggalake panganane.,Lina lan kanca-kancane mangan rujak cingur ing alun-alun,Rujak cingur iku panganan tradisional saka Surabaya,Panganan iki nggabungake macem-macem sayuran lan cingur sapi,Lina lan kanca-kancane mangan rujak cingur kanthi nikmat
Family Relationships,Keluarga Endang seneng banget bisa kumpul.,Simbah ora seneng karo acara iki.,"Wulan iki, keluarga Endang ngrayakake ulang taun simbah",Kabeh anak lan cucu kumpul ing omah simbah,Ana acara doa bebarengan lan mangan bareng,Rame banget lan penuh keakraban
Traditional Games,Toni jatuh amarga salah langkah.,Toni menang amarga ora salah langkah.,Toni lan kanca-kancane dolanan ular naga ing lapangan,Dolanan iki butuh kekompakan lan kecepatan,Toni dadi kepala ular naga,Bocah-bocah liyane dadi badan lan buntut
Pregnancy and Kids,Bayi ora dibawa menyang omah mbah-mbah.,Bayi lan wong tuwa ora ngadani selapanan.,"Nalika bayi lair, wong tuwa biasane ngadani selapanan",Selapanan yaiku upacara sing dianakake nalika bayi umur 35 dina,Wong tuwa lan tetangga padha kumpul kanggo mendoakan keselamatan bayi,Bayi digawa menyang omah mbah-mbahe kanggo ngenalake
Food,Rina lan keluargane dadi sukarelawan ing festival taun ngarep.,Rina ora pengin teka maneh ing festival panganan tradisional.,Ana festival panganan tradisional ing desa Rina,"Rina lan keluargane teka lan nyoba panganan tradisional kaya pecel, gudeg, lan jenang",Rina paling seneng karo jenang sing rasane manis lan lembut,Festival iku dadi acara sing ditunggu-tunggu saben taun
Agriculture,Wulan lan bapake ora menehi sesaji lan kacange ora subur.,Wulan lan bapake nandur kacang lan panene akeh.,Wulan lan bapake nandur kacang tanah ing ladang,Kacang tanah dadi bahan panganan penting kanggo keluargane,"Sakdurunge nandur, bapake tansah menehi sesaji cilik kanggo leluhur",Sesaji iki minangka wujud rasa hormat lan syukur
Family Relationships,Andi lan keluargane diundang menyang acara slametan desa.,Andi ora seneng karo wong-wong desa.,Andi lan keluargane pindhah menyang desa anyar,Wong-wong desa ramah lan mbiyantu,Andi sinau adat lan tradhisi anyar,Dheweke cepet akrab karo tangga teparo
Fisheries and Trade,Mbah Darto ngajak para pemuda desa supaya nerusake tradisi iki.,Mbah Darto ngolah garam tanpa bantuan sapa-sapa.,Mbah Darto iku seorang petani garam tradisional,"Saben musim kemarau, Mbah Darto ngolah ladang garame",Garam asil produksine dijual menyang tengkulak ing kota,Penduduk desa bangga karo garam buatan Mbah Darto
Art,Anjar tampil kanthi apik lan diakoni kabeh wong.,Anjar ora melu tampil amarga wedi.,Anjar sinau maca puisi Jawa,Dheweke arep tampil ing acara sekolah,Anjar wedi yen dheweke bakal lali teks puisine,Anjar latihan terus-terusan saben dina
Fisheries and Trade,Lele-lele Pak Budi tansah laris manis ing pasar.,Lele-lele Pak Budi mati amarga banyu tambak sing reged.,Pak Budi duwe tambak ikan lele ing pinggir desa,Dheweke tansah nggatekake kualitas banyu ing tambak,"Saben minggu, Pak Budi mriksa kahanan lele-lele sing dipelihara",Pak Budi uga nglumpukake lele sing wis siap dipanen lan didol ing pasar
Daily Activities,Keluarga Siti dadi luwih erat lan rukun.,Keluarga Siti ora seneng masakane.,Siti seneng masak kanggo keluargane,"Saben sore, dheweke nyiapake panganan tradisional Javanese",Keluargane Siti seneng mangan bareng,Suasana mangan dadi hangat lan akrab
Food,Lina lan keluarga arep bali ing lesehan ing mangsa ngarep.,Lina lan keluarga ora seneng karo pengalaman mangan ing lesehan.,Lina lan keluarga mangan ing lesehan tradisional,"Lesehan iku salah siji cara mangan sing khas ing Jawa, kanthi lungguh ing tikar",Lina seneng banget karo suasana tradisional iki,Wong-wong padha mangan kanthi nikmat
Agriculture,Eko lali nyiram lombok saben dina lan tandurane mati.,"Eko rajin nyiram lan merawat lombok saben dina, lan tandurane subur.",Eko sinau cara nandur lombok saka mbah kakunge,Nandur lombok mbutuhake perawatan sing apik lan rutin,Eko kepengen njaga tradisi tani keluargane,Eko seneng yen lomboke bisa mateng kanthi subur
Wedding,Roni nampa akeh pujian saka tamu undangan.,Roni ora nyaman karo busana pengantin Jawa.,"Dina pernikahan, Roni nganggo busana pengantin Jawa",Busana pengantin Jawa iki kebak makna adat,Kanca-kanca Roni kagum karo penampilane,Roni rumangsa bangga nganggo busana iki
Religious Holiday,Lampu kelap-kelip mati kabeh sawise dipasang.,Tamu-tamu pada seneng karo dekorasi rumah Sari.,Sari nyiapake rumah kanggo nyambut tamu pas Idul Fitri,Sari masang lampu kelap-kelip ing teras,Keluargane Sari uga nggawe janur kanggo hiasan,Teras rumah dadi luwih meriah
Fisheries and Trade,Pak Madi ngajak warga desa kanggo belajar budidaya lele.,Pak Madi mandheg ngurus tambake lan adol tanah kanggo proyek pembangunan.,Pak Madi duwe tambak lele sing subur,"Saben minggu, Pak Madi ngubur jero tanah kanggo nyedhiyakke panganan sing becik kanggo lele-lelene",Lele-lelene Pak Madi tansah sehat lan cepet gedhe,Pak Madi dikenal sebage peternak lele sing sukses
Art,Lomba nulis puisi iki sukses lan akeh anak-anak sing tertarik kanggo nulis puisi.,Lomba nulis puisi iki gagal amarga ora ana sing tertarik.,Pak Yono minangka penyair terkenal ing desane,Puisine asring dibacakake ing acara-acara adat desa,Pak Yono pengin generasi muda uga bisa nulis puisi kaya dheweke,Dheweke adakan lomba nulis puisi kanggo anak-anak sekolah
Pregnancy and Kids,Ani ngrasakake rasa syukur lan seneng.,Ani ora seneng karo acara mitoni.,Ani lagi ngandhut anak kaping pisanan,Keluargane Ani ngajak ngadani acara mitoni,Mitoni iku upacara adat kanggo njaga ibu lan bayi,Acara mitoni dianakake kanthi meriah
Pregnancy and Kids,Upacara Mitoni iki penting kanggo kulawarga Javanese.,Bayine Siti lair ing dina kasebut.,"Dina iki, Siti lan bojone nindakake upacara Mitoni kanggo ngurmati bayi sing isih ana ing kandhungan",Kulawargane padha teka kanggo ndongakake bayi lan Siti,Ana macem-macem sesaji lan doa-doa sing dipanjatake,Siti lan bojone rumangsa tentrem lan berkah
Fisheries and Trade,Joko tetep sinau carane ngobati iwake dhewe.,Iwak Joko mati kabeh amarga ora diobati.,Joko ngerteni yen iwake lara,Joko ora ngerti carane ngobati iwak sing lara,Joko njaluk tulung marang tetanggane sing ahli,Tetanggane ora gelem mbantu
Food,Gudeg sing digawe Mbah Sumo ora enak amarga keliren.,Keluargane Mbah Sumo seneng banget karo gudeg sing digawe.,Mbah Sumo nggawe gudeg kanggo acara keluarga,Gudeg iku panganan khas saka Yogyakarta sing digawe saka nangka,Mbah Sumo duwe resep rahasia kanggo gudeg,Keluargane Mbah Sumo nglumpuk kanggo mangan bareng
Fisheries and Trade,Wulan dadi bakul iwak sing paling dipercaya ing pasar.,Wulan ora duwe pelanggan amarga dibilang ora jujur.,Wulan iku bakul iwak sing rajin lan jujur,"Saben pasaran, dheweke ora bakal nyoba ngapusi pembeli babagan kualitas iwake",Wulan mesthi nerangake karo jujur yen ana iwak sing wis ora seger,Para pembeli dadi percaya lan setia tuku ing warunge Wulan
Pregnancy and Kids,Upacara tedhak siten anak Arif lan Rina dilakoni kanthi lancar.,Arif lan Rina ora nglakoni upacara amarga ora duwe wektu.,Arif lan Rina ngetutake adat Jawa kanggo bocah sing wis mulai mangan padhet,Keluargane nyiapake bubur abang putih kanggo upacara tedhak siten,Upacara iki minangka lambang rasa syukur marang Gusti,Arif lan Rina ngundang tetangga lan sanak saudara
Art,Kanca-kancane saiki kagum karo kebisane Rina.,Kanca-kancane tetep ora peduli marang Rina.,Rina sinau nari Gambyong,Rina diremehake kanca-kancane amarga ora bisa nari kanthi apik,Rina terus latihan saben dina,Rina bisa nari Gambyong kanthi apik ing acara desa
Food,Rina lan keluargane bisa nikmati panganan kanthi guyub lan harmonis.,Rina lan keluargane ora seneng mangan ing lesehan.,Rina lan keluargane mangan ing lesehan tradisional,Piring lan gelas digawe saka anyaman bambu,Rina seneng mangan ing kene amarga rasane luwih enak lan suasanane ayem,Dheweke uga sinau babagan budaya mangan tradisional Jawa
Pregnancy and Kids,Sari lan bayine tetep sehat lan selamet.,Upacara mitoni ora diadani amarga ora penting.,Sari lagi ngandhut anak kaping loro,Keluargane wis nyiapake upacara mitoni,Mitoni iku tradisi kanggo nglindhungi bayi lan ibu,Kabeh warga desa padha melu upacara iki
Food,Sambel sing digawe ora enak amarga ora alus.,Sambel sing digawe dadi favorit keluargane.,Keluarga Budi pengin njajal mangan bareng nganggo cobek lan ulekan tradisional,Cobek lan ulekan iku alat masak tradisional sing digawe saka watu,Budi lan keluargane ngetokne kabeh bahan kanggo nggawe sambel,Sambel digawe kanthi cara nguleg kabeh bahan ing cobek
