sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
Dadan mangrupa murid bursa ti Bandung,Ilubiung dina kagiatan ngajajar ngaji salila 1 bulan di SMA 3 Garut,Dadan teu tiasa basa Sunda pisan,Anjeunna komunikasi dina basa Indonesia,Dadan nyieun babaturan anyar ti SMA 3 ,"Dadan resep ka Désa wisata Ciater, Subang"
Bibi Ranti reuwas pisan nénjo témbok imahna,Tembok imahna pinuh ku corétan jeung lukisan tradisional Sunda,Corétan dijieun maké spidol jeung saénus nu warna-warna,Tétéla ponakan ngora na keur coretan dina témbok maké gambar Wayang Golek,"Suka atawa henteu, manéhna kudu ngecét deui témbok imahna kalawan motif batik Priangan",Bibi Ranti ménta kompensasi ka ponakan pikeun dibéré ka nu séjén
Warga RW 1 boga tabungan babarengan ngahadiahkeun masjid anyar,Tabungan éta dipaké pikeun meuli lahan kosong di gigireun situ,Lahan kosong dirobih janten kebon masarakat pikeun ngokolakeun pare,"Kebon dipelakan sayuran sareng buah has, kayaning kangkung jeung jeruk","Nalika siap panén, warga diidinan nyandak cukup tina kebon pikeun ngabogaan hajat","Lalaki pinter di kampung teh, boga tanggung jawab anu gedé pisan"
Cia resep nonton wayang golek ngeunaan putri galuh,Cian sering ngalanglang pendak sareng juru pamuji,Bapa Cian ngabulkeun kahayang Cian pikeun ningali reog,Bapana Cian nyamar jadi ulama di masjid agung,Cian bungah bapana bisa ngawujudkeun impianana pikeun milu upacara seren taun,Bapa Cian teu terang kana kahoyong Cian pikeun ngajaga sesajen
Naha teu datang? Jam sabaraha?,"Tasya ngan nyengir sarta ngaliwat ka éta jalma tanpa ngajawab pananya, ngajak nginum bandrék di warung kopi di luar kantor.",Anjeunna terang yén lalaki anu nangtung di panto ngan ukur ngagoda anjeunna sangkan meuli batik tina Sunda.,"Wah, wani-wani nyedek ka manéh, nya? ceuk éta lalaki deui bari nuturkeun tas na kana méja gawé, sarta ngajak ka Tasya sangkan ngiring Wayang Golek di Isuk.","Tasya ukur nyium pipi beureum, bari ngiceupan lalaki, sarta tuluy babarengan ka acara Sisingaan di alun-alun.","Tasya ngabantingkeun korsi tuluy kaluar ti kantor, sarta tuluy ngajak babaturanana ka Pantai Palabuhanratu."
Ibra ngamuk ningali bocah leutik ngalakon di hareupeun imahna pas hari Minggu.,Aranjeunna ngalungkeun batu ka anjing anu dihijikeun di kebon bungur komplek perumahanna pas poe isuk.,Anjing teu bisa lumpat alus lantaran kakeunaan pageuh.,Sorana nyaring kadenge ngagebret sora adzan subuh ti mesjid.,Ibra ngagorowok nyoara ngusir bocah leutik bangor tuluy nangtung hareupeun anjing keur ngajagana sanggeus ngadangu sora bedug.,Ibra ngagorowok ka baturna nu teu kaluar ti imah lantaran keur ngadangu wayang golek.
Dédéngéan Rio beuki goréng nalika ngadéngé lagu Sunda,Ieu Alatan tugasna salaku panaratas Sinden di acara hajat,Anjeunna sering kadéngé sora nyaring tina rebab di panggung,Anjeunna ogé biasa ngadangu degung nalika upacara adat,"Ku alatan éta, manéhna geus teu biasa ngadéngé sora lemah tina tarawangsa",Kualitas panyatur dina konsér Sunda kedah saé pisan ku lantaran éta
Efani ngajugjug nu matak kana kacidaan di Masjid Raya Bandung,Efani ceurik kana sakedapan nu teu diharapkeun di Dikoro,Efani kaduhung kana kasalahan nu geus kaliwat di wayang golék,Efani hayang mopohokeun sagala katukang di Ciwidey,Efani teu bisa tenang lamun kenangan ieu ngahantu dirina di Saung Angklung,Efani kuat nalika nyanghareupan ingetanana di Tangkuban Perahu
Aki tos 70 taun,Sadaya incuna mikanyaah ka Aki,"Sanajan Aki geuning, manéhna salawasna ngadatangan Aki unggal poé ka masjid alus di dayeuh",2 sasih kapengker Aki ngahembuskeun nafas terakhir di imah sakit di Bandung,Anak incu Aki akina hese narima kanyataan ieu,Anak incu Aki masih resep nganjang ka Aki di imahna di Dago
Pia resep kana batik anu dijual di salah sahiji stan pasar tradisional Sunda.,"Ti kajauhan, motif batik tradisional Sunda ngageuingkeun Pia.",Pia ngadeukeutan stan anu jual kain batik.,"Salian ti batik, aya ogé rupa-rupa kerajinan tangan Sunda saperti anyaman bambu jeung ukiran kayu.",Penjaga stan langsung ngapromosikeun batik tradisional Sunda anu dijualna ka Pia.,Penjaga stan langsung indit pas ningali Pia datang.
Nia teh incu di dayeuh,Nia narik perhatian jalma nu nganjenan,Nia teu fixated dina gelar kacondang dirina,"Nia tetep nganggap dulur sarua jeung dirina, siga dulur di kampung halaman",Nia loba turangga,"Nia nganggap saréréa bawahan, siga nu teu boga pangarti"
"Soré éta, komplek kampung lembur Kemal sepi pisan","Si Kemal nu bosen, mutuskeun rék saré di leuitna","Ujug-ujug kadéngé sora pager imahna dibuka, nu jadikeun si Kemal","Si Kemal nu panasaran, ngintip tina jandéla imahna nu diukir ukiran tradisional Sundanese","Tétéla aya si Galuh nu bingung, nyiarkeun pituin nu diwalian",Pager imah Kemal nu ngagambar motif Batik Priangan
Mona ngajak batur ka Warung Sate Maranggi nu anyar buka di Pasar Cibaduyut.,Mona jeung batur geus siap jeung pesenan sate nu rék dibawa pikeun makan bareng di imah.,"Mona nitah sate maranggi nu hiji ulah dicampur kacang, nu hiji deui ulah dicampur kecap manis.",Mona ogé ménta tambahan lalab segar keur nyéré pangacan sate maranggi.,"Bari ngadagoan, Mona lumpat deui ka toko keur meuli es tèh pikeun ngalengkepan makan bareng.","Bari ngadagoan, Mona asup deui ka imah neruskeun saré alatan keur kacewa."
Zora nampi tangtangan ti musuhna di pagentongan,Zora kedah ngabéréskeun lawon sareng oncom,Zora teu diidinan dahar sambel ku dokter,Zora ngaku eleh ka musuhna di lapangan sepak bola,Zora henteu ngadahar lawon sareng oncom,Zora leuwih mentingkeun ego jeung kahormatan urang Sunda
Okky saré dina angkot.,Supir angkot ngahudangkeun anjeunna nalika angkot parantos eureun di terminal Leuwipanjang.,Okky panik.,"Tapi, Okky langsung sadar yén tujuanana memang terminal anu terakhir.",Okky hatur nuhun ka supir anu ngahudangkeun anjeunna sateuacan kaluar tina angkot.,Okky ngahaturkeun nuhun ka bapa nu diuk gigireunana.
"Eh, antosan Tia, urang hayang ngobrol,","Tia geus leuwih ti saminggu ngajauhan Toni tanpa alesan, sakumaha manéhna ngajauhan adat karuhun urang Sunda.","'Hapunten Toni, urang buru-buru ngarah kana Masjid nu keur ngadangu khotbah,' jawab Tia bari tetep ngajauhan Toni.","'Teu tiasa masihan katerangan sakedik? Urang henteu tiasa teras-terasan sapertos kieu, Tia,' Toni nyobian nyekel leungeun Tia, tapi budak awéwé éta ngantep.","Tia tetep teu kaampeuh, manehna naek kana bendi nu kabeneran indit ninggalkeun Toni.","Tia éta gadis riang saméméhna, ngahaja ngajawab jaipongan di acara hajat urang Sunda."
Milih kueh basah nu salah tiasa bahaya,Kitu nu karandapan ku Mira,Anjeunna ngagaleuh sabotol kueh basah murah anu pabrikna teu jelas,Mira kagoda ku harga anu murah sareng rasa anu unik,Ayeuna perut Mira gerah tur mules,Perut Mira jadi enak tur sehat
Redy keur ngadéngé kasenian degung di saung nalika anjeunna ngadéngé sora ti luar.,Anjeunna eureun ngadéngé sarta nyoba prick up ceuli na.,Sora anu kadéngé tadi geus ngaleungit.,"Redy nuluykeun ngadéngé degung, tapi sora mucunghul deui.",Redy langsung kaluar ti saung terus turun ngariung ka buruan.,Redy langsung kaluar ti saung tuluy muru ka warung kopi.
Beo abdi namina Tono,Anjeunna resep ngawih,Abdi parantos ngarawat anjeunna ti 1 taun ka pengker di imah lembur di Cianjur,Lagu Sunda laguna masih merdu nepi ka kiwari,Tono memang manuk pinter ngawih pantun,Tono memang geus kolot pisan ngawihna
Baraya nyeéta urang Baduy ngora pisan,Baraya pas pilihan jadi jawara ngajaga Gunung Kendeng,Baraya devoted awak jeung jiwa na pikeun ngajaga adat istiadat Sunda,Baraya tanggung jawab kasalametan masarakat di wewengkon basisir Palabuhanratu,Baraya janten pupuhu adat urang Baduy 2 warsih saterusna,Baraya teh juru dagang bungsu di wewengkon Tasikmalaya
Kayla melak loba pare di sawahna,Parena rupa-rupa jenis,"Nalika panén, anjeunna nyokot sababaraha pare",Pare-pare anu dipetik dijantenkeun opak,"Saterusna, manéhna ngajual hasil pikeun bahan olahan tradisional","Sanggeus parena jadi opak, dipelakan deui"
Teu kungsi lila urang nepi ka puncak Gunung Tangkuban Perahu.,"Kuring meunang sababaraha léngkah ti anjeunna, tapi éta henteu ngarasa kawalahan.","haha! Tingali saha nu meunang naék di puncak, siah pisan... kalimah kuring eureun sanggeus panon kuring ngahaja ningali pamandangan lembur Situ Patenggang handap.",Kuring kagum kana tetempoan nu éndahna kawas karya Tuhan.,"Anjeun pasti henteu nyangka pandangan ti luhur sapertos kieu, nu ngamungkinkeun urang nginget-inging ka lembur Sunda nu elok,","Anjeunna nyabut sapatuna teras naék kana tangkal manggu, ngalakukeun ulah nu teu patut di puncak gunung nu suci pikeun urang Sunda."
"Hehehehe. Ti abdi teu bisa ngajauab, hampura...","Éta. Pikeun kuring, sagalana aya di tukangeunana, kieu ari kuring ngajalan ka Gunung Tangkuban Perahu",Naha abdi telat?,"Henteu. Sanes anjeun telat, tapi ti mimiti sigana mah takdir kuring sanés anjeun, sajajar pisan jeung ngajalan ka Masjid Agung Al-Jabar","nutupan beungeutna ku dampal leungeunna, kaduhung kalakuanana sajauh ieu",
Asep nyobian sababaraha ideu bisnis di Pasar Baru Bandung,Asep inovate ku ngajual batik sareng wayang golek lucu,Asep nyoba narik perhatian pembeli di hari Minggu,Asep ngagaduhan kauntungan tina penjualan di awal bulan,Inovasi anu diciptakeun Asep suksés narik perhatian para pembeli di Priangan,Asep henteu hoyong ngamimitian usaha naon waé deui
Veni dianggo dina laporan pajeg,Veni teu resep ngitung panen paré,Veni damel salaku patani,Veni nu tanggung jawab ngitung panen di sawahna,Veni kapaksa bajoang ku musim hujan,Veni henteu hoyong damel janten juru masak
Kutil ngahadiran hajat bapana nuju ngalungkeun tumpeng,Bapana katingali gagah dina pangantèn Sunda maké pakaian adat,Kutil hayang kawas bapana nuju miboga prabot ngalungkeun,Kutil diajar sarta latihan ngalungkeun pikeun bisa ngawujudkeun impian na,Kutil ahirna bisa ngalungkeun tumpeng dina usia 27,Kutil hayang jadi dalang wayang kawas bapana
Aa Jayan mangrupikeun patani paré,Aa Jayan pisan ngolahan paréna,Warna paré anu dipanén nyaéta konéng,Pare bakal diolah jadi gula jawa,Aa Jayan meunang duit tina ngajual gula jawa,Aa Jayan ngajual kopi pikeun ngalapkeun duit
Yira geus réngsé ngalanglang ka Gunung Tangkuban Perahu,Yira kakara lulus universitas di Bandung,Yira bakal balik ka imah di Garut,Yira kudu geuwat ngarangkep barang-barangna di kosan di Cimahi,Yira sono ka imahna pikeun ngadahar raramunan Sunda,Yira cicing di imah bari diajar ngaluncat
Pernak-pernik Mila sadayana gaduh motif oray nu aya di Taman Nasional Ujung Kulon,Mila resep pisan sato oray ieu,"Numutkeun Mila, oray pisan pikaresepeun",Buluna hideung siga arang,Awakna ageung sarta beungeutna pisan pikaresepeun,Ongkoh oray teu tiasa hirup dina cuaca panas
Sora ngadagoan kiwari nyaéta ngalungkeun galah,Guru ngadagoan gimna parantos nyiapkeun tempat ngalungkeun galah pikeun siswa,"Sora ngadagoan daratang, babaturanana ngalungkeun galah ka Sora pikeun ulin-ulinan",Sora ngawalon ka batur-baturna milu ngalungkeun galah,Maranéhna ditegor ku guru ngadagoan keur ngalungkeun galah waktu kelas,Guru ngadagoan maranéhna robah latihan pikeun ngalungkeun keusik
Jeni indit ka leuwi,Jeni ningali kembang bunga sedap malam di tengah leuwi,Jeni rék nyokot kembang bunga sedap malam,Jeni teu ningali wates leuwi anu dipasang,Jeni murag ka leuwi,Jeni teu resep kembang bunga sedap malam
