topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4,generated_by,language
Fisheries and Trade,Pak Min bisa adol lele-lelene menyang pasar lan entuk bathi sing akeh.,Pak Min nglampahi kabeh lele-lele lan ora entuk apa-apa.,Pak Min nandur iwak lele ing kolam cilik ing pekarangane,Saben dina dheweke mbedhah iwake nganggo pakan sing apik,Dheweke uga ndandani kolam supaya tetep resik lan ora ana bocor,Pak Min ngarep-arep panen lele sing akeh lan sehat,claude,su
Socio-religious aspect of life,Ani dadi contoh kanggo generasi muda.,Ani ora pengen melu acara desa maneh.,Ani seneng banget karo budaya gotong royong,Ani ajeg melu acara bersih desa,Ani ngajak kancane kanggo melu bersih desa,Ani rumangsa bangga bisa mbantu desane,claude,su
Socio-religious aspect of life,Ratna dadi ahli nembang macapat lan sering tampil ing acara adat.,Ratna ora ngerti carane nembang macapat.,Ratna sinau nembang macapat saka simbah,Macapat iku salah sawijining bentuk puisi tradisional Jawa,Ratna seneng nembang lan nguri-uri kabudayan Jawa,Simbah mbantu Ratna ngerti makna saben tembang,claude,su
Daily Activities,Toni uga ajeg ngajak kanca-kancane numpak sepeda bareng.,Toni mutusake kanggo numpak bis sekolah amarga luwih cepet.,Toni seneng numpak sepeda menyang sekolah,Saben dina Toni numpak sepeda liwat dalan desa sing sepi,Toni seneng merga bisa olah raga lan ngirit biaya transportasi,Toni mesthi tekan sekolah kanthi semangat,claude,su
Pregnancy and Kids,Dewi lan keluargane ngalami upacara mitoni kanthi lancar.,Dewi ora nindakake upacara mitoni amarga ora percaya adat.,Dewi lagi ngandhut telung wulan,"Miturut adat Jawa, Dewi kudu nindakake upacara mitoni",Mitoni iku upacara adat sing ditindakake ing wulan kapitu kehamilan,Dewi lan keluargane lagi nyiapake upacara mitoni,claude,su
Daily Activities,Wulan malah ora ana beras ing omah.,Wulan masak sega liwet kanthi apik.,Wulan arep masak sega liwet,Wulan nyiapake bahan-bahane,Wulan njupuk alat-alat masak ing pawon,Wulan seneng karo masak panganan tradisional,claude,su
Traditional Games,Rina lan Tono seneng bisa dolanan bareng lan nambah kawruh bab egrang.,Rina lan Tono padha njaluk pertolongan guru amarga ora bisa dolanan egrang.,Rina lan Tono dolanan egrang ing pekarangan sekolah,Egrang iku mainan tradisional sing mbutuhake keseimbangan,Tono mbantu Rina supaya bisa lancar dolanan egrang,Rina banjur bisa mlaku kanthi lancar nganggo egrang,claude,su
Pregnancy and Kids,Mitoni rampung kanthi lancar lan kabeh wong seneng.,Mitoni rampung kanthi kuciwa amarga ora ana sing teka.,"Ana tradhisi ""Mitoni"" kanggo wanita hamil ing desa Kuto",Mitoni dilakoni nalika kehamilan mlebu wulan kapitu,Keluarga lan tangga teparo padha kumpul kanggo ndedonga lan ngucap syukur,"Biasane, ana bancakan lan dolanan tradisional",claude,su
Agriculture,Warga desa lali nindakake upacara lan panene gagal.,Warga desa seneng amarga panene akeh lan upacara lancar.,"Sakdurunge panen padi, warga desa nindakake upacara sedhekah bumi",Upacara iki minangka rasa syukur marang Gusti Allah kanggo bumi lan panen sing apik,Warga desa padha kumpul lan nyawisake panganan tradisional,Upacara iki uga kanggo njaga harmoni ing desa,claude,su
Family Relationships,Keluarga Andi tetep rukun lan kompak.,Keluarga Andi dadi renggang lan ora akrab maneh.,"Setiap minggu, keluarga Andi ngumpul kanggo makan malam bersama",Kegiatan iki wis dadi tradisi turun-temurun,"Ing acara iki, kabeh anggota keluarga ngobrol lan berbagi cerita",Suasana dadi hangat lan akrab,claude,su
Death,Bu Tini ngatur acara tahlilan saben malam nganti pitung dina.,Bu Tini langsung ngunci omahe lan ora nindakake kenduren.,"Sakwise pemakaman, warga desa nglumpuk ing omahe Bu Tini",Kabeh padha nyumbang panganan kanggo kenduren,Bu Tini lan keluargane nyiapake sesajen kanggo arwah sing tilar donya,Kenduren iki minangka wujud rasa syukur lan doa kanggo arwah,claude,su
Agriculture,Warga desa ngrasakake kebersamaan lan bisa nggawe masakan saka sayuran sing dipanen.,Sayuran sing dipanen Mbok Minah kabeh layu lan ora bisa dimasak.,Mbok Minah nandur sayuran ing kebone,"Setiap dina, Mbok Minah ngurus kebone kanthi telaten",Sayuran thukul subur lan seger,Mbok Minah ngundang warga desa kanggo panen bebarengan,claude,su
Family Relationships,Rina ngerti pentinge pasar tradisional lan tetep nguri-uri tradisi iki.,Rina ora seneng dolan menyang pasar tradisional.,Rina lan ibune dolan menyang pasar tradisional,"Ing pasar, akeh pedagang sing wis kenal karo ibune",Ibune tansah ngajari Rina cara tawar-menawar,Rina seneng banget dolan menyang pasar tradisional,claude,su
Family Relationships,Yuda rumangsa legawa lan seneng bisa mbales budi marang wong tuwane.,Wong tuwane Yuda malah dadi lara maneh.,Yuda duwe tanggung jawab kanggo ngurus wong tuwa sing wis sepuh,Sedulur-sedulure ora ana sing gelem nulungi,Yuda kudu ninggalake pakaryan,Wong tuwane dadi luwih sehat amarga perawatan Yuda,claude,su
Wedding,Panganan dipangan nganti entek dening para tamu.,Panganan ditinggal amarga ora enak.,"Sawise upacara pernikahan, tamu-tamu diajak mangan","Ana panganan tradisional kaya tumpeng, sate, lan jenang",Wong-wong padha seneng mangan bareng-bareng,Panganan iku minangka simbol rasa syukur,claude,su
Socio-religious aspect of life,Mula Pak Slamet diundang kanggo mulang babagan obat tradisional ing sekolah-sekolah.,Mula Pak Slamet ora tau diajak ngomong karo warga desa.,Pak Slamet iku wong sing ahli obat tradisional,Dheweke kerep nulungi warga desa sing lara nganggo ramuan alami,Pak Slamet ngerti banget babagan tanduran obat lan cara nggawene,Warga desa padha percaya karo keahliane,claude,su
Daily Activities,Pak Slamet ditresnani kabeh warga desane.,Pak Slamet mung seneng mlaku-mlaku tanpa tujuan.,"Dina saben esuk, Pak Slamet mesthi mlaku-mlaku ing sawah",Dheweke mesthi nggawa cangkriman kanggo nyengkuyung petani liyane,Kabeh wong seneng karo kepribadian Pak Slamet sing ramah,Pak Slamet uga ajeg ngunjungi tetangga sawise kerja,claude,su
Socio-religious aspect of life,Darto ngerti yen slametan nggawe urip luwih harmonis.,Darto ora seneng slametan amarga repot.,Darto lan kanca-kancane kerep ngadani slametan,Slametan kuwi bagéan saka tradisi kampungé,Wong-wong padha nggawa panganan lan doa bebarengan,Wong kampung seneng slametan amarga bisa njaga kerukunan,claude,su
Death,Pak Slamet dipundhut lan dikubur kanthi adat Jawa.,Kabeh wong bali menyang omah kanthi rasa seneng.,Pak Slamet wis tilar donya,Keluarga lan tanggane padha rawuh kanggo ngaturake bela sungkawa,Wong-wong padha makarya kanggo ngurusi panguburan Pak Slamet,Kabeh padha nganggo busana ireng kanggo nuduhake rasa duka,claude,su
Wedding,Tamu-tamu kagum karo dekorasi lan omah gedhe kasebut.,Tamu ora seneng karo lokasi pesta pernikahan.,Lokasi pesta pernikahan ing omah gedhe tradisional,Omah iki dihias nganggo janur lan kembang,Tamu teka nganggo busana adat,Pesta pernikahan wiwit,claude,su
Fisheries and Trade,Pak Budi ngajak warga desa kanggo kerja bareng ing tambake.,Pak Budi mutusake kanggo nutup usaha tambake.,Pak Budi duwe usaha tambak lele,"Saben dina, Pak Budi mriksa tambake lan menehi pakan iwak",Dheweke ngerti yen iwake saya akeh lan sehat,Pak Budi mutusake kanggo nambah jumlah tambake,claude,su
Agriculture,Panen pari Pak Bambang tansah melimpah saben taun.,Pak Bambang ora tau sukses ing tandur pari.,Pak Bambang minangka petani sing sukses ing desane,Saben taun dheweke tansah ngadani upacara wiwitan sadurunge nandur pari,Upacara iki minangka wujud rasa syukur marang Gusti,Wong-wong desa padha melu lan mbantu Pak Bambang,claude,su
Death,Anak-anak Pak Joko urip rukun lan saling tulung.,Anak-anak Pak Joko langsung rebutan warisan.,Pak Joko nemtokake warisan kanggo anak-anak,Pak Joko arep ninggalake ladang lan omah kanggo anak sulung,Anak-anak padha setuju karo putusan Pak Joko,Kabeh padha ngormati keputusan bapake,claude,su
Family Relationships,Dani lan keluargane tetep njaga tradisi iki nganti tekan generasi sabanjure.,Dani lali karo tradisi keluargane.,Dani lan keluargane duwe tradisi mangan malam bareng saben minggu,Tradisi iki wis dijaga turun-temurun,Wong tuwa Dani percaya pentingnya ngumpul bareng keluarga,Dani seneng banget karo tradisi iki,claude,su
Art,Dheweke diajak tampil ing festival budaya sabanjure.,Dheweke mutusake kanggo mandheg nari jaranan.,Budi seneng banget nari jaranan,"Saben minggu, dheweke mesthi latihan ing balai desa",Budi pengin nambah kemampuane supaya bisa tampil ing festival desa,Budi latihan kanthi tekun lan disiplin,claude,su
Fisheries and Trade,Rina lan Rini diajari carane nego harga kanthi apik.,Rina lan Rini luwih seneng dolanan tinimbang mbantu ibu.,Rina lan Rini mbantu ibune adol iwak ing pasar,"Saben dina, dheweke nyiapake iwak kanthi rapih supaya pelanggan seneng",Tradisi iki wis ditindakake turun-temurun,Pasar dadi rame karo swara tawar-menawar,claude,su
Daily Activities,Yuni malah ngantuk lan turu.,Yuni malah nulis buku saka crita simbah.,Yuni dolan menyang omah simbah,Yuni seneng ngobrol karo simbah,Simbah sering crita babagan jaman biyen,Yuni ngrungokake crita kanthi semangat,claude,su
Food,Keluargane Edo seneng banget karo jenang kudus.,Edo ora seneng karo jenang kudus lan mbuwang kabeh.,Edo tuku jenang kudus kanggo oleh-oleh,Jenang kudus iku panganan manis khas Kudus sing digawé saka ketan,Edo mangan siji jenang kudus sadurunge mulih,Edo nggawa jenang kudus menyang omah,claude,su
Pregnancy and Kids,Brokohan dilakoni kanthi mangan ing omah Ardi.,Brokohan dilakoni kanthi nonton wayang kulit.,Bayi Ardi lahir kanthi selamat,"Sakwise lahiran, keluarga Ardi nindakake tradisi brokohan",Tradisi iki kanggo ngucapke syukur lan njaluk berkah,Warga sekitar diundang kanggo mangan bareng,claude,su
Wedding,Upacara midodareni rampung kanthi lancar lan khidmat.,Wong tuwa Sari lan Bimo ora setuju nindakake upacara midodareni.,Sari lan Bimo lagi nindakake upacara adat midodareni,Midodareni iku tradisi kanggo nyiapake manten,Wong tuwa Sari lan Bimo nindakake upacara iki kanthi serius,Wong-wong padha ngumpul lan ngarepake berkah,claude,su
Pregnancy and Kids,Rina lan bayine tetep sehat lan selamat nganti lair.,Rina ora nampa banyu kembang kanggo ngumbah tangan.,Rina wis hamil lan siap ngadhepi wulan kaping pitu,Ibu-ibu desa nganakake acara mitoni kanggo Rina,"Ing acara, Rina diwenehi banyu kembang kanggo ngumbah tangan",Rina matur nuwun marang kabeh sing rawuh,claude,su
Socio-religious aspect of life,Mas Andi tansah dirubung pembeli.,Wong-wong desa ora percaya karo jamu Mas Andi.,Mas Andi iku tukang jamu keliling,"Saben esuk, Mas Andi muter desa adol jamu",Wong-wong desa seneng karo jamu racikan Mas Andi,Jamu Mas Andi dipercaya bisa nambah stamina lan kesehatan,claude,su
Pregnancy and Kids,Kabeh seneng lan ngelingi masa kanak-kanak.,Simbah ora iso teka amarga lara.,Dina iki arisan keluarga besar,Wong-wong padha kumpul ing omahe Simbah,Simbah nggawa jenang abang kanggo acara iki,Jenang abang iku tradisi sing ora tau ilang,claude,su
Pregnancy and Kids,Anak Bapak Adi bisa mlaku kanthi lancar lan sehat.,Anak Bapak Adi ora seneng karo upacara iki.,"Nalika bayi wiwit bisa mlaku, ana tradisi wiwitan",Bapak Adi nyiapake acara wiwitan kanggo anak pertamane,Upacara iki kanggo berdoa supaya anak bisa mlaku kanthi lancar,Wong-wong padha teka kanggo merayakane,claude,su
Socio-religious aspect of life,Pak Tono rumangsa luwih tenang lan spiritual sawise adus kembang.,Pak Tono ora percaya karo tradisi adus kembang.,Pak Tono kerep adus kembang ing wektu-waktu tartamtu,Adus kembang iku dilakoni kanggo njaga kesucian lan spiritualitas,Pak Tono percaya yen kembang-kembang kasebut duwe daya spiritual sing dhuwur,Prosesi iki wis dadi tradisi turun-temurun keluargane,claude,su
Fisheries and Trade,Pasar desa rame karo wong-wong sing tuku iwak saka Pak Sastro.,Pak Sastro ora bisa adol iwak amarga ora ana sing tuku.,Pak Sastro minangka nelayan sing trampil ing desane,"Saben esuk, dheweke lunga menyang segara kanggo njala iwak",Pak Sastro tansah netepi tradisi nyuwun berkah marang Dewi Laut,Iwak sing ditangkep dheweke banjur didol ing pasar desa,claude,su
Religious Holiday,Nyadran iki minangka wujud rasa syukur marang sing Maha Kuasa.,Acara iki mung kanggo dolanan bocah-bocah.,Wargo desa padha kumpul ing balai desa kanggo nyadran,"Saben sasi Ruwah, wong-wong padha nyekar lan nganakake slametan",Pak Tani nyiapake sega tumpeng kanggo acara iki,Bocah-bocah padha nyanyi bareng-bareng,claude,su
Daily Activities,Siti tampil ayu lan percaya diri ing pesta manten.,Siti ora mlebu pesta amarga isin.,Siti lagi macak ing ngarep kaca,Dheweke arep lunga menyang pesta manten kancane,Siti milih kebaya sing apik kanggo acara iki,Kanca-kancane Siti nunggu dheweke ing ngarep omah,claude,su
Agriculture,Warga desa mangan tumpeng bebarengan lan bareng-bareng nandur pari.,Budi ngliwati tradisi lan langsung nandur pari.,Budi lagi nyiapake lahan kanggo nandur pari,Desa Budi duwe tradhisi mangan tumpeng sadurunge nandur,Tradisi iki dipercaya bisa ngundang berkah,Budi lan warga desa lagi ngumpul ing sawah,claude,su
Daily Activities,Pak Slamet dikenal minangka wong sing loman.,Tangga-teparo ora seneng karo woh-wohan saka Pak Slamet.,Pak Slamet duwe kebun gedhe ing mburi omah,"Ing kebun iku, dheweke nandur macem-macem wit woh-wohan","Saben panen, Pak Slamet mbagei woh-wohan marang tangga-teparo",Tangga-teparo seneng lan matur nuwun kanggo woh-wohan saka Pak Slamet,claude,su
Pregnancy and Kids,Niko dadi luwih pinter ngrangkep bayi.,Niko tetep wedi ngrangkep bayi.,Niko lagi sinau ngrangkep bayi,Ibu Niko menehi saran supaya bayi ora diangkat saka endhas,Niko nglatih ngrangkep bayi kanthi ati-ati,Bayine Niko dadi luwih tenang,claude,su
Agriculture,Sesajen mau digawa menyang sawah lan didongakake bareng-bareng.,Joko malah lali karo tradisi lan langsung nandur tanpa sesajen.,Joko lan bapake arep nandur pari,Tikelan lemah wis disiapake lan benih pari wis diselehake,"Wektu nandur, Joko eling marang tradisi sing kudu ditindakake",Bapake nyiapake sesajen kanggo roh leluhur supaya tandurane bisa subur,claude,su
Food,Gudeg sing dimasak Rina oleh pujian saka keluargane.,Gudeg sing dimasak Rina ora tau rampung.,Rina lan kancane dolan menyang pasar tradisional kanggo tuku bahan masakan gudeg,Gudeg kuwi panganan khas Yogyakarta sing digawe saka nangka muda,Rina sinau cara masak gudeg saka ibune,Rina pengin menehi kejutan kanggo keluargane,claude,su
Food,Ibu-ne Tono seneng karo manggis sing dibawa Tono.,Tono ora nemokake buah sing disenengi.,Tono lan kanca-kancane dolan menyang pasar tradisional kanggo tuku buah lokal,"Pasar iku rame karo pedagang sing adol buah-buahan kaya salak, manggis, lan rambutan",Tono kepincut karo buah manggis sing seger lan manis,Dheweke tuku manggis kanggo oleh-oleh ibu-ne,claude,su
Fisheries and Trade,Iwak asin Mas Joko laris manis ing pasar.,Mas Joko ora bisa ngedol iwak asine lan ngalami kerugian.,Mas Joko dagang iwak asin,Iwak asin iki digawe saka iwak segar sing dijupuk saka nelayan,Mas Joko nggawe iwak asin kanthi cara tradisional,Iwaknya digaringake ing srengenge,claude,su
Food,Lina lan kanca-kanca rumangsa seneng bisa nyicipi panganan tradisional bareng-bareng.,Lina lan kanca-kanca ora seneng karo rujak cingur lan ninggalake panganane.,Lina lan kanca-kancane mangan rujak cingur ing alun-alun,Rujak cingur iku panganan tradisional saka Surabaya,Panganan iki nggabungake macem-macem sayuran lan cingur sapi,Lina lan kanca-kancane mangan rujak cingur kanthi nikmat,claude,su
Family Relationships,Keluarga Endang seneng banget bisa kumpul.,Simbah ora seneng karo acara iki.,"Wulan iki, keluarga Endang ngrayakake ulang taun simbah",Kabeh anak lan cucu kumpul ing omah simbah,Ana acara doa bebarengan lan mangan bareng,Rame banget lan penuh keakraban,claude,su
Traditional Games,Toni jatuh amarga salah langkah.,Toni menang amarga ora salah langkah.,Toni lan kanca-kancane dolanan ular naga ing lapangan,Dolanan iki butuh kekompakan lan kecepatan,Toni dadi kepala ular naga,Bocah-bocah liyane dadi badan lan buntut,claude,su
Pregnancy and Kids,Bayi ora dibawa menyang omah mbah-mbah.,Bayi lan wong tuwa ora ngadani selapanan.,"Nalika bayi lair, wong tuwa biasane ngadani selapanan",Selapanan yaiku upacara sing dianakake nalika bayi umur 35 dina,Wong tuwa lan tetangga padha kumpul kanggo mendoakan keselamatan bayi,Bayi digawa menyang omah mbah-mbahe kanggo ngenalake,claude,su
Food,Rina lan keluargane dadi sukarelawan ing festival taun ngarep.,Rina ora pengin teka maneh ing festival panganan tradisional.,Ana festival panganan tradisional ing desa Rina,"Rina lan keluargane teka lan nyoba panganan tradisional kaya pecel, gudeg, lan jenang",Rina paling seneng karo jenang sing rasane manis lan lembut,Festival iku dadi acara sing ditunggu-tunggu saben taun,claude,su
Agriculture,Wulan lan bapake ora menehi sesaji lan kacange ora subur.,Wulan lan bapake nandur kacang lan panene akeh.,Wulan lan bapake nandur kacang tanah ing ladang,Kacang tanah dadi bahan panganan penting kanggo keluargane,"Sakdurunge nandur, bapake tansah menehi sesaji cilik kanggo leluhur",Sesaji iki minangka wujud rasa hormat lan syukur,claude,su
Family Relationships,Andi lan keluargane diundang menyang acara slametan desa.,Andi ora seneng karo wong-wong desa.,Andi lan keluargane pindhah menyang desa anyar,Wong-wong desa ramah lan mbiyantu,Andi sinau adat lan tradhisi anyar,Dheweke cepet akrab karo tangga teparo,claude,su
Fisheries and Trade,Mbah Darto ngajak para pemuda desa supaya nerusake tradisi iki.,Mbah Darto ngolah garam tanpa bantuan sapa-sapa.,Mbah Darto iku seorang petani garam tradisional,"Saben musim kemarau, Mbah Darto ngolah ladang garame",Garam asil produksine dijual menyang tengkulak ing kota,Penduduk desa bangga karo garam buatan Mbah Darto,claude,su
Art,Anjar tampil kanthi apik lan diakoni kabeh wong.,Anjar ora melu tampil amarga wedi.,Anjar sinau maca puisi Jawa,Dheweke arep tampil ing acara sekolah,Anjar wedi yen dheweke bakal lali teks puisine,Anjar latihan terus-terusan saben dina,claude,su
Fisheries and Trade,Lele-lele Pak Budi tansah laris manis ing pasar.,Lele-lele Pak Budi mati amarga banyu tambak sing reged.,Pak Budi duwe tambak ikan lele ing pinggir desa,Dheweke tansah nggatekake kualitas banyu ing tambak,"Saben minggu, Pak Budi mriksa kahanan lele-lele sing dipelihara",Pak Budi uga nglumpukake lele sing wis siap dipanen lan didol ing pasar,claude,su
Daily Activities,Keluarga Siti dadi luwih erat lan rukun.,Keluarga Siti ora seneng masakane.,Siti seneng masak kanggo keluargane,"Saben sore, dheweke nyiapake panganan tradisional Javanese",Keluargane Siti seneng mangan bareng,Suasana mangan dadi hangat lan akrab,claude,su
Food,Lina lan keluarga arep bali ing lesehan ing mangsa ngarep.,Lina lan keluarga ora seneng karo pengalaman mangan ing lesehan.,Lina lan keluarga mangan ing lesehan tradisional,"Lesehan iku salah siji cara mangan sing khas ing Jawa, kanthi lungguh ing tikar",Lina seneng banget karo suasana tradisional iki,Wong-wong padha mangan kanthi nikmat,claude,su
Agriculture,Eko lali nyiram lombok saben dina lan tandurane mati.,"Eko rajin nyiram lan merawat lombok saben dina, lan tandurane subur.",Eko sinau cara nandur lombok saka mbah kakunge,Nandur lombok mbutuhake perawatan sing apik lan rutin,Eko kepengen njaga tradisi tani keluargane,Eko seneng yen lomboke bisa mateng kanthi subur,claude,su
Wedding,Roni nampa akeh pujian saka tamu undangan.,Roni ora nyaman karo busana pengantin Jawa.,"Dina pernikahan, Roni nganggo busana pengantin Jawa",Busana pengantin Jawa iki kebak makna adat,Kanca-kanca Roni kagum karo penampilane,Roni rumangsa bangga nganggo busana iki,claude,su
Religious Holiday,Lampu kelap-kelip mati kabeh sawise dipasang.,Tamu-tamu pada seneng karo dekorasi rumah Sari.,Sari nyiapake rumah kanggo nyambut tamu pas Idul Fitri,Sari masang lampu kelap-kelip ing teras,Keluargane Sari uga nggawe janur kanggo hiasan,Teras rumah dadi luwih meriah,claude,su
Fisheries and Trade,Pak Madi ngajak warga desa kanggo belajar budidaya lele.,Pak Madi mandheg ngurus tambake lan adol tanah kanggo proyek pembangunan.,Pak Madi duwe tambak lele sing subur,"Saben minggu, Pak Madi ngubur jero tanah kanggo nyedhiyakke panganan sing becik kanggo lele-lelene",Lele-lelene Pak Madi tansah sehat lan cepet gedhe,Pak Madi dikenal sebage peternak lele sing sukses,claude,su
Art,Lomba nulis puisi iki sukses lan akeh anak-anak sing tertarik kanggo nulis puisi.,Lomba nulis puisi iki gagal amarga ora ana sing tertarik.,Pak Yono minangka penyair terkenal ing desane,Puisine asring dibacakake ing acara-acara adat desa,Pak Yono pengin generasi muda uga bisa nulis puisi kaya dheweke,Dheweke adakan lomba nulis puisi kanggo anak-anak sekolah,claude,su
Pregnancy and Kids,Ani ngrasakake rasa syukur lan seneng.,Ani ora seneng karo acara mitoni.,Ani lagi ngandhut anak kaping pisanan,Keluargane Ani ngajak ngadani acara mitoni,Mitoni iku upacara adat kanggo njaga ibu lan bayi,Acara mitoni dianakake kanthi meriah,claude,su
Pregnancy and Kids,Upacara Mitoni iki penting kanggo kulawarga Javanese.,Bayine Siti lair ing dina kasebut.,"Dina iki, Siti lan bojone nindakake upacara Mitoni kanggo ngurmati bayi sing isih ana ing kandhungan",Kulawargane padha teka kanggo ndongakake bayi lan Siti,Ana macem-macem sesaji lan doa-doa sing dipanjatake,Siti lan bojone rumangsa tentrem lan berkah,claude,su
Fisheries and Trade,Joko tetep sinau carane ngobati iwake dhewe.,Iwak Joko mati kabeh amarga ora diobati.,Joko ngerteni yen iwake lara,Joko ora ngerti carane ngobati iwak sing lara,Joko njaluk tulung marang tetanggane sing ahli,Tetanggane ora gelem mbantu,claude,su
Food,Gudeg sing digawe Mbah Sumo ora enak amarga keliren.,Keluargane Mbah Sumo seneng banget karo gudeg sing digawe.,Mbah Sumo nggawe gudeg kanggo acara keluarga,Gudeg iku panganan khas saka Yogyakarta sing digawe saka nangka,Mbah Sumo duwe resep rahasia kanggo gudeg,Keluargane Mbah Sumo nglumpuk kanggo mangan bareng,claude,su
Fisheries and Trade,Wulan dadi bakul iwak sing paling dipercaya ing pasar.,Wulan ora duwe pelanggan amarga dibilang ora jujur.,Wulan iku bakul iwak sing rajin lan jujur,"Saben pasaran, dheweke ora bakal nyoba ngapusi pembeli babagan kualitas iwake",Wulan mesthi nerangake karo jujur yen ana iwak sing wis ora seger,Para pembeli dadi percaya lan setia tuku ing warunge Wulan,claude,su
Pregnancy and Kids,Upacara tedhak siten anak Arif lan Rina dilakoni kanthi lancar.,Arif lan Rina ora nglakoni upacara amarga ora duwe wektu.,Arif lan Rina ngetutake adat Jawa kanggo bocah sing wis mulai mangan padhet,Keluargane nyiapake bubur abang putih kanggo upacara tedhak siten,Upacara iki minangka lambang rasa syukur marang Gusti,Arif lan Rina ngundang tetangga lan sanak saudara,claude,su
Art,Kanca-kancane saiki kagum karo kebisane Rina.,Kanca-kancane tetep ora peduli marang Rina.,Rina sinau nari Gambyong,Rina diremehake kanca-kancane amarga ora bisa nari kanthi apik,Rina terus latihan saben dina,Rina bisa nari Gambyong kanthi apik ing acara desa,claude,su
