topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Traditional Games,Budi njaluk pitulungan marang Roni supaya bisa nggawa layangan.,Budi iri lan ngomong yen layangan Roni ora bagus.,Budi lan Roni lagi main layangan ing sawah,Layangan Budi ora bisa nggawa,Layangan Roni bisa nggawa dhuwur,Budi ngerti yen layangan Roni luwih apik
Food,Adik-adik ndamel sambal sendiri sing ora kepedesan.,Adik-adik ngombe banyu putih kanggo ngilangake kepedosan sambal.,"Adik-adik lagi ngumpul, diwenehi nasi uduk",Ibu ngasih sambal goreng ati sing pedes banget,Adik-adik ngomong yen sambal goreng ati iku enak banget,Ibu seneng ngliat adik-adik lahap mangan
Fisheries and Trade,Ibu Sari ngajak warga kanggo lomba masak nasi urap kanggo melestarikan tradisi.,Warung nasi urap Ibu Sari dadi paling rame ing desa.,Ibu Sari duwe warung nasi urap sing terkenal ing desanya,Ibu Sari nyiapake nasi urap nganggo bahan-bahan segar lan bumbu sing khas,Ibu Sari seneng ngerti resep urap iki wis diturunake sedina-dina,Ibu Sari ngajak anaknya kanggo ngerti resep iki supaya ora ilang
Socio-religious aspect of life,Rara ngajak kancane kanggo nglakoni slametan bareng.,Rara ora lagi seneng nglakoni slametan amarga dianggep ribet.,Rara seneng banget nglakoni slametan ing omah,Rara seneng ngerti tata cara slametan lan megu ngerti arti ing ngjerone,Rara seneng ngetokake jajanan ing wong-wong sing lagi slametan,Rara seneng ngelihat wong-wong sing lagi ngerayake slametan kanthi gembira
Socio-religious aspect of life,Bu Rini ngajak tetanggane ngobrol sambil ngombe jamu.,Tetanggane ngomong yen jamu Bu Rini ora enak.,Bu Rini regol saged ing omah,Bu Rini seneng ngolah jamu tradisional,Bu Rini ngedolake jamune marang tetanggan,Tetanggane seneng ngombe jamu Bu Rini amarga rasa jamune enak
Daily Activities,Dinda ora bisa nggawé batik sing apik.,Dinda bisa nggawé batik sing apik.,Dinda kepingin ngerti carane nggawé batik,Dinda ngunjungi tempat nggawé batik,Dinda diajari nggawé batik kanthi cara uwis,Dinda seneng amarga bisa nggawé batik
Pregnancy and Kids,Siti ngerti yen bayi mungsuh kudu dirawati karo kasingsetan lan kasih sayang.,Siti nyerah ngurus bayi mungsuh amarga tansah lelah.,Siti wis cinderamata kanggo bayi mungsuh,Siti seneng banget lan ngerasa bahagia,Siti berharap bayi mungsuh bisa sehat lan cepet gede,Siti arep ngawaji bayi mungsuh kaya anak kandung
Daily Activities,Mbak Rini ngopi sambil ngelih kebon belakang omah.,Mbak Rini langsung tiduran di kasur.,Mbak Rini lagi bersih-bersih omah,"Mbak Rini nyapu, nyuci piring lan ngepel lantai",Mbak Rini ngerasa lelah nanging seneng,Mbak Rini kepingin istirahat sebentar
Traditional Games,Tetangga ngajak main maneh besuk.,Dimas ngerasa bangga lan ora ngajak main maneh.,Dimas lan Dinda kepingin main gobak sodor,Dimas lan Dinda ngajak tetangga kanggo main bareng,Tetangga setuju lan mbangun lapangan gobak sodor,Dimas ngetok bola paling akhiré
Pregnancy and Kids,Ratih lan kakange ngomong kepinginan kanggo balik maneh besok.,Ratih lan kakange kepanggih kakek lan nenek.,"Dina tedha, Ratih lan kakange padha ngunjungi kakek lan nenek",Ratih lan kakange ngajak kakek lan nenek main ular tangga,"Kakek lan nenek seneng banget, amarga wis suwe ora main karo cucunya",Ratih lan kakange ngerti kakek lan nenek seneng
Agriculture,Pak Budi ngajak tetangga ngetok padi bareng.,Pak Budi melu slametan ing omah tetangga.,Pak Budi kepingin ngundang tetangga kanggo slametan panen padi,Pak Budi ngajak anak-anak menanam padi ing sawah sing luase,Pak Budi nunggu panen padi kanthi sabar,Pak Budi ngaturake slametan gandrung kanggo tetangga
Family Relationships,Pak Budi ora melupakan tetangga sing lagi susah.,Acara selametan Pak Budi dipindah tanggal.,Pak Budi lagi ngerencanake acara selametan,Pak Budi ngundang sedoyo kulawargane,Pak Budi uga ngundang tetangga lan kerabat sing cedhak,Pak Budi ngundang tukang catering kanggo ngolah jajanan
Death,Bapak Slamet ngajak kulawargane kanggo ngawisi doa kanggo bapaknya.,Bapak Slamet langsung ngurus warisan kangge bapaknya.,Bapak Slamet lagi ngurus jenazah bapaknya,Bapak Slamet nggunakake kain kafan putih kanggo membungkus jenazah bapaknya,Bapak Slamet ngundang tetangga lan kulawarga kanggo ngantar jenazah bapaknya ke makam,Bapak Slamet ngerasa sedih nanging arep tetep kuat kanggo kulawargane
Agriculture,Mbak Sri ngajak tetangga kanggo nganakake slametan panen.,Mbak Sri langsung ngetokake woh-wohan kanggo dijajaké.,Mbak Sri ngerti yen ngobati woh-wohan ing sawah kudu sing sabar,Dhèwèke tansah ngresiki woh-wohan kanggo ngecek hama,Mbak Sri uga nggunakake pupuk alami kanggo nguataké tumbuhane,Mbak Sri seneng nalika ngelih woh-wohané wis gedhe lan mateng
Family Relationships,Ratih lan sedaya anggota keluarga nganakake ziarah kuburan ing dina minggu.,Ratih lan wong tuane nganakake ziarah kuburan tanpa sodara.,Ratih kepingin ngajak sedaya anggota keluarga buat ngunjungi makam buyute,Ratih wis ngomong karo wong tuane lan sedaya sodarane,Ratih kepingin nganakake ziarah kuburan bareng-bareng,Ratih ngerti tata krama lan sopan santun ing budaya Jawa
Family Relationships,Anak-anak Nenek Sri ngenteni Nenek Sri lan ngajak Nenek Sri main bareng.,Anak-anak Nenek Sri ngiyari kehendak Nenek Sri.,Nenek Sri wis tuwa lan wis ora bisa nglakoni apa-apa,Anak-anak Nenek Sri padha sibuk karo urusan masing-masing,Nenek Sri ngrasa kesepian lan kepingin dihormati,Nenek Sri ngomong yen dheweke kepingin dirawati ing panti jompo
Wedding,Ratih lan Dimas ngomongake marang sesepuh kanggo di ajari aturan adat pura.,Ratih lan Dimas ngadhep pernikahan ing pura tanpa ngerti aturan adat.,Ratih lan Dimas kepingin ngadhep pernikahan ing pura,Ratih lan Dimas kudu ngikut aturan adat,Ratih lan Dimas ora ngerti aturan adat pura kanggo pernikahan,Ratih lan Dimas milih ngadhep pernikahan ing balai pura
Socio-religious aspect of life,Adi ngerti yen ora bisa ngawasi adek-adekné sedaya wektu.,Adek-adek Adi ora jajan sembarangan maneh.,Adi kepingin ngawasi adek-adekné kanggo ora jajan sembarangan,Adi prihatin karo kesehatan adek-adekné,Adi ngerti jajan sembarangan bisa ngasilake penyakit,Adi ngajak adek-adekné kanggo jajan ing warung sing bersih
Daily Activities,Pak Hasan nganakake selamatan.,Pak Hasan ngajak tetangga nonton wayang.,Pak Hasan nggawa omah barong,Pak Hasan arep ngundang tetangga,Pak Hasan masak nasi tumpeng,Pak Hasan ngajak tetangga ngadheg bareng
Socio-religious aspect of life,Sugi ngrasa seneng bisa ngabahagiaken karyané marang wong liya.,Sugi ngerti yèn dhèwèké bakal dadi pujangga kanggo Indonesia.,Sugi pinter banget nulis puisi Jawa,Sugi ra ngerti kenapa puisi-puisine bisa narik perhatian wong,Sugi sering diundang kanggo ngebaca puisi ing acara-acara adat,Sugi lagi mikir kanggo nggawe buku kumpulan puisi
Death,Ibu Sri ngerameke pitike jajanan kanggo para tetangga sing nganterake.,Ibu Sri ora kepingin ngerti pitik jajanan.,"Ing dalem omah, Ibu Sri lagi ngurus jenazah anak laki-lakinya",Jenazah dibungkus kain kafan putih lan disiram air kembang,Ibu Sri ngendika doa kanggo anaknya,Tetangga nganterake pitik jajanan kanggo Ibu Sri
Wedding,Nuning nggunakake kebaya anyar ing acara resepsi pernikahan.,Nuning nggunakake kebaya tuwo ing acara resepsi pernikahan.,Nuning bakal merayakan pernikahan,Nuning ngdapat hadiah kain batik kanggo kebaya,Nuning kepengen nggunakake kebaya iki ing acara resepsi pernikahan,Nuning ngaturake kebaya kasebut marang  sanggar jahit
Fisheries and Trade,Bu Ani ngerti yen untung sing sejati iku saka kepuasan pelanggan.,Bu Ani kepengin dadi pedagang paling kaya ing pasar.,Bu Ani iku pedagang ikan sing ramah lan jujur,Dhèwèke tansah nglayani pembeli kanthi sabar lan senyum,Bu Ani percaya yen kejujuran iku kunci sukses ing perdagangan,Dhèwèke ndadékaken harga sing adil kanggo setiap pembeli
Agriculture,Roni lan Ratih bisa ngasilake jagung sing limpah.,Roni lan Ratih ora sabar nganti jagung bisa dipanen.,Roni lan Ratih lagi nggawé ladang kanggo nggawé jagung,Roni lan Ratih ngerti yèn jagung kudu ditanem ing lemah sing subur,Roni lan Ratih nggunakake pupuk organik kanggo ngasilake jagung sing sehat,Roni lan Ratih ngatur jadwal kanggo ngawasi tanaman jagung
Death,Pak Budi ngerayake pepunden kanggo Bapak Suparno sing wis tilar donya.,Pak Budi ngerayake pepunden kanggo Bapak Suparno sing lagi ulang tahun.,Pak Budi ngancik tumpeng ing meja,Pak Budi ngundang tetangga kanggo ngerayake,Pak Budi nggunakake baju putih lan kain batik ing acara,Pak Budi ngerayake pepunden
Family Relationships,Pak Budi ngerti anak-anaké kuwi sibuk.,Anak-anaké Pak Budi tetep mampir menyang désa.,Pak Budi ngerembuke anak-anaké supaya mesthi ngunjungi eyang-eyang ing desa,Pak Budi ngomong yen ngunjungi eyang iku pantesan kanggo ngunjuk rasa bakti,Anak-anaké Pak Budi ora gelem,Anak-anaké Pak Budi ngomong yen lagi sibuk
Art,Siti lan Kendi nonton wayang kulit bareng-bareng.,Siti ora gelem nonton wayang kulit amarga kepéngin nonton televisi.,Kendi ngajak Siti kanggo nonton wayang kulit ing desa sebelah,Siti ora ngerti carane nonton wayang kulit amarga ora tau sakjane,Kendi ngejelasaken yen wayang kulit iku seni pertunjukan sing nggunakake wayang kulit lan gamelan,Siti seneng dengar penjelasane Kendi
Fisheries and Trade,Pak Joko melu lomba pêcing gedhe.,Pak Joko ngajak wong liyo pêcing bareng.,Pak Joko duwe kapal pêcing sing gedhe,Pak Joko seneng banget ngobrol karo wong liyo ngenani taktik pêcing,Pak Joko tansah ngajak wong liyo kanggo pêcing bareng,Pak Joko kepingin ngobrol dengan teman-temane ngenani taktik pêcing anyar
Daily Activities,Rani nggenaken kipas angin.,Rani ngomong yen Rani isih kepanasan.,Rani nginum wedang jahe panas ing sore hari,Rani ngerasa kepanasan amarga cuaca lagi panas,Rani ngajak bundanya kanggo nge-AC ing omah,Bundanya ngomong yen nge-AC ngabisin listrik akeh
Food,Tetangga-tetangga ngundang Rini kanggo ngobrol lan nge-kopdar.,Tetangga-tetangga ora seneng karo kolak pisang Rini.,Rini kepingin nggawé kolak pisang kanggo nenek,Rini nggunakake pisang raja kanggo kolak,Nenek Rini seneng banget karo kolak pisang Rini,Rini ngasih kolak pisang kanggo tetangga-tetangga
Pregnancy and Kids,Bu Ani ngajak bayi mungsuh main ing lapangan.,Bu Ani ngelawan bayi mungsuh kanggo dititipke marang tetangga.,Bu Ani lagi ngereksa bayi mungsuh,Bu Ani ngasuh bayi mungsuh kaya anak kandunge,Bu Ani nger deseo supaya bayi mungsuh iku seger lan sehat,Bu Ani ngerti pentingne ngerksa bayi mungsuh
Wedding,Rina nggambar desain gaun pengantin kanthi motif batik modern.,Rina nggambar gaun pengantin putih polos.,Rina lagi nggambar desain gaun pengantin,Rina kepingin desain gaun pengantin modern kanthi sentuhan tradisional,Rina kepingin gaun pengantinku padu karo adat Jawa,Rina nemu inspirasi saka gambar wayang
Pregnancy and Kids,Anak-anak malah main gawai.,Anak-anak seneng lan ikutan acara sedekah bumi.,Pak Budi pengen ngajak anak e cilik kelimpungan,Pak Budi ngatur acara sedekah bumi,Pak Budi ngajak warga sekitar kanggo ngerjakan selamatan,Pak Budi berharap anak-anak bisa ngerti pentingnya ngelestarikan budaya
Socio-religious aspect of life,Diah kepingin nyebarluaskan budaya Jawa ing kalangan generasi mudha.,Diah ora kepingin ngerti budaya asing.,Diah seneng banget karo budaya Jawa,Diah seneng nggawa blangkon lan nggunakake kebaya,Diah seneng nglakoni ritual adat Jawa,Diah percaya yen budaya Jawa kuwi budaya sing luhur
Pregnancy and Kids,Kinan ngerti yen Bapak kepingin Kinan dadi wong sing pinter.,Bapak marah amarga Kinan ora kepengen belajar.,Kinan umur 10 taun,Kinan seneng main karo temene,Kinan ora seneng diajari Bapak,Bapak terus ngajak Kinan belajar
Pregnancy and Kids,Ibu Sri ngajak wong-wong ing kampung kanggo ngerembug babagan upacara selamatan.,Ibu Sri langung ngundang para tetangga kanggo ngasilaken upacara selamatan.,Ibu Sri kepengen nglairake anak wadon kanggo nglanteni tradisi 'sedekah anak',Ibu Sri seneng banget ngerti bakal nglairake anak wadon,Ibu Sri langsung ngatur upacara selamatan kanggo ngunjukake rasa syukur,Kekancan Ibu Sri tumindak padha seneng lan ngasih saran kanggo upacara selamatan kasebut
Socio-religious aspect of life,Pak Joko ngerti yen selamatan mung salah sawijine cara kanggo ngingatingake Gusti Allah.,Pak Joko yakin selamatan bisa ngenteni kabutuhan ekonomi.,Pak Joko melu selamatan kanggo nyamber ing alam gaib,Pak Joko ngerti pentingé ngunjuk pitulungan Gusti Allah ing kabeh urusan,Pak Joko percaya yen selamatan bisa ngenteni rejeki lan keselamatan,Pak Joko uga ngundang tetangga kanggo ngikut selamatan
Fisheries and Trade,Pak Darmo ngusulaken bantuan karo tetangga kanggo ngatasi masalah tambake.,Pak Darmo ngeculake tambake lan ngadhepi kegagalan.,Pak Darmo duwe tambak ikan bandeng,Pak Darmo ngadhepi masalah amarga hasil panen bandeng kumalah,Pak Darmo prihatin amarga hasil panen iki ngaruh ing ekonominya,Pak Darmo ora ngerti apa sing kudu dilakoni
Religious Holiday,Ibu ora cukup wong kanggo mbantu nggawé manisan.,Ibu ora seneng nggawa manisan kanggo tetangga.,Ndelik ibuku wis ngatur manisan kanggo Lebaran,Ibuku ngerti banget yen kudu mbangun suasana gembira kanggo kulawarga,"Manisan kasebut kudu dibagi-bagi kanggo tetangga, kerabat, lan wong-wong sing ngarep-arep mampir","Nanging, aku ora ngerti kenapa ibuku nganti ngeluh terus"
Daily Activities,Setyo mrenehi duit jajan marang anak.,Setyo bali bahan bangunan.,Setyo arep nganter anak sekolah,Setyo nyiapake sarapan,Setyo mbeleni anak nang sekolah,Setyo mbaleni sikil
Agriculture,Pak Dani ngundang tetangga kanggo ngerti panen.,Pak Dani ngerjakake kabeh sendiri.,Pak Dani lagi nggawa padi,Pak Dani nggunakake kerbau kanggo nggarap sawah,Pak Dani ngerti yèn nggawa padi kudu dilakoni kanthi sabar,Pak Dani ngaturaken slametan sawan sadurunge nganakake panen
Daily Activities,Ani ora ngerti apa sing salah karo tutug onthe-ne.,Ani ngerti yen tutug onthe kudu diwatesi air.,Ani ngisi air ing gayung kanggo nyiram tutug onthe,Ani seneng banget ngerti carane nyiram tutug onthe,Ani ngobrol karo ibuné ngenani carane ngurus tutug onthe sing bener,Ani turu nanging tutug onthené mati
Pregnancy and Kids,Ibu Dinda ngajak Dinda ngobrol babagan sekolah lan ngomong yen sekolah itu seru.,Dinda langsung kepingin sekolah amarga ngelihat murid-murid lagi main.,Dinda ngerti anak-anak kudu mlebu sekolah ing umur 6 taun,Dinda isih kepengen main lan ora kepingin sekolah,Ibu Dinda ngajak Dinda ngunjungi sekolah lan ngelihat kegiatan murid-murid,Dinda seneng ngelihat murid-murid lagi main lan ngerjakake tugas bareng-bareng
Agriculture,Pak Budi ngendika ngerti kenapa nglakoni pertanian alami.,Pak Budi nggunakake pestisida kanggo ngusir hama.,Pak Budi pengin panen padi sing mewah,Ia ngunjuk pitutur leluhur kanggo ngolah lahan,"Pak Budi ora nggunakake pestisida, mung pupuk alami","Tiba-tiba, padi Pak Budi diserang hama"
Food,Siska ngerti yen sayur asem iku enak.,Siska ora mangan sayur asem.,Siska ora seneng mangan sayur,Ibu Siska nggodhog sayur asem,Siska ngomong yen sayur asem ora enak,Siska nyoba mangan sayur asem
Food,Rara ngerti luwih akeh ngenani budaya Jawa saka wong tuwané.,Rara terus ngobrol tanpa mangan.,Rara seneng banget ngobrol karo wong tuwané nalika lagi mangan,Dhèwèke seneng dengar crita-crita masa kecil wong tuwané,Rara ngrasa bengi sampeyan banget kanti ngobrol bareng wong tuwa,Suasana hangat lan nyaman banget
Fisheries and Trade,Tari ngajak tetangga kanggo ngobrol lan ngasah silaturahmi.,Tari langsung bali menyang omah amarga wis wes sore.,Tari ngerakno ikan-ikan ing tambake,Tari seneng ngelihat ikan-ikan iki lagi berenang,Tari ngerti pentingne ngasih pakan ikan sing cukup,Tari ngerti pentingne ngecek kualitas air ing tambak
Food,Pak Budi lagi ngolah teh.,Pak Budi ngajak tetangganya ngopi bareng.,Pak Budi ngerti carane ngolah kopi robusta,Pak Budi ngolah kopi robusta kanthi cara tradisional,Pak Budi ngolah kopi robusta kanggo dibagikake marang tetangga,Pak Budi ngelar meja ing pawon
Family Relationships,Widya ngrasa bahagia amarga bisa ngerawat tali silaturahmi.,Widya ngunjuk getih bareng sedulur-sedulure.,Widya arep ngunjuk getih kanggo leluhure,Widya ngajak sedulur-sedulure kanggo ngumpul ing griya,Sedulur-sedulure Widya padha setuju,Widya seneng amarga sedulur-sedulure bisa kumpul
Traditional Games,Saka kepingin banget main bola karo kancane.,Saka semangat latihan kanggo pawai.,Sedaya warga desa gembira amarga bakal ana pawai tradisional,Pawai kasebut bakal nggambarake kisah wayang Ramayana,Para pemuda desa sedang gembira ngasah bakat menari lan main gamelan kanggo pawai,"Saka, salah sawijining pemuda desa, ora seneng"
Pregnancy and Kids,Adi ngajak sedulur-sedulur kanggo ngerame gusti kanggo ibune.,Adi ngerame gusti kanggo ibune dhewe.,Adi ngerti yen ibune lagi ngerti,Adi kepingin ngerame gusti kanggo ibune,Adi kepingin ngasih kejutan kanggo ibune,Adi kepingin ngegayuh ibune supaya seneng
Food,Bayu ngajak kancane ngobrol lan ngelawak.,Bayu njaluk duit kanggo ngganti bahan-bahan masak.,Bayu ngundang kanca-kancane kanggo mangan bareng,Bayu masak nasi liwet lan ayam goreng,Bayu ngasih masing-masing kancane nasi liwet lan ayam goreng,Bayu seneng banget amarga kancane ana
Agriculture,Pak Karto ngajak sedoyo warga kanggo ngerjakan panen bersama.,Pak Karto ngajak sedoyo warga kanggo merayakan slametan.,Pak Karto ngerti yen bulan Suro lagi deket,Pak Karto siksipen sawahne lan ngelakuake slametan,Pak Karto ngajak sedoyo warga kanggo ngerjakan sawah bareng,Pak Karto seneng banget amarga sawahne seger
Family Relationships,Mbak Ani milih kanggo fokus ngurus anak-ane.,Mbak Ani bisa ngadok cabang warung soto lan sukses.,Mbak Ani kepingin banget ngadok cabang warung soto ibuné,Mbak Ani kepingin ngebantu ibuné ngembangake usaha,Mbak Ani ngerti yen soto ibuné paling enak ing kutha,Mbak Ani mimpike supaya warung soto ibuné bisa terkenal ing sak Jawa
Fisheries and Trade,Pak Bejo ngajak anak-anakne nggoleki ikan ing laut.,Pak Bejo ora bisa ngumpulake jaring pancing amarga wis rusak.,Pak Bejo ngerti yen musim angin nembak wis tiba,Pak Bejo kudu ngumpulake jaring pancing sing wis disimpen ing gudang,Pak Bejo lagi nyiapake jaring pancing kanggo pancingan besok,Pak Bejo seneng banget amarga bisa ngasah bakatne nangis
Art,Riko ora menang lomba.,Riko menang lomba.,Riko seneng nggambar,Riko nggambar sewu kanggo pameran seni,Riko kepingin menang lomba,Riko nggambar sewu kanggo lomba
Fisheries and Trade,Pak Budi ngarani tambake kanggo nglestarikan lingkungan.,Pak Budi melu ngumpul pitik kanggo ngusir hama.,Pak Budi duwe tambak ikan lele,Pak Budi nggula ikan lele kanthi cara tradisional,Pak Budi ngidulke ikan lele sing wis gedhe menyang pasar,Pak Budi ngerti pentingne nglestarikan lingkungan kanggo ngusir hama
Daily Activities,Dinda lan Rani ngerjakan tugas sekolah bareng-bareng.,Dinda lan Rani uri-uri barang-barang.,"Dinda lan Rani dudu sedulur kandung, nanging kaya sedulur kandung",Dinda lan Rani seneng main bareng,Dinda lan Rani seneng nggawa omah-omahan,Dinda lan Rani ngerti yen keneh urip iku penting
Food,Pak Budi ora seneng karo rasa wedang ronde sing terlalu manis.,Pak Budi wis ketemu wedang ronde favorit.,Pak Budi pengen ngerti rasa gurih gurih wedang ronde,Pak Budi ke warung wedang ronde sing paling rame ing kutha,Pak Budi mesen wedang ronde lan ngenikmati rasa manis lan hangate,Pak Budi kepingin nambah wedang ronde
Agriculture,Pak Tono ngajak anak-anaké ngetok padi supaya arep ngerti carané lan nguri-uri adat nenek moyang.,Anak-anaké Pak Tono ora seneng ngetok padi amarga capek.,Pak Tono ngetok padi ing sawah,Pak Tono nggunakake teknik turun temurun kanggo ngetok padi,Pak Tono ngajak anak-anaké kanggo ngetok padi bareng,Anak-anaké Pak Tono seneng banget ngetok padi
Wedding,Dinda dadi pendamping pengantin paling ayu ing pernikahan.,Dinda ngeculakake kebaya putih amarga kepenake.,Dinda kepingin nggunakake kebaya putih ing pernikahan,Dinda nyoba kebaya putih ing toko,Dinda seneng banget amarga kebaya putih cocok ing Dinda,Dinda mutusake kanggo nggunakake kebaya putih ing pernikahan
Religious Holiday,Lintang tansah ngerjakake slametan ing omah kakek-nenekne.,Lintang nggarap slametan ing omah kakek-nenekne.,Lintang kepingin ngunjungi kakek-nenekne ing desa,Pisanan Lintang ora tau ngerti carane ngelaksanake slametan,Lintang diwenehi pangetahuan déning ibuné,Lintang ngerti pentingné slametan
Fisheries and Trade,Ibu Nita kepingin buka warung makan.,Ibu Nita kepingin ngasap ikan bareng Ibu Ratih.,Ibu Ratih ngerti carane ngasap ikan,Ibu Ratih ngasap ikan kanggo dijual ing pasar,Ibu Ratih seneng amarga bisa ngasilake duwit tambahan,"Ibu Ratih ngajak tetanggane, Ibu Nita, kanggo belajar ngasap ikan"
Art,Anak-anaké Pak Karno malah milih sinau musik pop.,Anak-anaké Pak Karno gelem sinau gamelan karo pak Karno.,Pak Karno ngajak anak-anaké sinau gamelan,Pak Karno nggremeni musik tradisional kanggo generasi mudha,Anak-anaké Pak Karno seneng sinau gamelan,Pak Karno berharap gamelan bisa nguri-uri budaya Jawa
Pregnancy and Kids,Adik Angga malah nganakake barang-barang sing ora elok.,Adik Angga ora nganakake barang-barang sing ora elok.,Adik Angga wis sedaya umur telu,Angga seneng marangi adik,Angga tansah nggodani adik,"Nanging, Angga ora ngerti carane ngendikake adik kanggo ora nganakake barang-barang sing ora elok"
Pregnancy and Kids,Rini nuli main engklek lan langsung ngajak kancane main lompat tali.,Rini ora kepingin main lompat tali lan milih main engklek wae.,Rini lagi main ing lapangan,Rini lagi main engklek karo kancane,Temane Rini ngajak Rini main lompat tali,Rini kepingin banget main lompat tali
Fisheries and Trade,Tono putuskan kanggo ngalih barang liyane.,Tono terus nggolèk ikan kanthi semangat.,Tono nggolèk ikan ing laut bareng kancane,Tono nggunakake jala kanggo nggolèk ikan,Tono kasebut ngerasa gak seneng amarga hasil tangkepane ora dadi,Tono mikir yen nggolek ikan ora duwe untung
Food,Jenange dibagikan ke tetangga sekitar rumah.,Anak-anak langsung makan jenang grendul.,Nenek membuat jenang grendul kanggo selamatan,Aroma jenang grendul ngejru seisi rumah,Anak-anak gembira nunggu jenang grendul atos,Nenek ngasih jenang grendul kanggo anak-anak
Fisheries and Trade,Bu Ani ngasih harga miring marang pembeli.,Bu Ani ngusir pembeli.,Bu Ani ngidul iwak-iwak hasil tangkapne menyang pasar,Iwak-iwak Bu Ani ketokke ing wajan,Bu Ani ngomong yèn iwak-iwak iku segar lan isih urip,Pembeline ngeluh iwak-iwak iku ora segar
Pregnancy and Kids,Sari ngerti yèn kepinginan duwe anak kudu diiringi karo doa lan usaha.,Sari arep nglakoni upacara liyane kanggo kepenginane.,Sari lagi ngarep-arep duwe anak,"Miturut tradisi, Sari amergo nglakoni upacara sedekah bumi kanggo kepenginan",Sari yakin yèn upacara iki bakal nggawe kepinginane dikabulkan,Sari seneng banget nalika ngerti bakal cepet duwe anak
Art,Lintang malah ngidam supaya bisa nge-band.,Lintang bisa langsung main gamelan dengan lancar.,Lintang kepingin banget bisa nge-gamelan kaya kakek,Lintang wis ngerti basa Jawa lan tembang-tembang Jawa,Lintang ngajak kakek kanggo ngajari Lintang main gamelan,Kakek Lintang seneng banget amarga Lintang kepingin nguri-uri budaya Jawa
