sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
Dina iki Joko menyang dhokter gigi,Dheweke wis duwe kawat gigi kanggo setaun,Dheweke kudu nganggo kawat gigi amarga untune ora rata kaya garis pantai kidul,"Sawise nganggo kawat gigi nganti suwe, akhire dheweke bisa nyopot kaya nalika wong Jowo melebur ing wengi Jumuwah",untune Joko saiki lurus kaya gawang sepak bola,Untune Joko mundhak gedhe sawise nganggo kawat gigi kaya naga sing mabur
Nina ngolah gudeg kanggo nedha awan,"Sawise bumbu wis mateng, banjur dilebokake ing santen kelapa",Gudeg sing dipilih yaiku gudeg sing paling apik,"Sakdurunge disuguhake, aja lali dicicipi",Rasane gudeg enak dihidangkan kanggo nedha awan,Jebule gudeg rasane asin banjur dibuwang lan digawe anyar
Lesti kaget nalika ngrampungi lincak wayang,Lincak wayange dirusak rayap,Sawetara pakusane uga wis dipangan rayap,Lesti nyoba nylametake pakusane sing isih wutuh,Dheweke njupuk lincak wayang kanggo nyingkirake rayap,Pakusan sing dipangan rayap larang regane
Pemuda dadi pangarep-arep bangsa,Jaman kiwa muda kudu bisa menehi kontribusi marang bangsa karo cara njaga adat istiadat Jawa,Hari nyoba nguri-uri tradhisi Jawa kanggo bangsane,Hari kepengin gawe masyarakat Jawa bangga karo identitas kabudayane,Hari nggawe prestasi kanggo nguri-uri kabudayan Jawa lan gawe bangsa Jawa bangga,Hari ora perduli karo nasib rakyat Jawa lan malah nglirwakake adat istiadat Jawa
Yola pengen dadi lurah desa sing sukses,Dheweke kepengin dadi panutan kanggo warga desane,Dheweke uga pengin warga desane supaya bisa menikmati hidup sing layak,"Kanggo nggayuh iki, Yola tansah sregep sinau tata pamong desa",Ora tau dheweke kesed,Dadi lurah desa ora butuh usaha
"Sajrone upacara Sekaten kasebut, Acha mung bisa meneng wae sambi nunggu sirine.",Acha wedi banget weruh Usam nesu amarga Acha lali nggawa sesaji kanggo leluhur.,"Iki ndadekake Acha luwih meneng, ora wani ngomong apa-apa marang kanca-kancane amarga wedi dipecat.","Nanging weruh Arta nangis, Acha mulai goyah kaya-kaya ngilangi saka tradisi Jawa.",Acha ngyakinake awake dhewe supaya jujur marang kanca-kancane ing kelas ng babagan keaslian budaya Jawa.,Acha ngyakinake awake dhewe arep menyang omahe Arta kanggo ngayahi ritual Jawa nganggo cara modern.
Dyah pancen seneng gudeg,Dyah tansah masak panganane nganggo gudeg,Dyah arep nggawe nasi goreng,Dyah nambah gudeg ing nasi goreng,Dyah nggawe nasi goreng gudeg Jawa,Dyah ora bisa masak nasi goreng
Pangeran kudu langsung teka ing kadipaten,Dalan gedhe sing biasane dilewati Pangeran macet banget amarga kajawen,Pangeran nyoba njupuk trabasan liwat lereng gunung,Pangeran kasil tekan kadipaten tepat waktu kanggo upacara adat,Pangeran ora telat menyang kadipaten,Pangeran macet ing dalan gedhe amarga kajawen
Elias tau kerja dadi tukang gaw&#xE9; ing desa,Elias mbuwang gaw&#xE9; menyang sawah,Elias nyambut gaw&#xE9; wiwit &#xE9;suk nganti awan,Elias mangkat sekolah sore,Elias bisa mbagi wektu kanggo kerja lan sinau,Elias ora mlebu sekolah
Widyatama minangka mahasiswa pertukaran saka Jawa Tengah,Dheweke melu kegiatan belajar mengajar suwene 1 wulan ing SMA 8 Yogyakarta,Widyatama babar pisan ora bisa basa Jawa,Dheweke komunikasi nganggo basa Indonesia,Widyatama entuk kanca anyar saka SMA 8,"Widyatama seneng karo negara tanggane Indonesia, yaiku Malaysia"
Lik Ranti kaget banget nang ndelok karya seni rupa iki,Tembok pendapa kebak ukiran,Wayang kulit digawe nggunakake kertas,Kanyataan adhine sopo isih enom nemeni ukir tembok,"Suka ora seneng, dheweke kudu nambahi warna maneh tembok pendapa",Lik Ranti njaluk ganti rugi marang adhine
Warga RW 1 duwe tabungan bareng njanggo dana gotong royong,Tabungan mau kanggo tuku lemah kosong kanggo dijenengi tanah bengkok,Tanah kosong diowahi dadi kebon masyarakat kaya ta kebon jeruk utawa kebon durèn,Kebon iki ditanduri sayuran lan woh-wohan kanggo konsumsi warga sekitar,"Nalika siap panen, warga diijini njupuk cukup saka kebon kanggo diolah dadi masakan khas Jawa",Urip ing desa iku kepenak banget amarga wis mlebu jaman modèren
Cia seneng nonton film babagan putri Madura,Cian kerep lamunan ketemu jodhone sing asli,Bapake Cian ngijabahi kekarepane Cian supaya bisa dadi putri sing bener,Bapake Cian nyamar dadi abdi dalem kraton,Cian seneng yen bapake bisa mujudake impene supaya bisa urip bahagia,Bapake Cian ora ngerti kekarepane Cian sing pengin dadi putri
Kok kesiya? Jam pira?,Tasya mung ngeleng lan nglewati wong kuwi tanpa mangsuli pitakone.,Dheweke ngerti yen wong sing ngadeg ing ngarep lawang mung ngeremehake dheweke.,,"Tasya mung mesem karo pipine abang, dene wong lanang iku nglirik dheweke.",Tasya nggedhong banjur metu saka kantor.
Lek Ibra ngamuk ndeleng kelakuan bocah-bocah ing lingkungan desane.,Wong-wong desa mau mbenturi watu marang asu-asu sing ditaleni ing pekarangan griya.,Asu ora bisa mlayu.,Swarane banter keprungu ngremuk ati.,"Lek Ibra mbengok banter kanggo ngusir bocah-bocah nakal lan ngadeg ing ngarep asu kanggo nglindhungi dheweke, ngingat ajaran-ajaran leluhur kang ngerembug bab kearifan lan belas kasihan.",Lek Ibra mbengok banter marang kancane sing ora metu saka griya amarga ngetut wong tuane.
Pangrungone Rio sansaya ala,Iki amarga tugase minangka abdi dalem ing kraton,Dheweke kerep krungu swara gamelan saka pendhapa,Dheweke uga wis biasa ngrungokake sindhenan wayang nalika malam Jumat Kliwon,Mula dheweke wis ora biyasa krungu swara lirih,Kualitas gamelan ing kraton kudu apik banget
Efani kelingan kenangan ing Jaman Majapahit,Efani nangis nganti ping sepuluh nalika maca wiracarita Ramayana,Efani nyesel marang kesalahan sing ditindakake ing wayang kulit semalam,Efani kepengin nglalekake kabeh masa lalune pasuryan ing Candi Borobudur,Efani ora bisa ayem yen kelingan kuwi,Efani kuwat nalika ngadhepi kenangan ing Gunung Kidul
Eyang wis umur 70 taun,Kabeh anak putu tresna marang dheweke,"Sanadyan eyang lagi lara, saben dina dheweke tansah nemoni wayang kulit",2 wulan kepungkur eyang ambegan pungkasan sawise ngunjungi Borobudur,Anak putu eyang angel nampa kasunyatan iki,Anak putune eyang isih seneng dolan menyang omahe eyang kanggo nggarap Sekaten
Pia kasengsem karo batik sing didol ing salah sawijining pasa tradisional.,"Saka kadohan, motif batik kasebut narik kawigaten Pia.",Pia nyedhaki pasa.,"Saliyane batik, uga ana kerajinan tangan kayata topeng lan ukiran kayu.",Sing jaga pasa langsung promosi barang sing didol marang Pia.,Penjaga pasa langsung lunga bareng weruh Pia teka.
Nia dadi putri ing kratone,Nia narik kawigaten para priya,Nia ora fokus ing gelare yang digandhengake karo dheweke kaya ta 'Raden' utawa 'R.A.',"Nia isih nganggep kabeh wong padha karo dheweke, ora mikir yen dheweke nduweni tanggung jawab dadi putri",Nia asor saking wajahipun,Nia nganggep kabeh bawahane kaya layang-layang
"Sore iku, komplek griya Kemal sepi banget",Kemal sing bosen mutusake kanggo turu,Dumadakan krungu swara genthong griya dibukak,Kemal sing penasaran ngintip saka jendhela,Jebul ana maling sing arep njupuk sepeda,Genthong griya Kemal ijo emas
Mona ngeliling bakul gudeg sing liwat ngarep omah.,Mona wis siyap karo rong piring ing tangane.,"Mona dhawuh supaya gudeg siji ora diwenehi krecek, liyane ora diwenehi sambel goreng.",Mona uga njaluk tambahan krupuk kanggo wong loro mau.,"Nalika ngenteni, Mona mlayu bali menyang omah kanggo njupuk dhuwit.","Nalika ngenteni, Mona bali menyang omah kanggo nerusake turu."
Joko nampa tantangan saka kawan kuliah,Joko kudu ngrampungake gudeg karo krecek,Joko ora diidini mangan pedhes dening dhokter,Joko ngakoni kalah marang kawan kuliah,Joko ora mangan gudeg karo krecek,Joko luwih prihatin karo ego lan kehormatane
Okky sedhih ing angkudan désa.,Petugas angkudan désa nggugah dheweke nalika angkudan désa mandheg ing terminal pungkasan.,Okky panik.,"Nanging, Okky langsung ngerti yen tujuane pancen terminal pungkasan.",Okky matur nuwun marang petugas sing nggugah dheweke sadurunge metu saka angkudan désa.,Okky matur nuwun marang bapak sing lungguh ing sandhinge.
"Eh, enteni Tia, aku arep ngomong,",Wis seminggu luwih Tia ngindari Toni tanpa sebab.,"Ngapunten Toni, aku kesusu,","Apa kowe ora bisa menehi katrangan sethithik? Aku ora bisa terus kaya iki, Tia,","Tia tetep ora obah, dheweke numpak delman sing kebeneran budhal lan ninggalake Toni.",Tia minangka prawan sing ceria kaya wayang kulit.
Milih produk perawatan rambut yang salah bisa mbebayani,Begitu pula yang dialami Mira,Dheweke tuku botol sampo murah yang pabrikan ora jelas asal-usulnya,Mira kegoda oleh harga yang murah dan wanginya yang unik,Sekarang rambut Mira rusak dan rontok,Rambut Mira jadi lebat dan ayu bagaikan rambut Putri Raja
Redy lagi dolanan komputer ing kamare nganggo wayang kulit keprungu swara saka ngisor.,Dheweke mandheg muter lan nyoba nyopot kupinge kanggo ngerti swara saka bedhug masjid.,Swara sing dirungokake mau wis ilang kaya ilangé sworo ing pewayangan.,"Redy terus muter game, nanging swara katon maneh kaya swara gendhing Jawa.",Redy langsung metu saka kamar lan mudhun kanggo mriksa sumber swara ing sajeroning pendopo.,Redy langsung metu saka kamar lan menyang kamar mandi kanggo ngguyu sejen.
Beoku jenenge Tono,Dheweke seneng ngaji,Aku wis njaga dheweke wiwit 1 taun kepungkur,Ngajine taksih apik ngantos samenika,Tono pancen santri sing alim,Tono pancen wis sepuh
Joko minangka taruna enom banget,Joko ngliwati pilihan taruna kanggo nglindhungi kraton Surakarta,Joko ngabdiake awak lan jiwane marang Sunan,Joko tanggung jawab kanggo safety kulawarga Sri Susuhunan,Joko dadi senapati kraton 2 taun sabanjure,Joko minangka wong dagang paling enom ing Pasar Klewer
Kayla nandur bunga telo akeh ing pekarangan,Bunga telo kasebut duwe macem-macem jinis,"Nalika wis mekar, dheweke njupuk sawetara bunga telo",Bunga telo sing dipetik mau digawe bunga rampai,"Banjur, dheweke ngedol dhuwit kanggo bahan kerajinan batik",Sawise bunga telone garing banjur ditandur maneh ing sawah 
Ora let suwe awake dhewe tekan puncak Gunung Lawu.,Aku menang sawetara langkah saka wong ing Pasar Beringharjo.,"“haha! Lah sapa sing menang, jebule tenan...” ukaraku mandheg sawise mripatku ora sengaja weruh pemandangan Masjid Agung Surakarta ing ngisor iki.",Aku gumun ing ngarsane Kraton Yogyakarta.,"“Sampeyan mesthi ora nyana pemandangan saka ndhuwur dadi kaya iki, kaya pemandangan ing Wayang Kulit,” ujare karo ngelus-elus sirahku.",Dheweke nyopot sepatu lan menek wit beringin ing Alun-Alun Kidul.
"Lho. Aku egois, ya, sorry...","Makhluk. Kanggo kula, kabeh wong urip mburi",Apa aku kalah?,"Ora. Ora telat, nanging wiwit wiwitan kayane nasibku bukan kowe, Zoe.","nutupi nganggo telapak tangan, kaya nganti saiki.",
Diana nyoba macem-macem ide bisnis kanggo ngembangake budaya Batik,Diana nggawe inovasi kanggo njual batik lan kerajinan tradisional Jawa,Diana nyoba narik kawigaten para panuku nganggo strategi marketing anyar,Diana entuk bathi saka dodolan batik lan kerajinan kasebut,Inovasi sing digawe Diana kasil narik kawigaten para panuku,Diana ora pengin miwiti bisnis apa wae amarga wedi gagal
Veni nggarap unggah-ungguh kas désa,Veni ora seneng ngitung beras,Veni kerjane dadi carik désa,Veni sing tanggung jawab ngitung panen ing désa,Veni kepeksa rebutan panen,Veni ora gelem nyambut gawe dadi carik désa
Wart teka ing peresmian Wayang Wong,Bapake katon gagah nganggo busana Jawi,Wart kepengin kaya bapake,Wart sinau lan latihan menak supaya bisa mujudake impene,Wart dadi dalang nalika umur 27 taun,Wart kepengin dadi pengrawit kaya bapake
Pak Tani minangka petani paré,Pak Tani banget telaten ngolah pari,Werna pari sing dipanen konéng,Pari bakal diolah dadi gula jawa,Pak Tani nggawe dhuwit saka sade gula jawa,Pak Tani adol dhuwur pari
Yira wis rampung sinau ing pesantren,Yira nembe lulus ujian keagamaan,Yira arep mudik,Yira kudu langsung ngemas barang-barange ing pondokan,Yira kangen lemah cai,Yira manggon ing pondokan nalika sinau
Pernak-pernik Mila kabeh duwe motif batik Parang Barong,Mila pancen seneng banget karo kain batik tradisional Jawa iki,"Miturut Mila, batik Parang Barong iku banget nengsemake",Motif-motif batik kaya lukisan khas Jawa,Batik Parang Barong awake gedhe lan raine nengsemake banget,Batik Parang Barong ora bisa digawe sacara masal
Olahraga saiki yaiku mocopat,Guru senam dheweke wis nyiapake papan pasir kanggo ndharat ing lapangan Merapi,"Nalika Romi ndharat, kanca-kancane mbalang wedhi marang Romi kanggo seneng-seneng nalika ngaso ing Warung Soto",Romi mangsuli kanca-kancane lan melu mbalang wedhi nganggo topi pet,Wong-wong mau didukani guru olah raga amarga dolanan ing wayah jam pelajaran ing Sekolah Muhammadiyah,Guru olahraga dheweke ganti latihan dadi mbuwang pasir ing Kali Code
Jeni menyang kranggan,Jeni weruh kembang melati ing jeron kranggan,Jeni arep njupuk kembang melati,Jeni ora weruh wates kranggan sing dipasang,Jeni tiba ing kranggan,Jeni ora seneng kembang melati
Bupati mesthi duwe pusaka sing luwih ampuh,Jagabaya Jawa ora wedi karo kasunyatan iki,Para jagabaya terus ngelawan kanggo kemandirian Jawa,Para bupati padha diusir lan nyerah,Jasa para jagabaya Jawa kudu dieling-eling dening generasi saiki,Jagabaya Jawa ora perduli karo tumindake bupati negara iki
Sore iki ana acara selametan ing omah Hani.,Bu Hani lan tangga-tanggane saben wulan rutin nganakake selametan RT.,"Sadurunge wong teka, akeh jajan pasar sing disuguhake ing meja makan.",Hani njupuk krupuk karo tangane sing ora dicuci.,"Ibu langsung marani Hani saperlu ngelus-elus tangane, banjur didhawuhi wisuh tangan dhisik.",Ibu langsung marani Hani lan njupuk krupuk tanpa wisuh tangan.
Arka seneng dolanan wayang karo kanca-kancane.,Biasane dolanan wayang ing pawon cedhak pesantren.,"Pas adzan magrib muni, Arka bakal dolanan wayang karo kanca-kancane.",Sapa sing paling cepet tekan pawon bakal disuguhi gudeg.,Arka lan kanca-kancane seneng dolanan wayang.,Arka lan kanca-kancane seneng dolanan peran.
Zaid luwih tuwa 2 taun karo Bagja.,"Nalika isih laré, dheweke kerep madhaping wayang.",Zaid senengane ngece Bagja adhine nganti Bagja nangis.,"Nanging nalika wis gedhe, dheweke dadi cedhak lan senengane ngayahi tradisi Javanese.",Zaid lan Bagja tansah nyedhiakke wektu kanggo ketemu paling ora seminggu sepisan sanajan jadwal sibuk kanggo ngayahi tradisi Javanese kaya déné ngiringi Grebeg Maulud.,Zaid lan Bagja wis rong taun ora ketemu amarga bedané tradisi lan budaya.
Mas ku tuku sepeda anyar,Adik ngajak mbah kakung numpak sepeda,Mas nolak tawarane mbakyu,Mas ku ora duwe sepedha,Sejatine sepedha ku wis ilang ing sawah,Mas ku uga tuku sepeda anyar
Arini tuku panganan akeh pikeun Idul Fitri,Arini kudu nyimpen bekal kanggo Ramadhan sasi ngarep,Arini ora bisa kerep blanja ing pasar tradisional,Arini kudu nang omah nunggu mudik Lebaran,Arini jarang blanja batik,Arini toko gudang garam saben dina
"Dadi, dina iki critane apa?",,,,,
Rita butuh bantuan supaya bisa selamet,Rita njaluk bantuan menyang Masjid,"Baznas minangka organisasi sosial sing ngatur zakat ing Indonesia, ngebantu kesulitan warga",Rita bisa njaluk bantuan kanggo nambah roso pangan,Rita nampa pitulungan saka warga masjid liwat institusi Baznas,Rita bisa nyukupi awake dhewe tanpa bantuan saka warga
Dina iki Radin banget duka,Adinke njaluk tuku wayang kulit,Radin wis ngelingake yen regane wayang kulit sing didol larang banget,"Kajaba iku, kualitas ora cocog karo rega sing larang","Amarga adinke terus ngrengek, akhire Radin tuku",Radin ngedol adinke marang bakul amarga jengkel
Bapak Sutardi lara wiwit ditinggal garwane,Dheweke wis kaping pirang-pirang menyang rumah sakit ngupadi obat tradisional,"Dadi, biaya pengobatan nganggo jamu tradisional uga nyuda keuangan kulawarga","Sutardi, putra siji-sijine, kepeksa mandheg sekolah lan golek kerja kanggo ngumpul dana ngoponi wong tuwané",Kabeh wis rampung kanggo kesehatan bapak,Sutardi rumangsa ora semangat arep sekolah amarga rumangsa ora ana gunane nggawa ilmu kanggo kulawarga
Rina ora seneng mangan gudeg,"Miturut dheweke, rasa gudeg kasebut aneh banget",Dheweke tansah krasa mual yen mangan gudeg,Jebule ibu wis nyobi macem-macem cara masak gudeg kanggo Rina,"Nanging, Rina tetep ora seneng mangan gudeg",Ibu arep masak bakpia kanggo Rina
Saufika nulis materi sing kacathet ing lawang tulis.,Suasana kelas sepi kaya wengi Jemuwah.,"Sing ana mung Saufika lan kanca lungguhe, Dianti, sing lagi mangan brayo.",Dianti ngancani Saufika nyathet materi pelajaran pungkasan bab Wayang Kulit.,Dianti wis biasa nglakoni iki amarga dheweke ngerti yen Saufika butuh wektu suwe anggone nulis kaya dalang nulis lakon.,Dianti wis biasa nulis ing lawang tulis kaya Ki Hajar Dewantara.
