topic,kalimat_1,kalimat_2,kalimat_3,kalimat_4,correct_ending,incorrect_ending
Food,Lani sinau nggawe wedang ronde karo eyange,Wedang ronde iku wedang jahe sing isine ronde ketan,Lani seneng banget bisa sinau masak tradisional,Eyangane ngrasakake wedang ronde gaweane Lani,Eyangane muji Lani amarga wedang rondenya enak.,Eyangane ora seneng karo wedang ronde gaweane Lani.
Food,Damar lan kanca-kancane dolan menyang kebon salak,Salak iku buah khas Jawa sing rasane manis lan seger,"Ing kebon, Damar njupuk salak langsung saka wit",Kanca-kancane Damar uga seneng banget,Damar lan kanca-kancane mangan salak bebarengan.,Damar ora suka karo rasa salak.
Food,"Dina iki, keluarga Rini ngadani kenduri",Menu utama ing kenduri yaiku tumpeng,Tumpeng iku nasi kuning sing dibentuk kaya gunung lan dihias karo lauk pauk,Keluarga Rini nyiapake kabeh kanthi rapi,Keluarga Rini nampa tamu kanthi seneng lan mangan tumpeng bareng.,Keluarga Rini ora seneng karo kenduri.
Food,Bayu lan keluargane mrene menyang pasar tradisional,"Ing pasar, akeh panganan tradisional sing dijual","Bayu kepengin tuku klepon, panganan cilik sing diisi gula jawa lan dibalut kelapa parut",Keluargane ndhukung pilihan Bayu,Bayu tuku klepon lan kabeh mangan bebarengan.,Bayu ora seneng karo rasa klepon.
Food,Lusi tuku getuk minangka oleh-oleh kanggo keluargane,Getuk iku panganan tradisional Jawa sing digawe saka ketela pohung,Lusi pengin nuduhake kabungahane marang keluargane liwat panganan iki,Keluargane seneng banget nampa getuk saka Lusi,Keluargane langsung mangan getuk lan memuji rasane sing enak.,Getuk iku ternyata wis bosok sawise tekan omahe.
Food,Arif nggawa wedang ronde kanggo adik-adike,Wedang ronde iku minuman tradisional Jawa sing anget lan legi,Arif ngerti yen adik-adike seneng wedang ronde,Dheweke nyiapake wedang ronde karo ati-ati,Adik-adike Arif seneng banget lan ngucapke matur nuwun.,Adik-adike Arif ora seneng karo wedang ronde.
Food,Budi entuk durian langsung saka kebune pakdhe,Durian iku woh khas Jawa sing akeh disenengi wong-wong,Budi seneng banget lan segera mbukak durian kanggo dipangan bareng keluargane,Bau durian sing wangi nyebar ing sak omah,Keluargane Budi seneng banget mangan durian bareng-bareng.,Durian iku ternyata wis ora enak lan dibuwang.
Food,Sari nggawa kendil menyang pawon kanggo nyiapake sega liwet,Kendil iku peralatan masak tradisional Jawa sing digawe saka tanah liat,Sari pengin nuduhake marang anak-anak carane masak nganggo kendil,Anak-anak Sari nonton kanthi antusias,Sega liwet sing dimasak Sari dadi enak lan disukani kabeh anggota keluarga.,Sega liwet sing dimasak Sari gosong lan ora bisa dipangan.
Food,Rina ndelok pasar tradisional kanggo tuku bahan masakan,Rina ngerti yen bahan-bahan ing pasar tradisional luwih seger lan murah,"Dheweke tuku sayuran, rempah-rempah, lan iwak segar",Rina seneng banget amarga bisa ndelok pasar tradisional,Rina masak mangan sing enak karo bahan-bahan sing dituku saka pasar tradisional.,Bahan-bahan sing dituku Rina dadi rusak sadurunge dimasak.
Food,Wawan nggawa cenil menyang omahe simbah,Cenil iku panganan tradisional Jawa sing digawe saka ketan lan parutan kelapa,Simbah seneng banget nampa cenil saka Wawan,Simbah langsung nyiapake teh anget kanggo dipangan bareng cenil,Simbah lan Wawan mangan cenil bareng-bareng karo teh anget.,Simbah ora seneng karo cenil lan mung nyimpen cenil ing lemari.
Food,Pak Arif tindak menyang pasar tradisional kanggo tuku bahan pangan,"Dheweke tuku tahu, tempe, lan sayuran seger",Pak Arif uga tuku rempah-rempah kanggo nggawe masakan khas Javanese,Dheweke bali menyang omah kanthi bahan pangan lengkap,Pak Arif banjur masak sayur lodeh kanggo kulawargane.,Pak Arif lali tuku beras lan kudu bali maneh.
Food,Mbak Rina nggawe wedang jahe ing pawon,"Dheweke nggodhog jahe, gula aren, lan sereh",Aroma harum wedang jahe nyebar ing saindenging omah,Mbak Rina ngetokaké wedang jahe ing cangkir,Mbak Rina banjur ngundang tangga-teparo kanggo ngicipi.,Mbak Rina malah keblasuk ngombe wedang jahe.
Food,Dimas lan keluargane dolan menyang desa cilik ing pinggir gunung,"Ing kana, dheweke disuguhi jenang krasikan, jajanan tradisional khas desa iku",Dimas seneng banget karo rasa lan teksture,Dheweke pengin nggawa pulang jenang krasikan minangka oleh-oleh,Dimas tuku sak kothak gedhe jenang krasikan kanggo kanca-kancane.,Dimas ora nemokake toko sing sade jenang krasikan.
Food,Mbok Minah iku ahli masak soto ayam,Soto ayam sing digawe Mbok Minah misuwur ing desane,Akeh wong sing teka saka kutha kanggo nyoba soto ayam Mbok Minah,Wong-wong padha ngantri ing warung Mbok Minah,Mbok Minah seneng ndelok wong-wong padha nikmati masakane.,Mbok Minah ora duwe bahan kanggo masak soto ayam maneh.
Food,"Dina iki, keluarga Pak Budi mangan sega liwet bareng-bareng",Sega liwet digawe ing pawon tradisional nganggo dandang,Anak-anak seneng banget mangan sega liwet karo lauk pauk lan sambel,Kabeh keluarga mangan kanthi gembira,"Sawise mangan, anak-anak mbantu ngresiki pawon bareng-bareng.",Keluarga Pak Budi malah mangan kanthi sepi tanpa obrolan.
Food,Ani lan ibune menyang kebun kanggo metik buah salak,Salak ing kebun iku seger lan manis,Ani seneng banget metik salak langsung saka wit,Ani njupuk sak keranjang gedhe salak,Ani banjur nggawe rujak salak kanggo keluarga.,Ani lali nggawa salak sing wis dipetik menyang omah.
Food,Sinta nggawa gethuk lan jenang kanggo oleh-oleh marang kanca-kancane,Gethuk lan jenang iku digawe saka ketela lan gula jawa,Kanca-kancane seneng banget nampa oleh-oleh kasebut,Sinta seneng bisa ngenalake panganan tradisional marang kanca-kancane,Kanca-kancane Sinta ngajak nggawe gethuk lan jenang bareng-bareng ing omahe Sinta.,Kanca-kancane Sinta ora seneng karo gethuk lan jenang.
Food,Pak Budi duwe kebon klengkeng sing subur,Klengkeng kasebut manis lan seger,Pak Budi asring menehi klengkeng marang tangga teparo,Tangga teparo seneng banget karo klengkeng saka kebon Pak Budi,Tangga teparo Pak Budi mbantu njaga kebon klengkeng supaya tetep subur.,Tangga teparo Pak Budi ora gelem njaga kebon klengkeng.
Food,Ibu Yati nggawe wedang jahe saben sore,"Wedang jahe iki digawe saka jahe, gula, lan sereh",Wedang jahe iki dipercaya bisa ngehangake awak lan nambah daya tahan,Keluarga Ibu Yati seneng ngombe wedang jahe bareng-bareng,Keluarga Ibu Yati ngajak tangga teparo kanggo ngombe wedang jahe bareng.,Keluarga Ibu Yati ora seneng ngombe wedang jahe.
Food,Lilis sinau nggawe pecel ing pawiyatan,Pecel digawe saka bumbu kacang lan sayuran segar,Lilis ngrasakake yen pecel sing digawe mau enak banget,Lilis mutusake kanggo nggawe pecel maneh ing omahe,Keluarga Lilis seneng lan njaluk Lilis nggawe pecel saben minggu.,Keluarga Lilis ora seneng karo pecel sing digawe Lilis.
Food,Darto seneng mangan rujak buah ing wayah sore,Dheweke tuku buah-buahan seger saka pasar kanggo nggawe rujak,Rujak sing digawe Darto asring dipangan bareng karo kanca-kancane,Kanca-kancane Darto seneng karo rujak sing digawe Darto,Kanca-kancane ngajak Darto kanggo nggawe rujak ing acara kumpul-kumpul.,Kanca-kancane ora gelem mangan rujak sing digawe Darto.
Food,Prapti duwe wajan tradisional sing diwarisake saka mbahnya,Wajan iku digunakake kanggo masak panganan khas Javanese,Prapti asring masak ing wajan iku lan panganane dadi enak banget,Keluargane Prapti seneng banget mangan panganan sing dimasak ing wajan iku,Keluargane ngajak Prapti kanggo tetep nguri-uri tradisi masak karo wajan kasebut.,Keluargane ora seneng mangan panganan sing dimasak ing wajan iku.
Food,Mbak Sari tuku oleh-oleh khas Jombang yaiku onde-onde,Onde-onde iki digawe saka ketan lan diisi kacang hijau,Mbak Sari kepengin menehi onde-onde iki marang sedulure ing Jakarta,Mbak Sari bungkus rapi onde-onde iki supaya ora rusak,Sedulure Mbak Sari seneng banget nampa oleh-oleh iki.,Sedulure Mbak Sari ora seneng nampa oleh-oleh iki.
Food,Pak Budi masak gudeg kanggo acara syukuran,Gudeg digawe saka nangka muda sing dimasak nganggo santan,Wangi kluwek sing dicampur ing gudeg nggugah selera,Pak Budi nindakake iki minangka tradisi turun-temurun,Wong-wong ing syukuran padha seneng mangan gudeg Pak Budi.,Wong-wong ing syukuran ora gelem mangan gudeg Pak Budi.
Food,Dina iki Ana lan kanca-kancane arep mangan ing warung lesehan,Warung iki misuwur karo sega kucing lan lauk pauk cilik-cilik sing murah meriah,Ana milih wedang jahe kanggo ngiringi sega kucing,Kanca-kancane milih teh poci,Ana lan kanca-kancane nikmati panganan lan wedang kanthi guyub.,Ana lan kanca-kancane ora seneng karo panganan lan wedang ing warung lesehan.
Food,Mbak Rini sinau masak soto ayam saka Ibune,Soto ayam iki panganan khas sing asring disajikake ing acara-acara penting,Mbak Rini nguleg bumbu lan nyiapake bahan-bahan kanthi teliti,Ibune nuntun Mbak Rini saben langkah,Mbak Rini kasil masak soto ayam sing enak banget.,Mbak Rini ora kasil masak soto ayam sing enak.
Food,Pak Haryo duwe kebon salak ing desa,Salak iki asring dikirim menyang pasar-pasar ing kutha,Anak-anake Pak Haryo kerep mbantu panen salak nalika musim panen tiba,Salak-salak sing dipanen banjur dibungkus rapi,Salak-salak Pak Haryo laris manis ing pasar.,Salak-salak Pak Haryo ora laku ing pasar.
Food,Wulan sinau nggawe jenang abang karo nenekne,Jenang abang iku panganan tradisional saka ketan lan gula jawa,Nenek Wulan nerangake yen jenang abang asring digawe kanggo acara selametan,Wulan nyoba nggawe adonan jenang abang nganggo tangane dhewe,Jenang abang sing digawe Wulan lan nenekne enak banget lan disukai keluarga.,Jenang abang sing digawe Wulan lan nenekne ora enak lan ora disukai keluarga.
Food,Siti suka dolan menyang pasar tradisional saben Minggu,Dheweke seneng tuku jenang lan klepon kanggo kulawargane,Jenang lan klepon iku panganan tradisional Jowo sing digawe saka ketan lan gula jawa,Siti uga seneng ndeleng proses nggawe panganan iki,Siti sinau nggawe jenang lan klepon saka bakul ing pasar.,Siti ditemokake ora seneng karo rasa klepon lan jenang.
Food,Andi lan kancane dolan menyang desa kanggo ngicipi wedang uwuh,Wedang uwuh yaiku minuman tradisional Jowo sing digawe saka campuran rempah-rempah,Andi kaget amarga rasa wedang uwuh sing kuwat lan anget,Kancane uga melu seneng karo minuman iki,Andi lan kancane pancen pengin sinau resep wedang uwuh saka penduduk desa.,Andi lan kancane ora bisa ngicipi wedang uwuh amarga desa iku adoh.
Food,Rina nggawa oleh-oleh durian marang kulawargane,Durian iku woh asli saka wilayah Jawa,Kulawargane Rina seneng banget amarga durian iku woh sing angel ditemokake ing kutha,Rina uga nerangake carane milih durian sing apik,Kulawargane Rina ngrasakake durian bareng-bareng karo tetanggan.,Durian iku ora disenengi kulawargane amarga baune ora enak.
Food,Budi seneng masak menggunakan wajan besi tradisional,Wajan iki diwarisake saka simbah kakunge,"Menurut Budi, wajan iki nggawe masak dadi luwih enak lan aromane khas",Budi kerep masak sayur lodeh kanggo keluargane,Budi ngajari anak-anaknya carane masak nganggo wajan besi iki.,Budi ora bisa masak nganggo wajan besi lan milih tuku wajan anyar.
Food,"Dina lebaran, Eko lan keluargane masak opor ayam lan ketupat",Opor ayam lan ketupat iku panganan khas lebaran ing Jawa,Eko seneng mbantu ibune masak ing pawon,Keluargane Eko ngumpul bareng kanggo mangan,Eko lan keluargane mangan opor ayam lan ketupat bareng karo tetangga-tetangga.,Eko lan keluargane ora mangan opor ayam lan ketupat amarga wis kenyang karo panganan liyane.
Food,Pak Tono duwe kebon buah cempedak,Cempedak iku buah lokal sing mirip karo nangka,Pak Tono kerep ndhawuhake kancane kanggo ngicipi cempedak sing wis mateng,Buah iki disenengi wong-wong amarga rasane manis lan wangi,Pak Tono uga nggawe dodol cempedak sing dijual di pasar.,Pak Tono ora seneng mangan cempedak amarga alergi karo buah kasebut.
Food,Wulan lan keluargane dolan menyang Jogja,Wulan pengin tuku bakpia minangka oleh-oleh,Dheweke mlebu toko bakpia sing terkenal ing kutha,Wulan milih bakpia rasa kacang ijo lan coklat,Wulan uga tuku bakpia kanggo tangga-tanggane.,Wulan mung tuku bakpia kanggo keluargane dhewe.
Food,Pak Budi duwe kebon salak,Salake Pak Budi arang banget ditemokake ing pasar,Wong-wong desa kerep njaluk salak saka kebone Pak Budi,Pak Budi seneng menehi salak marang tanggane,Pak Budi uga sering nggawe dodol salak kanggo dijual.,Pak Budi ora gelem menehi salak marang wong-wong.
Food,Mbok Minah pinter masak jenang,Jenange terkenal nganti adoh saka desane,Wong-wong akeh sing pesan jenang kanggo acara adat,Mbok Minah nggawe jenang karo peralatan tradisional,Jenange Mbok Minah digawe nganggo kayu bakar lan wajan gedhe.,Mbok Minah tuku jenang saka pasar lan didol maneh.
Food,Siti lan kanca-kancane mangan ing warung lesehan,Panganan sing disajikake tradisional lan enak,Siti pesen gudeg lan sambel krecek,Kanca-kancane pesen soto lan pecel,Siti lan kanca-kancane seneng mangan nganggo tangan tanpa sendok.,Siti lan kanca-kancane ngeluh amarga ora ana sendok.
