Kalimah-1,Kalimah-2,Kalimah-3,Kalimah-4,Ending Bener,Ending salah
"Ti leutik keneh, Aura resep ngumpulkeun barang-barang bekas","Anjeunna ngumpulkeun barang-barang urut sapertos botol plastik, kertas bungkus sareng tutup botol",Anjeunna ngabersihkeun barang-barang anu dianggo sareng janten pernak-pernik anu unik,"Samentara éta, anjeunna nyimpen barang-barang bekas anu teu acan dianggo di kamar khusus",Manéhna ngajual hasil pagawéanana ka babaturanana,Imah Aura kacida pikasieuneunana
Komplek perumahan Raisa kabanjiran deui,"Kapaksa, kulawargana kedah ngungsi samentawis",Kulawargana ngungsi ka imah akina,Raisa mawa sagala kaperluan sakolana nu masih bisa disalametkeun,"Sanaos sababaraha bukuna baseuh, masih tiasa dianggo",Buku-buku sakolana dijual pikeun meuli parahu karét
Risfan hayang apal beurat badan manehna,Risfan néangan timbangan di imahna,Risfan nimbang awakna dina timbangan digital,Risfan ngitung beuratna dibandingkeun jeung jangkungna,Risfan hoyong terang awakna idéal atau henteu,Risfan teu boga timbangan di imah
Meta resep pisan sup lauk,Gifa teu resep lauk,Meta ngajak Gifa ka imahna rék ulin,Meta nawarkeun sop lauk ka Gifa,Gifa nolak tawaran Meta sacara halus,Sop lauk nu ditawaran teh geus kadaluarsa
Handi kasohor salaku murid ganteng di SMA Harapan,"Hanjakal, éta pamuda jarang nyarios",Anjeunna ogé jarang seuri,Sababaraha murid nganggap anjeunna sombong,Teu loba jalma anu nyaho yén Handi téh sabenerna budak anu isinan,Handi diusir sakola kusabab sombong
Lakshmi kedah ngajalin hubungan sareng lalaki anu saagama,Lakshmi Muslim,Jonathan Kristen Protestan,Lakshmi sareng Jonathan silih pikaresep,Lakshmi sareng Jonathan teu tiasa gaduh hubungan,Lakshmi ngewaeun ka Jonathan
Minnie saré,Zahira ngaganggu Minnie,Minnie teu bisa neruskeun saré,Zahira ngajak Minnie nari,Zahira ngahudangkeun Minnie nu keur saré,Minnie nari jeung Zahira bari saré
"Dalam rangka ngarayakeun ulang taun sakola, SMA Harapan ngayakeun kompetisi",Kompetisi nu mimiti nyaéta tarik tambang antara guru jeung murid,Unggal kelas nyiapkeun wawakil tur ngalawan wawakil guru,Kompetisina sengit,Ieu kopmetisi dimeunangkeun ku wawakil siswa,Kompetisina ieu beuki pikaboseneun
Kaisar nutupan ceulina.,"Jerit adina, ratu, matak pireu.","Ratu teu daek ninggalkeun tempat ulin, padahal ema geus nitah balik ka imah.",Kaisar mawa paksa Ratu.,"Sapanjang jalan ka imah, Kaisar nyoba ngabujuk Ratu anu terus ceurik.","Sapanjang jalan ka imah, Kaisar leumpang bari tuang otak goreng."
Delisa nuju tes ngapalkeun solat,Delisa sieun poho sababaraha ayat,Delisa geus ngapalkeun surat-surat pondok ti sabulan katukang,Delisa bisa lulus tes hafalan sholat,Delisa tiasa ngabanggakeun kolotna,Delisa nganut agama Islam
Nina terakhir kalina nempo jenazah sahabatna,Nina teu nyangka yén kamari téh poé pamungkas manéhna nempo sobatna,Nina nginget-nginget seuri sobatna dina ingetanana,Nina ceurik teu daékeun,Nina kacida hanjakalna ku kepergian sahabatna,Nina teu bisa indit ka pamakaman sobatna
Tian cicing di gigireun imah kosong,Tian sok sieun ngaliwat ka imah kosong,Tian ngagorowok mun aya nu pikasieuneun,Tian lumpat ngajerit sieun ngaliwat ka imah kosong,Tian budak borangan,Tian wani asup ka imah kosong
Mina geus tilu kali keuna tilang.,Alesan ditilangna sarua tuluy.,Manehna tara nganggo sabuk pengaman,Ayeuna mobil Mina teu tiasa dianggo,Mobil teu bisa dipaké sabab geus tilu kali ditilang,Sadaya pengguna jalan kedah ati-ati
"""Gampang pisan anjeun ngucapkeun cinta. Naon ari cinta?"" cenah bari nyiuk dahareun.","""Kanggo kuring, cinta sanés téori anu hartosna kedah dijelaskeun."" Jawab kuring kalayan sumanget","""Terus kumaha anjeun tiasa terang cinta ka saha?"" nanya deui.","""Anjeun bakal terang jalma nalika anjeun ngarasa geter. Babari, kitu hungkul. Indah deuih"" sora kuring rada garbled nalika kuring ngajawab anjeunna.","""Aneh pisan"".",Pelayan maké baju anu cocog jeung hiasan warung.
Ivana nyoba ngusir ucing anu katingali di ruang tamuna kalayan sora.,Ivana teu sadar iraha eta ucing asup.,Ivana nyampeurkeun ka tempat diukna ucingna lantaran ucingna teu indit.,Ucing langsung lumpat ka arah panto Ivana nu muka.,Ivana langsung nutup panto pas ucingna kaluar.,Ivana langsung nganggap ucing éta minangka ucing piaraan na.
Kamal ngiringan seueur kagiatan,Kamal kudu bisa nyaimbangkeun akademik jeung kagiatan,Kamal gaduh manajemén waktos anu saé,Kamal tiasa ngaréngsékeun sadaya pancén kalayan saé,Kamal tiasa nyaimbangkeun akademik sareng kagiatan kalayan saé,Kamal ukur hayang fokus kana kagiatan akademikna
Ema nunda rencana rék nganjang ka imah Bibi Sri.,Malahan ema teu sabar ningali anak Bibi Sri nu kakara saminggu katukang.,Awak ema ngadadak karasa teu damang jeung sering bersin.,"Ema sieun mun anjeunna gering tuluy papanggih orok, anjeun bakal népakeun panyakitna.",Ema langsung ngahubungi bibi sri cenah teu tiasa nganjang dinten ayeuna.,Ema ngahubungi bibi sri ngomong yén manéhna bakal langsung ka imahna.
Ti leuleutik Mamat kaserang asma,Asma na kambuh lamun anjeunna kakeunaan lebu atawa haseup,"Upami kakeunaan lebu atawa haseup, anjeunna bakal sesek napas","Ku alatan éta, unggal kaluar imah manéhna maké masker",Anjeunna ogé rajin ngabersihkeun kamar supados henteu seueur lebu,Manéhna meuli sapu pikeun miceunan lebu nu aya di jalan
Cila ngajaga japati,Cila nyaritakeun loba hal ka japati,Japati sok ngadéngékeun anteng,Japati sering ngapung tapi terang jalan ka bumi,Cila nyaah pisan ka japatina,Japati Cila leungit
Papakéan nu dipaké Bowo nyaéta batik beureum jeung emas.,Bowo jeung kolotna maké batik anu warna jeung corakna sarua.,Indungna maké batik jadi bawahan kebaya beureum.,Bapa make kaos lengan panjang nu sarua jeung Bowo.,Aranjeunna siap-siap ngahadiran kawinan misan Bowo make saragam batik.,Ayeuna aranjeunna siap pikeun indit ka rumah sakit.
Misan Alma resep pisan ulin ka cai,Anjeunna paling resep ulin dina bak mandi,Anjeunna oge resep ulin di balong lauk di imah Alma,Teu jarang manéhna asup ka balong lauk,"Ku kituna, kolot kudu salawasna siap nyadiakeun baju ganti",Manéhna hayang jadi singa laut sangkan bisa ulin di cai
Alta teu bisa ngabedakeun warna beureum,Alta geus ngalaman kalainan ti manéhna leutik keneh,Alta sedih ngeunaan kalainan anu dideritana,Alta teu tiasa ningali warna sacara jelas,Alta buta warna,Alta mangrupikeun pelukis anu ngartos rupa-rupa warna
